region,year_or_period,metric,value,unit,notes,source,country_iso3
national,2014,sheep_population,53800000,head,"Iran national sheep population (world rank 6th), FAO 2014, cited in Ansari-Renani 2016","Ansari-Renani (2016), 'An investigation of organic sheep and goat production by nomad pastoralists in southern Iran', Pastoralism 6:8, DOI 10.1186/s13570-016-0056-y (CC BY 4.0)",IRN
national,2014,goat_population,25000000,head,"Iran national goat population (world rank 5th), FAO 2014, cited in Ansari-Renani 2016","Ansari-Renani (2016), 'An investigation of organic sheep and goat production by nomad pastoralists in southern Iran', Pastoralism 6:8, DOI 10.1186/s13570-016-0056-y (CC BY 4.0)",IRN
national,2014,nomad_share_of_national_sheep_population,58.5,percent,Share of Iran's total sheep population kept by nomadic pastoralists,"Ansari-Renani (2016), 'An investigation of organic sheep and goat production by nomad pastoralists in southern Iran', Pastoralism 6:8, DOI 10.1186/s13570-016-0056-y (CC BY 4.0)",IRN
national,2014,nomad_share_of_national_goat_population,39.7,percent,Share of Iran's total goat population kept by nomadic pastoralists,"Ansari-Renani (2016), 'An investigation of organic sheep and goat production by nomad pastoralists in southern Iran', Pastoralism 6:8, DOI 10.1186/s13570-016-0056-y (CC BY 4.0)",IRN
"Baft district, Kerman province",2012-2015,typical_nomad_family_flock_size,250,head_of_goats,"Typical Siahjel (Raen tribe) nomad family flock size, field study of 30 households","Ansari-Renani (2016), 'An investigation of organic sheep and goat production by nomad pastoralists in southern Iran', Pastoralism 6:8, DOI 10.1186/s13570-016-0056-y (CC BY 4.0)",IRN
"Baft district, Kerman province",2012-2015,flock_composition_goats,89,percent_of_herd,Mixed-herd composition: goats,"Ansari-Renani (2016), 'An investigation of organic sheep and goat production by nomad pastoralists in southern Iran', Pastoralism 6:8, DOI 10.1186/s13570-016-0056-y (CC BY 4.0)",IRN
"Baft district, Kerman province",2012-2015,flock_composition_sheep,8,percent_of_herd,Mixed-herd composition: sheep,"Ansari-Renani (2016), 'An investigation of organic sheep and goat production by nomad pastoralists in southern Iran', Pastoralism 6:8, DOI 10.1186/s13570-016-0056-y (CC BY 4.0)",IRN
"Baft district, Kerman province",2012-2015,flock_composition_pack_animals,3,percent_of_herd,"Mixed-herd composition: horses, mules, donkeys, camels (transport)","Ansari-Renani (2016), 'An investigation of organic sheep and goat production by nomad pastoralists in southern Iran', Pastoralism 6:8, DOI 10.1186/s13570-016-0056-y (CC BY 4.0)",IRN
"Baft district, Kerman province",2012-2015,raeini_goat_male_live_weight,35,kg,"Raeini cashmere goat, average live weight (male)","Ansari-Renani (2016), 'An investigation of organic sheep and goat production by nomad pastoralists in southern Iran', Pastoralism 6:8, DOI 10.1186/s13570-016-0056-y (CC BY 4.0)",IRN
"Baft district, Kerman province",2012-2015,raeini_goat_female_live_weight,30,kg,"Raeini cashmere goat, average live weight (female)","Ansari-Renani (2016), 'An investigation of organic sheep and goat production by nomad pastoralists in southern Iran', Pastoralism 6:8, DOI 10.1186/s13570-016-0056-y (CC BY 4.0)",IRN
"Baft district, Kerman province",2012-2015,raeini_goat_cashmere_yield,507,grams_per_animal,"Average cashmere yield per animal, 56.5% down yield, 19.5-micron fibre diameter, 54.2mm staple length","Ansari-Renani (2016), 'An investigation of organic sheep and goat production by nomad pastoralists in southern Iran', Pastoralism 6:8, DOI 10.1186/s13570-016-0056-y (CC BY 4.0)",IRN
"Baft district, Kerman province",2012-2015,kermani_sheep_wool_yield,2.0,kg_per_animal,"Average wool yield, Kermani carpet-wool breed, 70% efficiency, 150mm staple length, 27-micron fibre diameter","Ansari-Renani (2016), 'An investigation of organic sheep and goat production by nomad pastoralists in southern Iran', Pastoralism 6:8, DOI 10.1186/s13570-016-0056-y (CC BY 4.0)",IRN
