"ref_area","source","indicator","classif1","time","obs_value","note_source"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01T12","2019",99.29,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01","2019",157.08,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP02","2019",129.89,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP03","2019",78.07,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP04","2019",102.65,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP05","2019",75.66,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP06","2019",85,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP07","2019",98.81,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP08","2019",77.96,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP09","2019",82.99,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP10","2019",109.3,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP11","2019",116.67,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP12","2019",86.1,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01T12","2018",95.23,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01","2018",139.23,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP02","2018",113.39,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP03","2018",74.03,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP04","2018",101.4,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP05","2018",75.52,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP06","2018",82.81,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP07","2018",97.75,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP08","2018",71.73,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP09","2018",79.85,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP10","2018",109.04,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP11","2018",112.2,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP12","2018",83.52,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01T12","2017",91.9,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01","2017",124.93,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP02","2017",108.83,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP03","2017",73.67,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP04","2017",101.17,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP05","2017",74.52,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP06","2017",77.49,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP07","2017",90.98,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP08","2017",69.52,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP09","2017",77.9,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP10","2017",106.48,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP11","2017",109.23,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP12","2017",82.95,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01T12","2016",92.86,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01","2016",116.91,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP02","2016",117.65,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP03","2016",71.81,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP04","2016",106.15,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP05","2016",76.15,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP06","2016",75.63,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP07","2016",87.38,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP08","2016",71.46,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP09","2016",86.72,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP10","2016",94.4,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP11","2016",107.55,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP12","2016",81.76,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01T12","2015",93.73,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01","2015",117.16,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP02","2015",115.09,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP03","2015",71.22,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP04","2015",108.88,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP05","2015",76.31,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP06","2015",74.78,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP07","2015",89.31,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP08","2015",71.15,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP09","2015",86.43,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP10","2015",92.76,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP11","2015",106.12,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP12","2015",81.49,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01T12","2014",93.29,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP01","2014",114.67,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP02","2014",110.97,"R1:3139"
"ABW","GA:2314","CPI_XCPI_COI_RT","COI_COICOP_CP03","2014",73.31,"R1:3139"
