year,area,sex,mean_age_at_first_marriage,source,country_iso3
1966,total,Male,25,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1966,total,Female,18.4,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1966,urban,Male,25.6,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1966,urban,Female,19,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1966,rural,Male,24.4,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1966,rural,Female,17.9,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1976,total,Male,24.1,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1976,total,Female,19.7,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1976,urban,Male,25.1,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1976,urban,Female,20.2,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1976,rural,Male,22.7,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1976,rural,Female,19.1,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1986,total,Male,23.6,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1986,total,Female,19.8,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1986,urban,Male,24.2,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1986,urban,Female,20,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1986,rural,Male,22.6,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1986,rural,Female,19.6,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1991,total,Male,24.6,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1991,total,Female,20.9,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1991,urban,Male,24.9,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1991,urban,Female,21,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1991,rural,Male,23.5,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1991,rural,Female,20.8,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1996,total,Male,25.6,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1996,total,Female,22.4,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1996,urban,Male,26.2,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1996,urban,Female,22.5,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1996,rural,Male,24.5,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
1996,rural,Female,22.3,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
2006,total,Male,26.2,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
2006,total,Female,23.2,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
2006,urban,Male,26.5,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
2006,urban,Female,23.3,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
2006,rural,Male,25.5,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
2006,rural,Female,23.4,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 10 (Mean Age at First Marriage by Sex, Hajnal's method, 1345-1385 census 1966-2006)",IRN
