year_iranian,year_western,area,sex,occupation,value,unit,source,country_iso3
1384,2005-2006,total,Both,Total,20618579,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Both,"Legislators, Senior Officials and Managers",636661,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Both,Professionals,1690073,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Both,Technicians and Associate Professionals,978099,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Both,Clerical and Administrative Workers,913889,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Both,Service Workers and Shop and Market Sales Workers,2579084,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Both,"Skilled Workers in Agriculture, Forestry and Fisheries Sector",4064376,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Both,Crafts and Related Trades Workers,4118168,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Both,"Machinery Operators, Assemblers and Drivers",2202476,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Both,Laborers,2961818,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Both,Other or Not Declared,473930,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1384,2005-2006,total,Male,Total,16656918,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
