year,province,area,metric,value,source,country_iso3
1991,Total country,total,marriages,452675,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
1991,Total country,total,divorces,39899,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
1991,Total country,urban,marriages,314893,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
1991,Total country,urban,divorces,33776,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
1991,Total country,rural,marriages,137782,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
1991,Total country,rural,divorces,6123,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
1996,Total country,total,marriages,479263,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
1996,Total country,total,divorces,37817,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
1996,Total country,urban,marriages,357138,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
1996,Total country,urban,divorces,32697,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
1996,Total country,rural,marriages,122125,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
1996,Total country,rural,divorces,5120,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
2001,Total country,total,marriages,641940,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 23 (Registered Marriages and Divorces, 1370-1385/1991-2006), Civil Registration Organization",IRN
