year_iranian,year_western,area,sex,lfp_rate,unit,source,country_iso3
1384,2005-2006,total,Both,41,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1384,2005-2006,total,Men,64.7,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1384,2005-2006,total,Women,17,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1384,2005-2006,urban,Both,39.4,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1384,2005-2006,urban,Men,63.7,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1384,2005-2006,urban,Women,14.4,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1384,2005-2006,rural,Both,44.7,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1384,2005-2006,rural,Men,66.9,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1384,2005-2006,rural,Women,22.6,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1385,2006-2007,total,Both,40.4,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1385,2006-2007,total,Men,63.9,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1385,2006-2007,total,Women,16.4,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1385,2006-2007,urban,Both,38.8,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1385,2006-2007,urban,Men,63,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1385,2006-2007,urban,Women,14,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1385,2006-2007,rural,Both,43.9,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1385,2006-2007,rural,Men,66,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
1385,2006-2007,rural,Women,21.8,percent,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University) (mcls.gov.ir)",IRN
