period,metric,value,unit,notes,source,country_iso3
1980-2014,divorce_rate_mean,0.99,per_1000_population,"Descriptive statistic (mean), Table 1","Farzanegan & Gholipour (2018), 'Does Gold Price Matter for Divorce Rate in Iran?', MACIE Discussion Paper 2018/05, Philipps-Universitat Marburg",IRN
1980-2014,divorce_rate_max,2.0,per_1000_population,"Descriptive statistic (max), Table 1","Farzanegan & Gholipour (2018), 'Does Gold Price Matter for Divorce Rate in Iran?', MACIE Discussion Paper 2018/05, Philipps-Universitat Marburg",IRN
1980-2014,divorce_rate_min,0.5,per_1000_population,"Descriptive statistic (min), Table 1","Farzanegan & Gholipour (2018), 'Does Gold Price Matter for Divorce Rate in Iran?', MACIE Discussion Paper 2018/05, Philipps-Universitat Marburg",IRN
1980-2014,real_gold_coin_price_mean,3631.97,1000_rials,"Descriptive statistic (mean), Table 1","Farzanegan & Gholipour (2018), 'Does Gold Price Matter for Divorce Rate in Iran?', MACIE Discussion Paper 2018/05, Philipps-Universitat Marburg",IRN
1980-2014,real_gold_coin_price_max,6605.52,1000_rials,"Descriptive statistic (max), Table 1","Farzanegan & Gholipour (2018), 'Does Gold Price Matter for Divorce Rate in Iran?', MACIE Discussion Paper 2018/05, Philipps-Universitat Marburg",IRN
1980-2014,real_gold_coin_price_min,2171.09,1000_rials,"Descriptive statistic (min), Table 1","Farzanegan & Gholipour (2018), 'Does Gold Price Matter for Divorce Rate in Iran?', MACIE Discussion Paper 2018/05, Philipps-Universitat Marburg",IRN
1980-2014,female_literacy_rate_mean,0.61,share_0_to_1,"Descriptive statistic (mean), Table 1 (WEDU)","Farzanegan & Gholipour (2018), 'Does Gold Price Matter for Divorce Rate in Iran?', MACIE Discussion Paper 2018/05, Philipps-Universitat Marburg",IRN
1980-2014,kof_social_globalization_index_mean,26.3,index_0_100,"Descriptive statistic (mean), Table 1 (SGLOB) -- Iran did not rank in top 100 countries on this index","Farzanegan & Gholipour (2018), 'Does Gold Price Matter for Divorce Rate in Iran?', MACIE Discussion Paper 2018/05, Philipps-Universitat Marburg",IRN
1980-2014,gdp_per_capita_growth_mean,0.0,percent,"Descriptive statistic (mean), Table 1 (GDPCG)","Farzanegan & Gholipour (2018), 'Does Gold Price Matter for Divorce Rate in Iran?', MACIE Discussion Paper 2018/05, Philipps-Universitat Marburg",IRN
1986-2011,mean_age_at_marriage_trend,,years,"Median age of men and women getting married rose from 24 to 27 years of age over this period (narrative statement, not a year-by-year series in this source -- see marriage_age_at_first_marriage_1966_2006.csv in this same folder for the SCI census-based series)","Farzanegan & Gholipour (2018), 'Does Gold Price Matter for Divorce Rate in Iran?', MACIE Discussion Paper 2018/05, Philipps-Universitat Marburg",IRN
