province,area,households,population,source,country_iso3
Total country,total,17501771,70495782,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Total country,settled_urban,12405584,48259964,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Total country,settled_rural,5074866,22131101,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Total country,unsettled,21321,104717,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
East Azarbayejan,total,911930,3603456,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
East Azarbayejan,settled_urban,635966,2402539,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
East Azarbayejan,settled_rural,275943,1200820,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
East Azarbayejan,unsettled,21,97,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
West Azarbayejan,total,655961,2873459,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
West Azarbayejan,settled_urban,422439,1724954,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
West Azarbayejan,settled_rural,233522,1148505,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
West Azarbayejan,unsettled,0,0,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Ardebil,total,281901,1228155,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Ardebil,settled_urban,170971,715597,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
Ardebil,settled_rural,110844,512195,"Statistical Centre of Iran (SCI) via Iran Data Portal (Syracuse University), Table 12 (Settled and Unsettled Population and Households of Ostans, 1385/2006 Census)",IRN
