year_iranian,year_western,sector,employed_persons,unit,source,country_iso3
1335,1956-1957,Agriculture,3325721,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1335,1956-1957,Oil,52702,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1335,1956-1957,Mining,14085,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1335,1956-1957,Industry,773566,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1335,1956-1957,"Water, Electricity and Gas",7684,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1335,1956-1957,Construction,335754,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1335,1956-1957,Transport and Storage,202162,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1335,1956-1957,Communication,5890,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1335,1956-1957,"Trade, Hotels and Restaurants",402137,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1335,1956-1957,Services (Financial Institutions),12018,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1335,1956-1957,Services (Real Estates),6902,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1335,1956-1957,"Services (Public, Social, Personal and Household)",593434,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1335,1956-1957,Cannot be categorized,175611,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1335,1956-1957,Total,5907666,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1336,1957-1958,Agriculture,3354786,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1336,1957-1958,Oil,53077,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1336,1957-1958,Mining,15181,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1336,1957-1958,Industry,814689,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1336,1957-1958,"Water, Electricity and Gas",8898,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1336,1957-1958,Construction,382378,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1336,1957-1958,Transport and Storage,204819,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1336,1957-1958,Communication,6936,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1336,1957-1958,"Trade, Hotels and Restaurants",454735,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1336,1957-1958,Services (Financial Institutions),14483,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1336,1957-1958,Services (Real Estates),7924,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1336,1957-1958,"Services (Public, Social, Personal and Household)",603409,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1336,1957-1958,Cannot be categorized,171497,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1336,1957-1958,Total,6092811,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1337,1958-1959,Agriculture,3358817,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1337,1958-1959,Oil,52886,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1337,1958-1959,Mining,15958,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1337,1958-1959,Industry,849416,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1337,1958-1959,"Water, Electricity and Gas",10467,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1337,1958-1959,Construction,392410,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1337,1958-1959,Transport and Storage,205799,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1337,1958-1959,Communication,8710,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1337,1958-1959,"Trade, Hotels and Restaurants",504690,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1337,1958-1959,Services (Financial Institutions),17776,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1337,1958-1959,Services (Real Estates),8883,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1337,1958-1959,"Services (Public, Social, Personal and Household)",642277,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1337,1958-1959,Cannot be categorized,167479,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1337,1958-1959,Total,6235568,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1338,1959-1960,Agriculture,3357033,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1338,1959-1960,Oil,52994,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1338,1959-1960,Mining,16695,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1338,1959-1960,Industry,889777,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1338,1959-1960,"Water, Electricity and Gas",12421,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1338,1959-1960,Construction,407056,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1338,1959-1960,Transport and Storage,206111,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1338,1959-1960,Communication,10460,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1338,1959-1960,"Trade, Hotels and Restaurants",537603,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1338,1959-1960,Services (Financial Institutions),18843,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1338,1959-1960,Services (Real Estates),10466,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1338,1959-1960,"Services (Public, Social, Personal and Household)",639183,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1338,1959-1960,Cannot be categorized,163556,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
1338,1959-1960,Total,6322197,persons,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University)",IRN
