monthly_expenditure_bracket_rials,group,pct_households,cumulative_pct
under_2000,total,9.9,9.9
under_2000,urban,4.7,4.7
under_2000,rural,15.5,15.5
2000_2900,total,13.7,23.6
2000_2900,urban,7.6,12.3
2000_2900,rural,20.1,35.6
3000_3900,total,14.4,38.0
3000_3900,urban,10.5,22.8
3000_3900,rural,18.6,54.2
4000_4999,total,12.5,50.5
4000_4999,urban,11.2,34.0
4000_4999,rural,14.0,68.2
5000_7499,total,19.8,70.3
5000_7499,urban,22.4,56.4
5000_7499,rural,17.2,85.4
7500_9999,total,11.1,81.4
7500_9999,urban,14.9,71.3
7500_9999,rural,7.1,92.5
10000_12499,total,6.2,87.6
10000_12499,urban,9.1,80.4
10000_12499,rural,3.1,95.6
12500_14999,total,3.7,91.3
12500_14999,urban,5.6,86.0
12500_14999,rural,1.6,97.2
15000_19999,total,4.1,95.4
15000_19999,urban,6.6,92.6
15000_19999,rural,1.4,98.6
20000_29000,total,2.7,98.1
20000_29000,urban,4.5,97.1
20000_29000,rural,0.8,99.4
30000_and_over,total,1.8,100.0
30000_and_over,urban,2.9,100.0
30000_and_over,rural,0.6,100.0
