category,item,year,product_000tons_or_000head,fat_equivalent_tons,pct_of_total,note,source,country_iso3
high_value_consumption,fresh_milk,1972,158.8,3970,4.6,product column = '000 tons of the named dairy product,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
high_value_consumption,fresh_milk,1977,237.9,5948,4.9,product column = '000 tons of the named dairy product,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
high_value_consumption,yogurt_urban,1972,138.1,3729,4.3,product column = '000 tons of the named dairy product,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
high_value_consumption,yogurt_urban,1977,191.8,5179,4.2,product column = '000 tons of the named dairy product,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
high_value_consumption,cream,1972,2.5,1250,1.5,product column = '000 tons of the named dairy product,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
high_value_consumption,cream,1977,4.3,2150,1.8,product column = '000 tons of the named dairy product,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
high_value_consumption,powdered_milk,1972,0.7,210,0.2,product column = '000 tons of the named dairy product,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
high_value_consumption,powdered_milk,1977,1.0,300,0.2,product column = '000 tons of the named dairy product,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
low_value_consumption,yogurt_rural,1972,317.6,9528,11.1,product column = '000 tons of the named dairy product,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
low_value_consumption,yogurt_rural,1977,370.0,11100,9.1,product column = '000 tons of the named dairy product,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
low_value_consumption,cheese,1972,76.8,19968,23.2,product column = '000 tons of the named dairy product,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
low_value_consumption,cheese,1977,110.2,28652,23.4,product column = '000 tons of the named dairy product,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
low_value_consumption,butter,1972,21.2,16960,19.7,product column = '000 tons of the named dairy product,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
low_value_consumption,butter,1977,36.3,29040,23.7,product column = '000 tons of the named dairy product,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
low_value_consumption,butter_oil,1972,30.5,30461,35.4,product column = '000 tons of the named dairy product,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
low_value_consumption,butter_oil,1977,40.1,40100,32.7,product column = '000 tons of the named dairy product,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
high_cost_milk_supply,pure_bred_cows,1972,100.0,3300,3.8,"product column = '000 head of livestock (supply side, assumes self-sufficiency)","World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
high_cost_milk_supply,pure_bred_cows,1977,1203.0,39693,32.4,"product column = '000 head of livestock (supply side, assumes self-sufficiency)","World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
high_cost_milk_supply,cross_bred_cows,1972,96.0,3456,4.0,"product column = '000 head of livestock (supply side, assumes self-sufficiency)","World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
high_cost_milk_supply,cross_bred_cows,1977,96.0,3456,2.8,"product column = '000 head of livestock (supply side, assumes self-sufficiency)","World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
low_cost_milk_supply,local_cows,1972,840.0,33600,39.0,"product column = '000 head of livestock (supply side, assumes self-sufficiency)","World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
low_cost_milk_supply,local_cows,1977,840.0,33600,27.5,"product column = '000 head of livestock (supply side, assumes self-sufficiency)","World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
low_cost_milk_supply,goats,1972,264.0,17160,19.9,"product column = '000 head of livestock (supply side, assumes self-sufficiency)","World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
low_cost_milk_supply,goats,1977,264.0,17160,14.0,"product column = '000 head of livestock (supply side, assumes self-sufficiency)","World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
low_cost_milk_supply,sheep,1972,384.0,24960,29.0,"product column = '000 head of livestock (supply side, assumes self-sufficiency)","World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
low_cost_milk_supply,sheep,1977,384.0,24960,20.4,"product column = '000 head of livestock (supply side, assumes self-sufficiency)","World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
low_cost_milk_supply,buffaloes,1972,45.0,3600,4.2,"product column = '000 head of livestock (supply side, assumes self-sufficiency)","World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
low_cost_milk_supply,buffaloes,1977,45.0,3600,2.9,"product column = '000 head of livestock (supply side, assumes self-sufficiency)","World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
consumption_total,total,1972,,86076,100.0,product column = '000 tons of the named dairy product,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
consumption_total,total,1977,,122469,100.0,product column = '000 tons of the named dairy product,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
supply_total,total_head_000,1972,1729.0,86076,100.0,"product column = '000 head of livestock (supply side, assumes self-sufficiency)","World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
supply_total,total_head_000,1977,2832.0,122469,100.0,"product column = '000 head of livestock (supply side, assumes self-sufficiency)","World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
