year,area,metric,value,unit,source,country_iso3
1965,urban,households_surveyed,1192,count,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,rural,households_surveyed,1015,count,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,urban,households_surveyed,1224,count,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,rural,households_surveyed,2182,count,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,urban,households_surveyed,1618,count,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,rural,households_surveyed,11569,count,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,urban,households_surveyed,3719,count,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,rural,households_surveyed,8306,count,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,urban,households_surveyed,4301,count,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,rural,households_surveyed,7408,count,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,urban,households_surveyed,6048,count,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,rural,households_surveyed,3772,count,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,urban,households_surveyed,15166,count,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1971,rural,households_surveyed,14344,count,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,urban,expenditure_food_and_tobacco_share,49.6,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1965,rural,expenditure_food_and_tobacco_share,66.8,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,urban,expenditure_food_and_tobacco_share,47.1,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1966,rural,expenditure_food_and_tobacco_share,60.0,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,urban,expenditure_food_and_tobacco_share,48.1,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1967,rural,expenditure_food_and_tobacco_share,61.1,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,urban,expenditure_food_and_tobacco_share,49.4,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1968,rural,expenditure_food_and_tobacco_share,64.4,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,urban,expenditure_food_and_tobacco_share,51.4,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1969,rural,expenditure_food_and_tobacco_share,66.5,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,urban,expenditure_food_and_tobacco_share,46.6,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
1970,rural,expenditure_food_and_tobacco_share,66.8,percent_of_total_expenditure,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.2",IRN
