year,monthly_expenditure_bracket_rials,group,pct_households,cumulative_pct,source,country_iso3
1971,under_2000,total,9.9,9.9,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,under_2000,urban,4.7,4.7,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,under_2000,rural,15.5,15.5,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,2000_2900,total,13.7,23.6,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,2000_2900,urban,7.6,12.3,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,2000_2900,rural,20.1,35.6,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,3000_3900,total,14.4,38.0,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,3000_3900,urban,10.5,22.8,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,3000_3900,rural,18.6,54.2,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,4000_4999,total,12.5,50.5,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,4000_4999,urban,11.2,34.0,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,4000_4999,rural,14.0,68.2,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,5000_7499,total,19.8,70.3,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,5000_7499,urban,22.4,56.4,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,5000_7499,rural,17.2,85.4,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,7500_9999,total,11.1,81.4,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,7500_9999,urban,14.9,71.3,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,7500_9999,rural,7.1,92.5,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,10000_12499,total,6.2,87.6,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,10000_12499,urban,9.1,80.4,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
1971,10000_12499,rural,3.1,95.6,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org) Table 9.3 (World Bank mission estimate from SCI survey microdata)",IRN
