commodity,period,rural_000tons,urban_000tons,total_000tons,note,source,country_iso3
wheat,1972,2935,1665,4600,,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
wheat,1977,3158,2211,5369,"Projection assumes 8.3% annual growth in per-caput expenditure, 1.2% rural pop growth, 5.1% urban pop growth","World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
wheat,1982_low,3319,2737,6056,"Low growth scenario: 5.1% p.a. growth in per-caput expenditure, 0.8% rural pop growth, 4.6% urban pop growth","World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
wheat,1982_high,3341,2896,6237,"High growth scenario: 9.5% p.a. growth in per-caput expenditure, 0.8% rural pop growth, 3.9% urban pop growth","World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
meat_red,1972,150,270,420,,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
meat_red,1977,197,446,643,"Projection assumes 8.3% annual growth in per-caput expenditure, 1.2% rural pop growth, 5.1% urban pop growth","World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
meat_red,1982_low,235,594,829,"Low growth scenario: 5.1% p.a. growth in per-caput expenditure, 0.8% rural pop growth, 4.6% urban pop growth","World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
meat_red,1982_high,262,750,1012,"High growth scenario: 9.5% p.a. growth in per-caput expenditure, 0.8% rural pop growth, 3.9% urban pop growth","World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
meat_white,1972,22,46,68,,"World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
meat_white,1977,35,92,127,"Projection assumes 8.3% annual growth in per-caput expenditure, 1.2% rural pop growth, 5.1% urban pop growth","World Bank, 'Economic Development of Iran' (1974) Statistical Appendix, via World Bank Archives (openknowledge.worldbank.org)",IRN
