indicator,1900_rough_estimate,2006,unit
Population,8.6,70.5,millions
Population rank in the world,20,18,rank (1=largest)
Population out of (number of countries ranked),228,211,count
Per capita income,1000,7400,constant 2000 PPP US dollars
Per capita income rank in the world,44,78,rank (1=highest)
Per capita income out of (number of countries ranked),68,187,"count; 1900 note: '68 countries for which data is available'"
Urbanization rate,27,64,percent
Life expectancy (total),<30,71,years; 1900 value shown in source as '<30?' (uncertain rough estimate)
Life expectancy rank in the world,,114,rank; 1900 value shown in source as '?' (unknown/not estimated)
Literacy rate (population 15+),<5,83,percent; 1900 value shown in source as '<5?' (uncertain rough estimate)
Share of agriculture in GDP,65,15,percent
Trade-GDP ratio,35,68,percent
