country_iso3,age_group,area,solar_year,gregorian_year,in_education_pct_female,in_education_pct_male,in_education_pct_national_both_sexes,source,notes
IRN,Population 6-24 years,non_resident,1375,1996,20.97,35.36,,"SCI, 1375 (1996) Census, Selected Findings, Table Kh (خ, school enrollment by broad age group)",
IRN,Population 6-24 years,rural,1375,1996,50.16,62.31,,"SCI, 1375 (1996) Census, Selected Findings, Table Kh (خ, school enrollment by broad age group)",
IRN,Population 6-24 years,urban,1375,1996,71.7,74.09,66.15,"SCI, 1375 (1996) Census, Selected Findings, Table Kh (خ, school enrollment by broad age group)",
IRN,Children (6-10 years),non_resident,1375,1996,2.05,63.93,,"SCI, 1375 (1996) Census, Selected Findings, Table Kh (خ, school enrollment by broad age group)","Non-resident 6-10yo female value printed as 2.05% (far below the equivalent rural/urban figures ~84-95%) — plausible for a nomadic/unsettled population with limited school access, preserved exactly as printed, not treated as an error."
IRN,Children (6-10 years),rural,1375,1996,84.25,91.27,,"SCI, 1375 (1996) Census, Selected Findings, Table Kh (خ, school enrollment by broad age group)",
IRN,Children (6-10 years),urban,1375,1996,94.52,95.37,91.86,"SCI, 1375 (1996) Census, Selected Findings, Table Kh (خ, school enrollment by broad age group)",
IRN,Adolescents (11-14 years),non_resident,1375,1996,20.67,43.39,,"SCI, 1375 (1996) Census, Selected Findings, Table Kh (خ, school enrollment by broad age group)",
IRN,Adolescents (11-14 years),rural,1375,1996,63.54,83.33,,"SCI, 1375 (1996) Census, Selected Findings, Table Kh (خ, school enrollment by broad age group)",
IRN,Adolescents (11-14 years),urban,1375,1996,92.68,94.04,85.56,"SCI, 1375 (1996) Census, Selected Findings, Table Kh (خ, school enrollment by broad age group)",
IRN,Youth (15-24 years),non_resident,1375,1996,2.47,8.32,,"SCI, 1375 (1996) Census, Selected Findings, Table Kh (خ, school enrollment by broad age group)",
IRN,Youth (15-24 years),rural,1375,1996,17.89,27.34,,"SCI, 1375 (1996) Census, Selected Findings, Table Kh (خ, school enrollment by broad age group)",
IRN,Youth (15-24 years),urban,1375,1996,44.15,47.35,36.53,"SCI, 1375 (1996) Census, Selected Findings, Table Kh (خ, school enrollment by broad age group)",
