table,province,area,year,metric,value,unit,source,country_iso3
Table 1 - Population Changes,Total country,total,2006,population,70495782,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 1 - Population Changes,Total country,total,2006,average_annual_growth_rate,1.62,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 1 - Population Changes,Total country,total,2011,population,75149669,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 1 - Population Changes,Total country,total,2011,average_annual_growth_rate,1.29,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 1 - Population Changes,Total country,urban,2006,population,48259964,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 1 - Population Changes,Total country,urban,2006,average_annual_growth_rate,2.74,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 1 - Population Changes,Total country,urban,2011,population,53646661,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 1 - Population Changes,Total country,urban,2011,average_annual_growth_rate,2.14,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 1 - Population Changes,Total country,rural,2006,population,22131101,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 1 - Population Changes,Total country,rural,2006,average_annual_growth_rate,-0.4,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 1 - Population Changes,Total country,rural,2011,population,21446783,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 1 - Population Changes,Total country,rural,2011,average_annual_growth_rate,-0.63,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 2 - Population Indicators by Urban/Rural,Total country,total,2006,households,17501771,count,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 2 - Population Indicators by Urban/Rural,Total country,total,2006,average_household_size,4.03,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 2 - Population Indicators by Urban/Rural,Total country,total,2006,male_share,50.9,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 2 - Population Indicators by Urban/Rural,Total country,total,2006,female_share,49.1,percent,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 2 - Population Indicators by Urban/Rural,Total country,total,2011,households,21185647,count,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
Table 2 - Population Indicators by Urban/Rural,Total country,total,2011,average_household_size,3.55,persons,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)",IRN
