province_or_governorate,year,population_thousands,value_type,notes,source,country_iso3
Total Country,1956,18955,census,National total per this table; footnote in source states province totals do not sum to this because provincial estimates were made on a province-by-province projection basis independent of the national total,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Total Country,1966,25789,census,National total per this table; footnote in source states province totals do not sum to this because provincial estimates were made on a province-by-province projection basis independent of the national total,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Total Country,1967,26652,intercensal_estimate,National total per this table; footnote in source states province totals do not sum to this because provincial estimates were made on a province-by-province projection basis independent of the national total,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Total Country,1968,27488,intercensal_estimate,National total per this table; footnote in source states province totals do not sum to this because provincial estimates were made on a province-by-province projection basis independent of the national total,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Total Country,1969,28577,intercensal_estimate,National total per this table; footnote in source states province totals do not sum to this because provincial estimates were made on a province-by-province projection basis independent of the national total,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Total Country,1970,29280,intercensal_estimate,National total per this table; footnote in source states province totals do not sum to this because provincial estimates were made on a province-by-province projection basis independent of the national total,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Total Country,1971,30224,intercensal_estimate,National total per this table; footnote in source states province totals do not sum to this because provincial estimates were made on a province-by-province projection basis independent of the national total,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Total Country,1972,31207,intercensal_estimate,National total per this table; footnote in source states province totals do not sum to this because provincial estimates were made on a province-by-province projection basis independent of the national total,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Central Province (Ostan-e Markazi -- includes Tehran),1956,2717,census,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Central Province (Ostan-e Markazi -- includes Tehran),1966,4985,census,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Central Province (Ostan-e Markazi -- includes Tehran),1967,5204,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Central Province (Ostan-e Markazi -- includes Tehran),1968,5424,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Central Province (Ostan-e Markazi -- includes Tehran),1969,5658,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Central Province (Ostan-e Markazi -- includes Tehran),1970,5897,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Central Province (Ostan-e Markazi -- includes Tehran),1971,6151,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Central Province (Ostan-e Markazi -- includes Tehran),1972,6416,intercensal_estimate,,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Gilan Province,1956,1650,census,"1956 figure (1650) appears to be a combined Gilan+Zanjan figure per source formatting (bracketed rows); treat 1956 column for rows 3-4 as joint, not fully disaggregated","World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Gilan Province,1966,1294,census,"1956 figure (1650) appears to be a combined Gilan+Zanjan figure per source formatting (bracketed rows); treat 1956 column for rows 3-4 as joint, not fully disaggregated","World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Gilan Province,1967,1350,intercensal_estimate,"1956 figure (1650) appears to be a combined Gilan+Zanjan figure per source formatting (bracketed rows); treat 1956 column for rows 3-4 as joint, not fully disaggregated","World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Gilan Province,1968,1565,intercensal_estimate,"1956 figure (1650) appears to be a combined Gilan+Zanjan figure per source formatting (bracketed rows); treat 1956 column for rows 3-4 as joint, not fully disaggregated","World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Gilan Province,1969,1402,intercensal_estimate,"1956 figure (1650) appears to be a combined Gilan+Zanjan figure per source formatting (bracketed rows); treat 1956 column for rows 3-4 as joint, not fully disaggregated","World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Gilan Province,1970,1459,intercensal_estimate,"1956 figure (1650) appears to be a combined Gilan+Zanjan figure per source formatting (bracketed rows); treat 1956 column for rows 3-4 as joint, not fully disaggregated","World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Gilan Province,1971,1478,intercensal_estimate,"1956 figure (1650) appears to be a combined Gilan+Zanjan figure per source formatting (bracketed rows); treat 1956 column for rows 3-4 as joint, not fully disaggregated","World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Gilan Province,1972,1518,intercensal_estimate,"1956 figure (1650) appears to be a combined Gilan+Zanjan figure per source formatting (bracketed rows); treat 1956 column for rows 3-4 as joint, not fully disaggregated","World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Zanjan Province,1956,1650,census,See note on row 3 -- 1956 value shared/bracketed with Gilan in original table,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Zanjan Province,1966,461,census,See note on row 3 -- 1956 value shared/bracketed with Gilan in original table,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Zanjan Province,1967,470,intercensal_estimate,See note on row 3 -- 1956 value shared/bracketed with Gilan in original table,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Zanjan Province,1968,478,intercensal_estimate,See note on row 3 -- 1956 value shared/bracketed with Gilan in original table,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Zanjan Province,1969,487,intercensal_estimate,See note on row 3 -- 1956 value shared/bracketed with Gilan in original table,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Zanjan Province,1970,496,intercensal_estimate,See note on row 3 -- 1956 value shared/bracketed with Gilan in original table,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Zanjan Province,1971,504,intercensal_estimate,See note on row 3 -- 1956 value shared/bracketed with Gilan in original table,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Zanjan Province,1972,516,intercensal_estimate,See note on row 3 -- 1956 value shared/bracketed with Gilan in original table,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Mazandaran Province,1956,1684,census,1956 figure (1684) appears bracketed jointly with Semnan Governorate row below per source formatting,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Mazandaran Province,1966,1845,census,1956 figure (1684) appears bracketed jointly with Semnan Governorate row below per source formatting,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
Mazandaran Province,1967,1927,intercensal_estimate,1956 figure (1684) appears bracketed jointly with Semnan Governorate row below per source formatting,"World Bank 1974 Economic Development of Iran, Vol.4 Statistical Appendix, Table 1.1 (provincial population series)",IRN
