province,age_group,residence,sex,population,source,country_iso3
Alborz,All Age Groups,Total,Both,2412513,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,All Age Groups,Total,Male,1222621,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,All Age Groups,Total,Female,1189892,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,All Age Groups,Urban,Both,2184371,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,All Age Groups,Urban,Male,1104627,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,All Age Groups,Urban,Female,1079744,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,All Age Groups,Rural,Both,228142,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,All Age Groups,Rural,Male,117994,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,All Age Groups,Rural,Female,110148,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,0-4 Age Group,Total,Both,179209,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,0-4 Age Group,Total,Male,91867,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,0-4 Age Group,Total,Female,87342,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,0-4 Age Group,Urban,Both,161624,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,0-4 Age Group,Urban,Male,82897,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,0-4 Age Group,Urban,Female,78727,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,0-4 Age Group,Rural,Both,17585,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
Alborz,0-4 Age Group,Rural,Male,8970,"SCI, 2011 National Population and Housing Census, provincial tables (Iran Data Portal mirror)",IRN
