year_or_period,metric,value,unit,cited_source,country_iso3
1868 (Jan-Mar),First modern-style census in Persia -- population of Tehran counted by Abd-al-Ghaffar Najm-al-Dawla,,see notes,"Iranica CENSUS i. In Iran, para ~9 (early modern census history section)",IRN
1883-84,Households counted in 11 wards of Shiraz,6327,households,"Iranica CENSUS i. In Iran, quoting Hasan Fasa'i Shirazi, II pp.22-23",IRN
1883-84,Population of 11 wards of Shiraz -- men and boys,25284,persons,"Iranica CENSUS i. In Iran, quoting Hasan Fasa'i Shirazi, II pp.22-23",IRN
1883-84,Population of 11 wards of Shiraz -- women and girls,28323,persons,"Iranica CENSUS i. In Iran, quoting Hasan Fasa'i Shirazi, II pp.22-23",IRN
1874,Population of Kerman city,40228,persons,"Iranica CENSUS i. In Iran, quoting Wazizi Kermani, p.40",IRN
1956 (Ābān/November),First complete national census of Iran -- provisional total population (Public Statistics Department communiqué),18945000,persons,"Iranica CENSUS i. In Iran, para ~14 (definitive vs provisional figures section), citing Amar-e Omumi Adhar 1335",IRN
1956 (1 November - 16 November),First complete national census of Iran -- definitive total population,18954704,persons,"Iranica CENSUS i. In Iran, para ~14; CROSS-VALIDATES exactly against UN Demographic Yearbook Historical Supplement Table 2 and the WB 1962 economic-development report citation",IRN
1956,"Persons who worked on the census (enumerators, supervisors, etc.)",26836,persons,"Iranica CENSUS i. In Iran, para ~13, citing Amar-e Omumi Aban 1340 p.iv and Markaz-e Amar-e Iran Shahrivar 1362 p.7",IRN
1956,Number of census districts (hawza),119,districts,"Iranica CENSUS i. In Iran, para ~13",IRN
1956,Number of census regions (nahia),25,regions,"Iranica CENSUS i. In Iran, para ~13",IRN
1956,Average family size (khanvar) recorded,4.76,persons per family,"Iranica CENSUS i. In Iran, para ~15, citing Majmu'a-ye Ketab-e Agah pp.155-56 -- NOTE article suggests this may be understated due to unclear treatment of absent family members vs 1966 methodology",IRN
1956,Urban share of population,31,percent,"Iranica DEMOGRAPHY, para under Migration heading (Table 17 cross-reference); also Iranica CENSUS i. In Iran para on 1986 comparison",IRN
1966 (Ābān/November),Total population,25789000,persons,"Iranica CENSUS i. In Iran, para on 1966 census aggregate returns",IRN
1966,Sedentary (settled) population,25079000,persons,"Iranica CENSUS i. In Iran, para on 1966 census aggregate returns -- matches UN DYB Table 3 exactly (25,078,923) which explicitly excludes mobile+tribal population",IRN
1966,Sedentary population households,5029000,households,"Iranica CENSUS i. In Iran, para on 1966 census aggregate returns (incl. 1615 collective households with 159000 members)",IRN
1966,"Mobile (non-tribal, no fixed abode) population",244000,persons,"Iranica CENSUS i. In Iran, para on 1966 census aggregate returns (45000 households: ~13000 persons/2725 households urban + 231000 persons/42000 households rural)",IRN
1966,Tribal population,466000,persons,"Iranica CENSUS i. In Iran, para on 1966 census aggregate returns (92000 households; article notes tribal/mobile boundary was not clearly drawn in this census)",IRN
1966,Average family size (khanvar) recorded,4.98,persons per family,"Iranica CENSUS i. In Iran, para ~15, citing Majmu'a-ye Ketab-e Agah pp.155-56",IRN
1966,Enumerators employed,12885,persons,"Iranica CENSUS i. In Iran, para on 1966 census organization, citing Markaz-e Amar-e Iran Esfand 1346 vol.168 p.alef",IRN
1966,Number of provinces (ostan) at time of census,13,provinces,"Iranica CENSUS i. In Iran, para on 1966 census administrative basis",IRN
1966,Number of small provinces (farmandari-e koll),8,small provinces,"Iranica CENSUS i. In Iran, para on 1966 census administrative basis",IRN
1966,Number of counties (shahrestan),146,counties,"Iranica CENSUS i. In Iran, para on 1966 census administrative basis",IRN
1966,Census returns published,230,fascicles,"Iranica CENSUS i. In Iran, para on 1966 publication, citing Markaz-e Amar-e Iran Shahrivar 1362 Bulletin 2 p.9",IRN
1966,Seasonally unemployed persons,442000,persons,"Iranica CENSUS i. In Iran, para comparing 1966/1976 seasonal unemployment -- 61% of all unemployed, 5.8% of economically active population",IRN
1966,Urban share of population,38,percent,"Iranica CENSUS i. In Iran, para on 1976 urban comparison (also Iranica DEMOGRAPHY Table 17 cross-reference)",IRN
1976 (8-28 Ābān / 30 Oct - 19 Nov),Total population,33708744,persons,Iranica CENSUS i. In Iran -- matches UN DYB Historical Supplement Table 2 exactly,IRN
1976,Total census fieldwork/administrative staff,30358,persons,"Iranica CENSUS i. In Iran, para on 1976 census staffing detail (16600 fieldwork enumerators incl. 600 for mobile groups, 4007 subdivision heads, 2315 technical/editing officers, 626 division heads, 614 zone/shahrestan/ostan officers, 31 urban-zone heads in Tehran+Mashhad, 161 shahrestan managers, 23 ostan managers, 4326 drivers, 1655 admin/finance officials)",IRN
1976,Urban population,15855000,persons,"Iranica CENSUS i. In Iran, para on 1976 urbanization (47% of total, vs 38% in 1966); matches WB 1974 report Table 1.2 urban figure (15,854,680) almost exactly",IRN
1976,Urban share of population,47,percent,"Iranica CENSUS i. In Iran, para on 1976 urbanization",IRN
1976,Places classified as urban (population 5000+ or shahrestan headquarters),373,places,"Iranica CENSUS i. In Iran, para on 1976 urban definition",IRN
1976,Seasonally unemployed persons,644000,persons,"Iranica CENSUS i. In Iran, para comparing 1966/1976 seasonal unemployment -- 65% of all unemployed, 6.6% of economically active population",IRN
1986 (16-30 Mehr / 8-22 October),Total population,49445000,persons,"Iranica CENSUS i. In Iran -- matches UN DYB Historical Supplement Table 2 exactly (49,445,010)",IRN
1986,Total households,9674000,households,"Iranica CENSUS i. In Iran, para on 1986 aggregate returns",IRN
1986,Sedentary population,49194000,persons,"Iranica CENSUS i. In Iran, para on 1986 aggregate returns (9628000 households incl. 1454 collective households)",IRN
1986,Non-sedentary (mobile + tribal) population,251000,persons,"Iranica CENSUS i. In Iran, para on 1986 aggregate returns (~46000 households)",IRN
1986,Population of working age,32874000,persons,"Iranica CENSUS i. In Iran, para on 1986 economic-activity aggregate",IRN
