province,sex,age_group,population,source,country_iso3
Total country,Both,All Ages,79926270,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Total country,Male,All Ages,40498442,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Total country,Female,All Ages,39427828,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Total country,Male,0-4,3649800,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Total country,Female,0-4,3443204,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Total country,Male,5-9,3286030,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Total country,Female,5-9,3125247,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Total country,Male,10-14,2911423,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Total country,Female,10-14,2776961,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Total country,Male,15-19,2785688,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Total country,Female,15-19,2673309,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Total country,Male,20-24,3236975,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Total country,Female,20-24,3155904,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Total country,Male,25-29,4143445,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Total country,Female,25-29,4057688,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Total country,Male,30-34,4340448,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Total country,Female,30-34,4260465,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Total country,Male,35-39,3572403,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Total country,Female,35-39,3465195,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Total country,Male,40-44,2813890,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Total country,Female,40-44,2704417,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Total country,Male,45-49,2454427,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Total country,Female,45-49,2378696,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
