table,province,area,year,metric,value,unit,source,country_iso3
Population & household trends 1986-2016,Total country,total,1986,population,49445010,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,1986,male_population,25280961,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,1986,female_population,24164049,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,1986,sex_ratio,105,males_per_100_females,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,1986,households,9673931,count,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,1986,average_household_size,5.1,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,1996,population,60055488,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,1996,male_population,30515159,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,1996,female_population,29540329,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,1996,sex_ratio,103,males_per_100_females,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,1996,households,12398235,count,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,1996,average_household_size,4.8,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,2006,population,70495782,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,2006,male_population,35866362,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,2006,female_population,34629420,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,2006,sex_ratio,104,males_per_100_females,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,2006,households,17501771,count,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,2006,average_household_size,4.0,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
Population & household trends 1986-2016,Total country,total,2011,population,75149669,persons,"SCI, Iran National Population and Housing Census 2016: Selected Results",IRN
