country_iso3,activity_status,solar_year,gregorian_year,pct_non_resident_female,pct_non_resident_male,pct_rural_female,pct_rural_male,pct_urban_female,pct_urban_male,pct_national,source,notes
IRN,Total,1375,1996,100.0,100.0,100.0,100.0,100.0,100.0,100.0,"SCI, 1375 (1996) Census, Selected Findings, Table D (د, activity/employment status)","Flat (non-hierarchical) categories sum to ~100.02% nationally (Employed + Unemployed-parent + Student + Homemaker + Has-income-without-work + Other + Not-stated), confirming 'previously employed'/'never previously employed' are sub-splits OF 'Unemployed, seeking work' (0.84+2.37=3.21, matching exactly) rather than additional flat categories — do not double-count them when summing this table."
IRN,Employed,1375,1996,11.55,24.54,9.15,58.94,7.11,53.62,32.1,"SCI, 1375 (1996) Census, Selected Findings, Table D (د, activity/employment status)",
IRN,"Unemployed, seeking work (parent category)",1375,1996,2.05,4.96,1.53,5.57,1.01,4.9,3.21,"SCI, 1375 (1996) Census, Selected Findings, Table D (د, activity/employment status)",
IRN,  of which: previously employed,1375,1996,0.04,0.47,0.09,1.15,0.09,1.81,0.84,"SCI, 1375 (1996) Census, Selected Findings, Table D (د, activity/employment status)","Sub-category of 'Unemployed, seeking work'."
IRN,  of which: never previously employed,1375,1996,2.01,4.49,1.44,4.32,0.92,3.09,2.37,"SCI, 1375 (1996) Census, Selected Findings, Table D (د, activity/employment status)","Sub-category of 'Unemployed, seeking work'."
IRN,Student,1375,1996,6.31,11.8,19.67,25.91,30.88,30.87,27.83,"SCI, 1375 (1996) Census, Selected Findings, Table D (د, activity/employment status)",
IRN,Homemaker,1375,1996,71.95,0.62,61.9,0.57,56.26,0.49,29.06,"SCI, 1375 (1996) Census, Selected Findings, Table D (د, activity/employment status)",
IRN,Has income without working,1375,1996,0.97,1.21,2.15,2.9,1.3,4.75,2.86,"SCI, 1375 (1996) Census, Selected Findings, Table D (د, activity/employment status)",
IRN,Other,1375,1996,6.6,5.71,4.71,4.73,2.4,3.87,3.74,"SCI, 1375 (1996) Census, Selected Findings, Table D (د, activity/employment status)",
IRN,Not stated,1375,1996,0.58,1.16,0.88,1.38,1.04,1.49,1.22,"SCI, 1375 (1996) Census, Selected Findings, Table D (د, activity/employment status)",
