province,breakdown,population,male,female,households,level,source,country_iso3
Total country,Total country,79926270,40498442,39427828,24196035,national,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Total country,Setteled in urban areas,59146847,29841414,29305433,18125488,national,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Total country,Settled in rural areas,20730625,10630549,10100076,6054939,national,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Total country,Unsettled,48798,26479,22319,15608,national,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Total,3909652,1989400,1920252,1223028,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Setteled in urban areas,2809424,1420520,1388904,887143,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Settled in rural areas,1100220,568875,531345,335878,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Unsettled,8,5,3,7,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
West Azarbayejan.,Total,3265219,1658319,1606900,935956,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
West Azarbayejan.,Setteled in urban areas,2136203,1076565,1059638,631103,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
West Azarbayejan.,Settled in rural areas,1129000,581738,547262,304837,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
West Azarbayejan.,Unsettled,16,16,0,16,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Ardebil,Total,1270420,650255,620165,377423,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Ardebil,Setteled in urban areas,866034,441024,425010,256895,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Ardebil,Settled in rural areas,404236,209151,195085,120481,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Ardebil,Unsettled,150,80,70,47,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Esfahan,Total,5120850,2599477,2521373,1607482,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Esfahan,Setteled in urban areas,4507309,2282289,2225020,1411624,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Esfahan,Settled in rural areas,613073,316951,296122,195701,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Esfahan,Unsettled,468,237,231,157,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Alborz,Total,2712400,1376335,1336065,856116,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Alborz,Setteled in urban areas,2512737,1271099,1241638,793024,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Alborz,Settled in rural areas,199559,105181,94378,62995,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Alborz,Unsettled,104,55,49,97,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Ilam,Total,580158,295199,284959,159310,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Ilam,Setteled in urban areas,395263,200419,194844,109648,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Ilam,Settled in rural areas,184444,94549,89895,49542,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Ilam,Unsettled,451,231,220,120,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Bushehr,Total,1163400,620722,542678,321826,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Bushehr,Setteled in urban areas,835955,437516,398439,237025,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Bushehr,Settled in rural areas,325495,182221,143274,84265,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Bushehr,Unsettled,1950,985,965,536,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Tehran,Total,13267637,6673672,6593965,4288563,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Tehran,Setteled in urban areas,12452230,6242180,6210050,4052507,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Tehran,Settled in rural areas,814698,430911,383787,235397,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Tehran,Unsettled,709,581,128,659,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Total,947763,482356,465407,270434,province,"SCI, 2016 National Population and Housing Census, Population/Household by Province & Sub-province table (Iran Data Portal mirror)",IRN
