year_iranian,year_western,employed_male,employed_female,employed_total,female_share_pct,country_iso3
1345,1966-1967,6172187.0,943600.0,7115787.0,13.3,IRN
1346,1967-1968,6244709.0,957858.0,7195931.0,13.3,IRN
1347,1968-1969,6320697.0,976555.0,7308593.0,13.4,IRN
1348,1969-1970,6339787.0,991819.0,7394693.0,13.4,IRN
1349,1970-1971,6363495.0,1009683.0,7499356.0,13.5,IRN
1350,1971-1972,6417031.0,1029660.0,7618748.0,13.5,IRN
1351,1972-1973,6502104.0,1045348.0,7705508.0,13.6,IRN
1352,1973-1974,6674304.0,1079320.0,7925777.0,13.6,IRN
1353,1974-1975,6823341.0,1110570.0,8124343.0,13.7,IRN
1354,1975-1976,7156751.0,1133439.0,8260218.0,13.7,IRN
1355,1976-1977,7587400.0,1212020.0,8799420.0,13.8,IRN
1356,1977-1978,7863674.0,1188935.0,9024018.0,13.2,IRN
1357,1978-1979,8082165.0,1160266.0,9206557.0,12.6,IRN
1358,1979-1980,8441989.0,1150031.0,9539965.0,12.1,IRN
1359,1980-1981,8663086.0,1116671.0,9684120.0,11.5,IRN
1360,1981-1982,8923322.0,1091063.0,9891959.0,11.0,IRN
1361,1982-1983,9253419.0,1073529.0,10175216.0,10.6,IRN
1362,1983-1984,9601863.0,1063042.0,10533630.0,10.1,IRN
1363,1984-1985,9737036.0,1029050.0,10660111.0,9.7,IRN
1364,1985-1986,9938036.0,1009704.0,10934950.0,9.2,IRN
1365,1986-1987,10079789.0,976541.0,11056330.0,8.8,IRN
1366,1987-1988,10372664.0,1016831.0,11369713.0,8.9,IRN
1367,1988-1989,10603599.0,1052074.0,11617885.0,9.1,IRN
1368,1989-1990,10874520.0,1093531.0,11925921.0,9.2,IRN
1369,1990-1991,11333877.0,1164923.0,12546955.0,9.3,IRN
1370,1991-1992,11865389.0,1231226.0,13096615.0,9.4,IRN
1371,1992-1993,11950232.0,1311642.0,13261874.0,9.9,IRN
1372,1993-1994,12013338.0,1395154.0,13408492.0,10.4,IRN
1373,1994-1995,12189938.0,1498387.0,13688326.0,10.9,IRN
1374,1995-1996,12441505.0,1619251.0,14060756.0,11.5,IRN
1375,1996-1997,12806170.0,1765402.0,14571572.0,12.1,IRN
1376,1997-1998,13128091.0,1833543.0,14961634.0,12.3,IRN
1377,1998-1999,13462667.0,1904999.0,15367666.0,12.4,IRN
1378,1999-2000,13971140.0,2002990.0,15974130.0,12.5,IRN
1379,2000-2001,14544435.0,2112694.0,16657129.0,12.7,IRN
1380,2001-2002,14916841.0,2195425.0,17112267.0,12.8,IRN
1381,2002-2003,15561242.0,2320587.0,17881829.0,13.0,IRN
1382,2003-2004,15985774.0,2415510.0,18401284.0,13.1,IRN
1383,2004-2005,16555652.0,2534854.0,19090506.0,13.3,IRN
1384,2005-2006,17050284.0,2645330.0,19695613.0,13.4,IRN
1385,2006-2007,17694467.0,2781874.0,20476341.0,13.6,IRN
1386,2007-2008,17724496.0,2767937.0,20492433.0,13.5,IRN
1387,2008-2009,17743003.0,2752291.0,20495295.0,13.4,IRN
1388,2009-2010,17763793.0,2737100.0,20500893.0,13.4,IRN
1389,2010-2011,17795889.0,2723735.0,20519624.0,13.3,IRN
1390,2011-2012,17835317.0,2711557.0,20546874.0,13.2,IRN
