year_iranian,year_western,agriculture,oil,mining,industry,water_electricity_gas,construction,transport_storage,communication,trade_hotels_restaurants,services_financial,services_real_estate,services_public_social,uncategorized,total,country_iso3
1335,1956-1957,3325721.0,52702.0,14085.0,773566.0,7684.0,335754.0,202162.0,5890.0,402137.0,12018.0,6902.0,593434.0,175611.0,5907666.0,IRN
1336,1957-1958,3354786.0,53077.0,15181.0,814689.0,8898.0,382378.0,204819.0,6936.0,454735.0,14483.0,7924.0,603409.0,171497.0,6092811.0,IRN
1337,1958-1959,3358817.0,52886.0,15958.0,849416.0,10467.0,392410.0,205799.0,8710.0,504690.0,17776.0,8883.0,642277.0,167479.0,6235568.0,IRN
1338,1959-1960,3357033.0,52994.0,16695.0,889777.0,12421.0,407056.0,206111.0,10460.0,537603.0,18843.0,10466.0,639183.0,163556.0,6322197.0,IRN
1339,1960-1961,3359410.0,52663.0,15622.0,927797.0,15158.0,420299.0,206140.0,11942.0,548926.0,18314.0,11488.0,697188.0,159724.0,6444670.0,IRN
1340,1961-1962,3361139.0,50159.0,16079.0,958212.0,17102.0,436928.0,206152.0,12740.0,548566.0,21412.0,12855.0,696026.0,155983.0,6493351.0,IRN
1341,1962-1963,3361791.0,46925.0,17407.0,1025521.0,13504.0,436390.0,206144.0,13145.0,559547.0,21814.0,14329.0,707708.0,152328.0,6576554.0,IRN
1342,1963-1964,3365132.0,45339.0,16405.0,1071145.0,17621.0,441960.0,206164.0,13382.0,546461.0,24154.0,15607.0,727345.0,148760.0,6639476.0,IRN
1343,1964-1965,3362215.0,45053.0,18154.0,1100716.0,20842.0,439309.0,206330.0,14031.0,556083.0,29550.0,16794.0,754207.0,145275.0,6708560.0,IRN
1344,1965-1966,3373704.0,44849.0,18644.0,1165772.0,21336.0,523980.0,208284.0,14164.0,578176.0,31817.0,17800.0,824242.0,141872.0,6964639.0,IRN
1345,1966-1967,3380023.0,44711.0,18961.0,1260680.0,22816.0,509778.0,209679.0,14407.0,552566.0,34142.0,18760.0,910716.0,138548.0,7115787.0,IRN
1346,1967-1968,3360204.0,44830.0,19532.0,1295440.0,24950.0,537161.0,210074.0,14891.0,623096.0,35757.0,19485.0,875985.0,130247.0,7191653.0,IRN
1347,1968-1969,3335349.0,44273.0,21080.0,1333615.0,28030.0,582120.0,210704.0,15712.0,624974.0,38975.0,20118.0,925404.0,122443.0,7302796.0,IRN
1348,1969-1970,3307616.0,44329.0,20809.0,1367082.0,32725.0,614070.0,211246.0,16963.0,625496.0,41386.0,20682.0,970691.0,115106.0,7388202.0,IRN
1349,1970-1971,3292086.0,44130.0,23584.0,1390779.0,36323.0,669982.0,214044.0,17718.0,627129.0,45759.0,21975.0,1000163.0,108209.0,7491881.0,IRN
1350,1971-1972,3273452.0,43972.0,24745.0,1429335.0,40512.0,701625.0,216792.0,20056.0,636692.0,46868.0,23076.0,1055186.0,101726.0,7614038.0,IRN
1351,1972-1973,3219601.0,43030.0,28411.0,1457733.0,46306.0,725481.0,227317.0,27439.0,642957.0,51327.0,23510.0,1107401.0,95631.0,7696144.0,IRN
1352,1973-1974,3202245.0,42708.0,31427.0,1470322.0,51003.0,855461.0,245690.0,35821.0,641821.0,55100.0,25123.0,1167767.0,89901.0,7914389.0,IRN
1353,1974-1975,3141023.0,47766.0,33413.0,1480418.0,57320.0,897191.0,305156.0,36883.0,643201.0,61352.0,26966.0,1301106.0,84514.0,8116308.0,IRN
1354,1975-1976,3062243.0,50010.0,39152.0,1496626.0,59514.0,953843.0,359450.0,38122.0,648489.0,64861.0,31581.0,1371608.0,79450.0,8254946.0,IRN
1355,1976-1977,2991869.0,55473.0,44740.0,1661734.0,61633.0,1188720.0,392932.0,38538.0,668494.0,68858.0,31615.0,1520124.0,74690.0,8799420.0,IRN
1356,1977-1978,2994818.0,58666.0,43201.0,1642396.0,65280.0,1192535.0,430901.0,40936.0,674934.0,70495.0,28634.0,1693816.0,87403.0,9024018.0,IRN
1357,1978-1979,3007202.0,59394.0,41371.0,1619388.0,69361.0,1193238.0,437744.0,41907.0,684389.0,69366.0,31992.0,1848923.0,102282.0,9206557.0,IRN
1358,1979-1980,3041852.0,59972.0,36244.0,1554944.0,76656.0,1191445.0,467905.0,41798.0,691134.0,72637.0,28647.0,2157037.0,119694.0,9539965.0,IRN
1359,1980-1981,3062131.0,60465.0,34167.0,1528849.0,77170.0,1194706.0,501803.0,42777.0,702157.0,72747.0,28366.0,2238713.0,140069.0,9684120.0,IRN
