year_iranian,year_western,area,gender,lfp_rate_percent
1384,2005-2006,national,both_genders,41
1384,2005-2006,national,men,64.7
1384,2005-2006,national,women,17
1384,2005-2006,urban,both_genders,39.4
1384,2005-2006,urban,men,63.7
1384,2005-2006,urban,women,14.4
1384,2005-2006,rural,both_genders,44.7
1384,2005-2006,rural,men,66.9
1384,2005-2006,rural,women,22.6
1385,2006-2007,national,both_genders,40.4
1385,2006-2007,national,men,63.9
1385,2006-2007,national,women,16.4
1385,2006-2007,urban,both_genders,38.8
1385,2006-2007,urban,men,63
1385,2006-2007,urban,women,14
1385,2006-2007,rural,both_genders,43.9
1385,2006-2007,rural,men,66
1385,2006-2007,rural,women,21.8
1386,2007-2008,national,both_genders,39.8
1386,2007-2008,national,men,63.5
1386,2007-2008,national,women,15.6
1386,2007-2008,urban,both_genders,38.2
1386,2007-2008,urban,men,62.6
1386,2007-2008,urban,women,13.1
1386,2007-2008,rural,both_genders,43.6
1386,2007-2008,rural,men,65.7
1386,2007-2008,rural,women,21.5
1387,2008-2009,national,both_genders,38
1387,2008-2009,national,men,61.9
1387,2008-2009,national,women,13.6
1387,2008-2009,urban,both_genders,36.5
1387,2008-2009,urban,men,60.7
1387,2008-2009,urban,women,11.7
1387,2008-2009,rural,both_genders,41.5
1387,2008-2009,rural,men,65.1
1387,2008-2009,rural,women,18
1388,2009-2010,national,both_genders,38.9
1388,2009-2010,national,men,62.8
1388,2009-2010,national,women,14.5
1388,2009-2010,urban,both_genders,37.7
1388,2009-2010,urban,men,61.6
1388,2009-2010,urban,women,13.1
1388,2009-2010,rural,both_genders,41.9
1388,2009-2010,rural,men,65.9
1388,2009-2010,rural,women,18.1
1389,2010-2011,national,both_genders,38.3
1389,2010-2011,national,men,62.1
1389,2010-2011,national,women,14.1
1389,2010-2011,urban,both_genders,37.3
1389,2010-2011,urban,men,61
1389,2010-2011,urban,women,13
1389,2010-2011,rural,both_genders,40.8
1389,2010-2011,rural,men,65.1
1389,2010-2011,rural,women,16.7
1390,2011-2012,national,both_genders,36.9
1390,2011-2012,national,men,60.7
1390,2011-2012,national,women,12.6
1390,2011-2012,urban,both_genders,35.8
1390,2011-2012,urban,men,59.3
1390,2011-2012,urban,women,11.7
1390,2011-2012,rural,both_genders,39.8
1390,2011-2012,rural,men,64.8
1390,2011-2012,rural,women,15
1391,2012-2013,national,both_genders,37.4
1391,2012-2013,national,men,61.2
1391,2012-2013,national,women,13.7
1391,2012-2013,urban,both_genders,36.5
1391,2012-2013,urban,men,60
1391,2012-2013,urban,women,12.9
1391,2012-2013,rural,both_genders,40
1391,2012-2013,rural,men,64.7
1391,2012-2013,rural,women,15.7
1392,2013-2014,national,both_genders,37.6
1392,2013-2014,national,men,63
1392,2013-2014,national,women,12.4
1392,2013-2014,urban,both_genders,36.9
1392,2013-2014,urban,men,61.8
1392,2013-2014,urban,women,11.8
1392,2013-2014,rural,both_genders,39.7
1392,2013-2014,rural,men,66
1392,2013-2014,rural,women,13.8
1393,2014-2015,national,both_genders,37.2
1393,2014-2015,national,men,62.5
1393,2014-2015,national,women,12
1393,2014-2015,urban,both_genders,36.5
1393,2014-2015,urban,men,61.3
1393,2014-2015,urban,women,11.6
1393,2014-2015,rural,both_genders,39.1
1393,2014-2015,rural,men,65.6
1393,2014-2015,rural,women,13.1
