year_iranian,year_western,inflation_rate_pct,country_iso3,source
1316,1937-1938,21.2,IRN,"Central Bank of Iran, via Iran Data Portal"
1317,1938-1939,8.8,IRN,"Central Bank of Iran, via Iran Data Portal"
1318,1939-1940,8.0,IRN,"Central Bank of Iran, via Iran Data Portal"
1319,1940-1941,13.8,IRN,"Central Bank of Iran, via Iran Data Portal"
1320,1941-1942,49.5,IRN,"Central Bank of Iran, via Iran Data Portal"
1321,1942-1943,96.2,IRN,"Central Bank of Iran, via Iran Data Portal"
1322,1943-1944,110.5,IRN,"Central Bank of Iran, via Iran Data Portal"
1323,1944-1945,2.7,IRN,"Central Bank of Iran, via Iran Data Portal"
1324,1945-1946,-14.4,IRN,"Central Bank of Iran, via Iran Data Portal"
1325,1946-1947,-11.5,IRN,"Central Bank of Iran, via Iran Data Portal"
1326,1947-1948,6.6,IRN,"Central Bank of Iran, via Iran Data Portal"
1327,1948-1949,11.1,IRN,"Central Bank of Iran, via Iran Data Portal"
1328,1949-1950,2.3,IRN,"Central Bank of Iran, via Iran Data Portal"
1329,1950-1951,-17.2,IRN,"Central Bank of Iran, via Iran Data Portal"
1330,1951-1952,8.3,IRN,"Central Bank of Iran, via Iran Data Portal"
1331,1952-1953,7.2,IRN,"Central Bank of Iran, via Iran Data Portal"
1332,1953-1954,9.2,IRN,"Central Bank of Iran, via Iran Data Portal"
1333,1954-1955,15.9,IRN,"Central Bank of Iran, via Iran Data Portal"
1334,1955-1956,1.7,IRN,"Central Bank of Iran, via Iran Data Portal"
1335,1956-1957,8.8,IRN,"Central Bank of Iran, via Iran Data Portal"
1336,1957-1958,4.4,IRN,"Central Bank of Iran, via Iran Data Portal"
1337,1958-1959,1.0,IRN,"Central Bank of Iran, via Iran Data Portal"
1338,1959-1960,13.0,IRN,"Central Bank of Iran, via Iran Data Portal"
1339,1960-1961,7.9,IRN,"Central Bank of Iran, via Iran Data Portal"
1340,1961-1962,1.6,IRN,"Central Bank of Iran, via Iran Data Portal"
1341,1962-1963,0.9,IRN,"Central Bank of Iran, via Iran Data Portal"
1342,1963-1964,1.0,IRN,"Central Bank of Iran, via Iran Data Portal"
1343,1964-1965,4.5,IRN,"Central Bank of Iran, via Iran Data Portal"
1344,1965-1966,0.3,IRN,"Central Bank of Iran, via Iran Data Portal"
1345,1966-1967,0.8,IRN,"Central Bank of Iran, via Iran Data Portal"
1346,1967-1968,0.8,IRN,"Central Bank of Iran, via Iran Data Portal"
1347,1968-1969,1.5,IRN,"Central Bank of Iran, via Iran Data Portal"
1348,1969-1970,3.6,IRN,"Central Bank of Iran, via Iran Data Portal"
1349,1970-1971,1.5,IRN,"Central Bank of Iran, via Iran Data Portal"
1350,1971-1972,5.5,IRN,"Central Bank of Iran, via Iran Data Portal"
1351,1972-1973,6.3,IRN,"Central Bank of Iran, via Iran Data Portal"
1352,1973-1974,11.2,IRN,"Central Bank of Iran, via Iran Data Portal"
1353,1974-1975,15.5,IRN,"Central Bank of Iran, via Iran Data Portal"
1354,1975-1976,9.9,IRN,"Central Bank of Iran, via Iran Data Portal"
1355,1976-1977,16.6,IRN,"Central Bank of Iran, via Iran Data Portal"
1356,1977-1978,25.1,IRN,"Central Bank of Iran, via Iran Data Portal"
1357,1978-1979,10.0,IRN,"Central Bank of Iran, via Iran Data Portal"
1358,1979-1980,11.4,IRN,"Central Bank of Iran, via Iran Data Portal"
1359,1980-1981,23.5,IRN,"Central Bank of Iran, via Iran Data Portal"
1360,1981-1982,22.8,IRN,"Central Bank of Iran, via Iran Data Portal"
1361,1982-1983,19.2,IRN,"Central Bank of Iran, via Iran Data Portal"
1362,1983-1984,14.8,IRN,"Central Bank of Iran, via Iran Data Portal"
1363,1984-1985,10.4,IRN,"Central Bank of Iran, via Iran Data Portal"
1364,1985-1986,6.9,IRN,"Central Bank of Iran, via Iran Data Portal"
1365,1986-1987,23.7,IRN,"Central Bank of Iran, via Iran Data Portal"
1366,1987-1988,27.7,IRN,"Central Bank of Iran, via Iran Data Portal"
1367,1988-1989,28.9,IRN,"Central Bank of Iran, via Iran Data Portal"
1368,1989-1990,17.4,IRN,"Central Bank of Iran, via Iran Data Portal"
1369,1990-1991,9.0,IRN,"Central Bank of Iran, via Iran Data Portal"
1370,1991-1992,20.7,IRN,"Central Bank of Iran, via Iran Data Portal"
1371,1992-1993,24.4,IRN,"Central Bank of Iran, via Iran Data Portal"
1372,1993-1994,22.9,IRN,"Central Bank of Iran, via Iran Data Portal"
1373,1994-1995,35.2,IRN,"Central Bank of Iran, via Iran Data Portal"
1374,1995-1996,49.4,IRN,"Central Bank of Iran, via Iran Data Portal"
1375,1996-1997,23.2,IRN,"Central Bank of Iran, via Iran Data Portal"
1376,1997-1998,17.3,IRN,"Central Bank of Iran, via Iran Data Portal"
1377,1998-1999,18.1,IRN,"Central Bank of Iran, via Iran Data Portal"
1378,1999-2000,20.1,IRN,"Central Bank of Iran, via Iran Data Portal"
1379,2000-2001,12.6,IRN,"Central Bank of Iran, via Iran Data Portal"
1380,2001-2002,11.4,IRN,"Central Bank of Iran, via Iran Data Portal"
1381,2002-2003,15.8,IRN,"Central Bank of Iran, via Iran Data Portal"
1382,2003-2004,15.6,IRN,"Central Bank of Iran, via Iran Data Portal"
1383,2004-2005,15.2,IRN,"Central Bank of Iran, via Iran Data Portal"
1384,2005-2006,10.4,IRN,"Central Bank of Iran, via Iran Data Portal"
1385,2006-2007,11.9,IRN,"Central Bank of Iran, via Iran Data Portal"
1386,2007-2008,18.4,IRN,"Central Bank of Iran, via Iran Data Portal"
1387,2008-2009,25.4,IRN,"Central Bank of Iran, via Iran Data Portal"
1388,2009-2010,10.8,IRN,"Central Bank of Iran, via Iran Data Portal"
1389,2010-2011,12.4,IRN,"Central Bank of Iran, via Iran Data Portal"
1390,2011-2012,21.5,IRN,"Central Bank of Iran, via Iran Data Portal"
1391,2012-2013,30.5,IRN,"Central Bank of Iran, via Iran Data Portal"
1392,2013-2014,34.7,IRN,"Central Bank of Iran, via Iran Data Portal"
1393,2014-2015,15.6,IRN,"Central Bank of Iran, via Iran Data Portal"
