year_iranian,year_western,population_group,occupation_category,persons_employed
1384,2005-2006,"Country, Both Genders",Total,20618579
1384,2005-2006,"Country, Both Genders",Legislators/Senior Officials/Managers,636661
1384,2005-2006,"Country, Both Genders",Professionals,1690073
1384,2005-2006,"Country, Both Genders",Technicians and Associate Professionals,978099
1384,2005-2006,"Country, Both Genders",Clerical and Administrative Workers,913889
1384,2005-2006,"Country, Both Genders",Service Workers and Shop/Market Sales Workers,2579084
1384,2005-2006,"Country, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,4064376
1384,2005-2006,"Country, Both Genders",Crafts and Related Trades Workers,4118168
1384,2005-2006,"Country, Both Genders",Machinery Operators/Assemblers/Drivers,2202476
1384,2005-2006,"Country, Both Genders",Laborers,2961818
1384,2005-2006,"Country, Both Genders",Other or Not Declared,473930
1384,2005-2006,"Country, Males",Total,16656918
1384,2005-2006,"Country, Males",Legislators/Senior Officials/Managers,534143
1384,2005-2006,"Country, Males",Professionals,957302
1384,2005-2006,"Country, Males",Technicians and Associate Professionals,806498
1384,2005-2006,"Country, Males",Clerical and Administrative Workers,674381
1384,2005-2006,"Country, Males",Service Workers and Shop/Market Sales Workers,2289689
1384,2005-2006,"Country, Males",Skilled Agriculture/Forestry/Fisheries Workers,3038934
1384,2005-2006,"Country, Males",Crafts and Related Trades Workers,3126696
1384,2005-2006,"Country, Males",Machinery Operators/Assemblers/Drivers,2179719
1384,2005-2006,"Country, Males",Laborers,2581193
1384,2005-2006,"Country, Males",Other or Not Declared,468358
1384,2005-2006,"Country, Females",Total,3961661
1384,2005-2006,"Country, Females",Legislators/Senior Officials/Managers,102518
1384,2005-2006,"Country, Females",Professionals,732771
1384,2005-2006,"Country, Females",Technicians and Associate Professionals,171601
1384,2005-2006,"Country, Females",Clerical and Administrative Workers,239508
1384,2005-2006,"Country, Females",Service Workers and Shop/Market Sales Workers,289395
1384,2005-2006,"Country, Females",Skilled Agriculture/Forestry/Fisheries Workers,1025442
1384,2005-2006,"Country, Females",Crafts and Related Trades Workers,991471
1384,2005-2006,"Country, Females",Machinery Operators/Assemblers/Drivers,22757
1384,2005-2006,"Country, Females",Laborers,380624
1384,2005-2006,"Country, Females",Other or Not Declared,5571
1384,2005-2006,"Urban Areas, Both Genders",Total,13221040
1384,2005-2006,"Urban Areas, Both Genders",Legislators/Senior Officials/Managers,584795
1384,2005-2006,"Urban Areas, Both Genders",Professionals,1549933
1384,2005-2006,"Urban Areas, Both Genders",Technicians and Associate Professionals,872861
1384,2005-2006,"Urban Areas, Both Genders",Clerical and Administrative Workers,830898
1384,2005-2006,"Urban Areas, Both Genders",Service Workers and Shop/Market Sales Workers,2170973
1384,2005-2006,"Urban Areas, Both Genders",Skilled Agriculture/Forestry/Fisheries Workers,660177
1384,2005-2006,"Urban Areas, Both Genders",Crafts and Related Trades Workers,2961467
1384,2005-2006,"Urban Areas, Both Genders",Machinery Operators/Assemblers/Drivers,1674684
1384,2005-2006,"Urban Areas, Both Genders",Laborers,1512171
1384,2005-2006,"Urban Areas, Both Genders",Other or Not Declared,403077
1384,2005-2006,"Urban Areas, Males",Total,11150746
1384,2005-2006,"Urban Areas, Males",Legislators/Senior Officials/Managers,486405
1384,2005-2006,"Urban Areas, Males",Professionals,858850
1384,2005-2006,"Urban Areas, Males",Technicians and Associate Professionals,718880
1384,2005-2006,"Urban Areas, Males",Clerical and Administrative Workers,605283
