bank_name,persian_name_transliteration,establishment_year,license_operations_date,notes,source
Eqtesad Novin Bank (EN Bank),Bank Eqtesad-e Novin,2000,2001,"Established 2000 as part of government's banking privatization; widely cited as Iran's first private bank of the post-revolution privatization wave; began commercial operations 2001","Wikipedia EN Bank; WebSearch aggregation of company histories"
Karafarin Bank,Bank Karafarin,2001,2001,"Among the first cohort of banks entering the network from 2001 onward alongside Parsian and Eqtesad Novin","Wikipedia Karafarin Bank"
Parsian Bank,Bank Parsian,2001,2002-01,"Incorporated September 2001; commenced operations January 2002 after Central Bank of Iran issued its banking license","Wikipedia Parsian Bank"
Saman Bank,Bank Saman,,2002-08,"Received full banking license and adopted the name Saman Bank in August 2002 (had operated in a more limited financial-institution form prior)","Iran Watch / WebSearch aggregation"
Pasargad Bank,Bank Pasargad,2005,2005-09-13,"Established as Iran's fifth private bank under a Central Bank of Iran license dated September 13, 2005",Wikipedia Bank Pasargad
Sarmayeh Bank,Bank Sarmayeh,2005,,"Founded 2005",Wikipedia Sarmayeh Bank
Sina Bank,Bank Sina,,2001-2011,"Operating by the end of the 2001-2011 first-wave-of-eight-banks period per Iran1400.org; exact founding year not independently confirmed beyond that range",Iran1400.org
Tat Bank,Bank Tat,2009,,"Founded 2009 by businessman Ali Ansari with initial capital ~2 trillion rials; later merged into Ayandeh Bank (2013)",WebSearch aggregation (Wikipedia/Grokipedia Ayandeh Bank cross-check)
Dey Bank,Bank Dey,,2001-2011,"Operating by end of the 2001-2011 first-wave-of-eight-banks period per Iran1400.org; exact founding year not independently confirmed",Iran1400.org
Shahr Bank,Bank Shahr,,2001-2011,"Operating by end of the 2001-2011 first-wave-of-eight-banks period per Iran1400.org; exact founding year not independently confirmed",Iran1400.org
Ayandeh Bank,Bank Ayandeh,2013,2015-03-17,"Established 2013 via merger of Bank Tat with the state-linked Salehin Credit Institution and Atee Credit Institution; received its own CBI operating license (no. 93/349144) March 17 2015; license REVOKED and bank dissolved/merged into Bank Melli on 2025-10-23 following a corruption/mismanagement scandal -- included as the most recent bookend of the post-2001 private-bank cycle","Wikipedia Ayandeh Bank; Al Jazeera 2025-10-27 'Corruption, mismanagement in spotlight as Iran dissolves major private bank'"
(seven unspecified banks),,2001-2011,,"Per Iran1400.org: 'until 2011, seven additional banks launched' beyond the Karafarin/Parsian/Eqtesad-Novin first cohort -- named as Pasargad, Saman, Sarmayeh, Sina, Tat, Dey, Shahr (all individually rowed above except this summary note)",Iran1400.org
(eight unspecified banks),,2011,,"Iran1400.org: 'in 2011, eight new private banks were established -- unprecedented levels in Iranian banking history'; individual names not identified in sources checked this round -- flagged as an open lead for a future continuation pass",Iran1400.org
