consultation_year,mission_or_conclusion_date,event_type,headline_findings,source_name,source_url
2002,2002-06-26 to 2002-07-11 (mission),Mission concluding statement,"IMF mission visited Tehran 26 June-11 July 2002. Mission commended Iranian authorities for the March 2002 exchange-rate unification (merging the official and parallel/market rates into a single managed rate) and the smooth transition, which enhanced business confidence and reform credibility.","IMF - 'Islamic Republic of Iran -- 2002 Article IV Consultation, Concluding Statement of the IMF Mission'",https://www.imf.org/en/News/Articles/2015/09/28/04/52/mcs071102
2004,"2004 (mission, exact date not captured this round)",Mission concluding statement,"Mission led by Abdelali Jbili (Assistant Director, Middle East and Central Asia Dept). Findings: real GDP growth high and broad-based in 2003-04; unemployment declined; gross international reserves rose to over 6 months of import cover; external current-account surplus narrowed vs. prior year; inflation ~15%.",IMF - 'Statement by IMF 2004 Article IV Consultation Mission to the Islamic Republic of Iran' / IMF Country Report 04/308,https://www.imf.org/en/news/articles/2015/09/14/01/49/pr04123
2006,"2007-02 (Executive Board conclusion, per PN 07/29)",Public Information Notice,"Executive Board concluded the 2006 Article IV Consultation with Iran (headline findings not captured in this round's search snippets -- see PN for full text).",IMF - Public Information Notice PN/07/29,https://www.imf.org/en/News/Articles/2015/09/28/04/53/pn0729
2011,2011-07-20,Executive Board conclusion,"Executive Board concluded the 2011 Article IV Consultation with Iran on 20 July 2011 (Public Information Notice 11/107).",IMF - Public Information Notice PN/11/107,https://www.imf.org/en/news/articles/2015/09/28/04/53/pn11107
2014,2014-03-28,Executive Board conclusion,"Executive Board concluded the 2014 Article IV Consultation with Iran on 28 March 2014.",IMF - Press Release 14/152 / mission statement PR 14/50,https://www.imf.org/en/News/Articles/2015/09/14/01/49/pr14152
2015,2015-12-07,Executive Board conclusion,"Executive Board concluded the 2015 Article IV Consultation with Iran on 7 December 2015 -- notable as the consultation immediately following the JCPOA nuclear deal (finalized 14 July 2015, ahead of Jan 2016 Implementation Day sanctions relief).",IMF - Press Release 15/581,https://www.imf.org/en/news/articles/2015/09/14/01/49/pr15581
2016,2017-02-24 (also reported 2017-02-27),Executive Board conclusion,"Executive Board concluded the 2016 Article IV Consultation with Iran in late February 2017 -- the first full post-JCPOA-implementation review, assessing the initial sanctions-relief growth rebound.",IMF - Press Release 17/65,https://www.imf.org/en/news/articles/2017/02/27/pr1765-imf-executive-board-concludes-2016-article-iv-consultation-with-the-islamic-republic-of-iran
2018,2018-03-21 (also reported as 2018-03-22 / 2018-03-29 in secondary sources),Executive Board conclusion,"Executive Board concluded the 2018 Article IV Consultation with Iran -- the LAST full Article IV consultation completed with Iran as of this round's research (mid-2026), a 7+ year gap follows.",IMF - Press Release 18/114 / IMF Country Report 18/93,https://www.imf.org/en/News/Articles/2018/03/29/pr18114-iran-imf-executive-board-concludes-2018-article-iv-consultation
2019-2024,gap (no full consultation completed),Consultation gap,"No full Article IV Consultation with Iran was completed for calendar/consultation years 2019 through 2024 -- the longest gap in Iran's IMF consultation history captured in this dataset. Consistent with the IMF's standard procedure for members with delayed consultations (often due to sanctions-related data-access or scheduling constraints), Iran received only informal staff monitoring during this period rather than a formal Board-concluded consultation.",IMF - 'Islamic Republic of Iran and the IMF' country page + informal-briefing press release (below),https://www.imf.org/en/countries/irn
2025,2025-03-14,Informal Executive Board briefing (not a full Article IV conclusion),"IMF Executive Board received an INFORMAL staff briefing on economic developments in Iran on 14 March 2025 -- grouped together with Afghanistan, Sudan, Syria, Tunisia, and Yemen, i.e. the IMF's standard cohort of members whose Article IV consultations are significantly delayed. This is explicitly NOT a full Article IV consultation conclusion, underscoring that Iran's formal consultation cycle has been suspended/delayed since 2018.","IMF - Press Release 25/65 'IMF Holds Informal Board Briefing on Afghanistan, Iran, Sudan, Syria, Tunisia, and Yemen'",https://www.imf.org/en/news/articles/2025/03/14/pr-2565-mcd-imf-holds-informal-board-briefing-on-afghanistan-iran-sudan-syria-tunisia-yemen
