year,metric,value,unit,source
1898,first_daily_newspaper_founded,1,event,"Encyclopaedia Iranica COMMUNICATIONS in Persia (Sreberny-Mohammadi & Mohammadi 1992) -- Kholasat al-hawadeth, first daily, 31 Oct 1898"
1923,persian_interest_dailies_and_magazines,173,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Sazman-e barnama 1973 p.74 -- period 1300-03 Sh/1921-24"
1944,periodicals_in_persian_period_total,454,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Elwell-Sutton 1968 -- total distinct periodicals published across period 1320-26 Sh/1941-47, placed at period midpoint 1944"
1975,daily_newspapers,28,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia -- 'by the 1970s'"
1975,weekly_papers,88,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia -- 'by the 1970s'"
1975,weekly_magazines,29,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia -- 'by the 1970s'"
1975,monthly_magazines,57,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia -- 'by the 1970s'"
1975,foreign_newspapers_in_circulation,13,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia -- 'by the 1970s'"
1976,daily_weekly_monthly_papers_total,198,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Barzin pp.7-13 -- 1355 Sh/1976"
1976,literacy_rate_age10plus_male,57,percent,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Markaz-e amar (Statistical Centre of Iran) p.25 -- 1355 Sh/1976"
1976,literacy_rate_age10plus_female,32,percent,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Markaz-e amar (Statistical Centre of Iran) p.25 -- 1355 Sh/1976"
1980,daily_weekly_monthly_newspapers_total,237,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Hafta-nama-ye otaq-e bazargani... 1990 pp.13-15 -- period 1357-59 Sh/1979 to summer 1980, before university closures"
1988,daily_weekly_monthly_periodicals_total,163,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing same source pp.14-15 -- 1367 Sh/1988, post-contraction figure"
