country_iso3,indicator_id,year,value,unit,source_dataset,original_period_label,source_report_file
IRN,natural_gas_consumption__major_industries,2005,13.3,billion cubic meters,cbi-annual-review,2005/06,cbi_annual_review_1388_2009-10.txt
IRN,natural_gas_consumption__major_industries,2006,14.5,billion cubic meters,cbi-annual-review,2006/07,cbi_annual_review_1389_2010-11.txt
IRN,natural_gas_consumption__major_industries,2007,16.0,billion cubic meters,cbi-annual-review,2007/08,cbi_annual_review_1390_2011-12.txt
IRN,natural_gas_consumption__major_industries,2008,20.2,billion cubic meters,cbi-annual-review,2008/09,cbi_annual_review_1390_2011-12.txt
IRN,natural_gas_consumption__major_industries,2009,23.2,billion cubic meters,cbi-annual-review,2009/10,cbi_annual_review_1390_2011-12.txt
IRN,natural_gas_consumption__major_industries,2010,26.9,billion cubic meters,cbi-annual-review,2010/11,cbi_annual_review_1390_2011-12.txt
IRN,natural_gas_consumption__major_industries,2011,29.4,billion cubic meters,cbi-annual-review,2011/12,cbi_annual_review_1390_2011-12.txt
IRN,natural_gas_consumption__major_industries,2015,33.1,billion cubic meters,cbi-annual-review,2015/16,cbi_annual_review_1398_2019-20.txt
IRN,natural_gas_consumption__major_industries,2016,34.2,billion cubic meters,cbi-annual-review,2016/17,cbi_annual_review_1399_2020-21.txt
IRN,natural_gas_consumption__major_industries,2017,37.0,billion cubic meters,cbi-annual-review,2017/18,cbi_annual_review_1400_2021-22.txt
IRN,natural_gas_consumption__major_industries,2018,39.4,billion cubic meters,cbi-annual-review,2018/19,cbi_annual_review_1401_2022-23.txt
IRN,natural_gas_consumption__major_industries,2019,42.0,billion cubic meters,cbi-annual-review,2019/20,cbi_annual_review_1401_2022-23.txt
IRN,natural_gas_consumption__major_industries,2020,45.3,billion cubic meters,cbi-annual-review,2020/21,cbi_annual_review_1401_2022-23.txt
IRN,natural_gas_consumption__major_industries,2021,45.6,billion cubic meters,cbi-annual-review,2021/22,cbi_annual_review_1401_2022-23.txt
IRN,natural_gas_consumption__major_industries,2022,47.9,billion cubic meters,cbi-annual-review,2022/23,cbi_annual_review_1401_2022-23.txt
IRN,natural_gas_consumption__power_plants,2005,34.9,billion cubic meters,cbi-annual-review,2005/06,cbi_annual_review_1388_2009-10.txt
IRN,natural_gas_consumption__power_plants,2006,35.6,billion cubic meters,cbi-annual-review,2006/07,cbi_annual_review_1389_2010-11.txt
IRN,natural_gas_consumption__power_plants,2007,37.0,billion cubic meters,cbi-annual-review,2007/08,cbi_annual_review_1390_2011-12.txt
IRN,natural_gas_consumption__power_plants,2008,42.9,billion cubic meters,cbi-annual-review,2008/09,cbi_annual_review_1390_2011-12.txt
IRN,natural_gas_consumption__power_plants,2009,42.2,billion cubic meters,cbi-annual-review,2009/10,cbi_annual_review_1390_2011-12.txt
IRN,natural_gas_consumption__power_plants,2010,44.5,billion cubic meters,cbi-annual-review,2010/11,cbi_annual_review_1390_2011-12.txt
IRN,natural_gas_consumption__power_plants,2011,37.7,billion cubic meters,cbi-annual-review,2011/12,cbi_annual_review_1390_2011-12.txt
IRN,natural_gas_consumption__power_plants,2015,58.0,billion cubic meters,cbi-annual-review,2015/16,cbi_annual_review_1398_2019-20.txt
IRN,natural_gas_consumption__power_plants,2016,61.1,billion cubic meters,cbi-annual-review,2016/17,cbi_annual_review_1399_2020-21.txt
IRN,natural_gas_consumption__power_plants,2017,67.6,billion cubic meters,cbi-annual-review,2017/18,cbi_annual_review_1400_2021-22.txt
IRN,natural_gas_consumption__power_plants,2018,67.7,billion cubic meters,cbi-annual-review,2018/19,cbi_annual_review_1401_2022-23.txt
IRN,natural_gas_consumption__power_plants,2019,60.8,billion cubic meters,cbi-annual-review,2019/20,cbi_annual_review_1401_2022-23.txt
IRN,natural_gas_consumption__power_plants,2020,65.9,billion cubic meters,cbi-annual-review,2020/21,cbi_annual_review_1401_2022-23.txt
IRN,natural_gas_consumption__power_plants,2021,71.3,billion cubic meters,cbi-annual-review,2021/22,cbi_annual_review_1401_2022-23.txt
IRN,natural_gas_consumption__power_plants,2022,71.4,billion cubic meters,cbi-annual-review,2022/23,cbi_annual_review_1401_2022-23.txt
IRN,natural_gas_consumption__residential_commercial_industrial,2005,49.5,billion cubic meters,cbi-annual-review,2005/06,cbi_annual_review_1388_2009-10.txt
IRN,natural_gas_consumption__residential_commercial_industrial,2006,59.1,billion cubic meters,cbi-annual-review,2006/07,cbi_annual_review_1389_2010-11.txt
IRN,natural_gas_consumption__residential_commercial_industrial,2007,69.5,billion cubic meters,cbi-annual-review,2007/08,cbi_annual_review_1390_2011-12.txt
IRN,natural_gas_consumption__residential_commercial_industrial,2008,69.7,billion cubic meters,cbi-annual-review,2008/09,cbi_annual_review_1390_2011-12.txt
IRN,natural_gas_consumption__residential_commercial_industrial,2009,75.8,billion cubic meters,cbi-annual-review,2009/10,cbi_annual_review_1390_2011-12.txt
IRN,natural_gas_consumption__residential_commercial_industrial,2010,79.4,billion cubic meters,cbi-annual-review,2010/11,cbi_annual_review_1390_2011-12.txt
IRN,natural_gas_consumption__residential_commercial_industrial,2011,85.6,billion cubic meters,cbi-annual-review,2011/12,cbi_annual_review_1390_2011-12.txt
IRN,natural_gas_consumption__total,2005,97.7,billion cubic meters,cbi-annual-review,2005/06,cbi_annual_review_1388_2009-10.txt
IRN,natural_gas_consumption__total,2006,109.2,billion cubic meters,cbi-annual-review,2006/07,cbi_annual_review_1389_2010-11.txt
IRN,natural_gas_consumption__total,2007,122.5,billion cubic meters,cbi-annual-review,2007/08,cbi_annual_review_1390_2011-12.txt
IRN,natural_gas_consumption__total,2008,132.8,billion cubic meters,cbi-annual-review,2008/09,cbi_annual_review_1390_2011-12.txt
IRN,natural_gas_consumption__total,2009,141.2,billion cubic meters,cbi-annual-review,2009/10,cbi_annual_review_1390_2011-12.txt
IRN,natural_gas_consumption__total,2010,150.8,billion cubic meters,cbi-annual-review,2010/11,cbi_annual_review_1390_2011-12.txt
IRN,natural_gas_consumption__total,2011,152.7,billion cubic meters,cbi-annual-review,2011/12,cbi_annual_review_1390_2011-12.txt
IRN,natural_gas_consumption__total,2015,180.3,billion cubic meters,cbi-annual-review,2015/16,cbi_annual_review_1398_2019-20.txt
IRN,natural_gas_consumption__total,2016,193.5,billion cubic meters,cbi-annual-review,2016/17,cbi_annual_review_1399_2020-21.txt
IRN,natural_gas_consumption__total,2017,201.9,billion cubic meters,cbi-annual-review,2017/18,cbi_annual_review_1400_2021-22.txt
IRN,natural_gas_consumption__total,2018,209.0,billion cubic meters,cbi-annual-review,2018/19,cbi_annual_review_1401_2022-23.txt
IRN,natural_gas_consumption__total,2019,215.4,billion cubic meters,cbi-annual-review,2019/20,cbi_annual_review_1401_2022-23.txt
IRN,natural_gas_consumption__total,2020,232.7,billion cubic meters,cbi-annual-review,2020/21,cbi_annual_review_1401_2022-23.txt
