country_iso3,indicator_id,year,value,unit,source_dataset,original_period_label,source_report_file
IRN,oil_product_production_by_refinery__liquefied_gas,2001,8298,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1380,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__liquefied_gas,2006,8016,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1385,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__liquefied_gas,2011,10120,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1390,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__liquefied_gas,2015,10135,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1394,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__liquefied_gas,2016,9068,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1395,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__liquefied_gas,2017,10774,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1396,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__motor_spirit,2001,37128,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1380,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__motor_spirit,2006,44664,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1385,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__motor_spirit,2011,54820,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1390,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__motor_spirit,2015,67872,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1394,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__motor_spirit,2016,62177,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1395,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__motor_spirit,2017,81911,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1396,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__kerosene,2001,27160,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1380,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__kerosene,2006,21048,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1385,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__kerosene,2011,20199,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1390,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__kerosene,2015,20061,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1394,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__kerosene,2016,20710,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1395,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__kerosene,2017,17035,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1396,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__gas_oil,2001,70879,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1380,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__gas_oil,2006,80473,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1385,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__gas_oil,2011,80352,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1390,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__gas_oil,2015,87606,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1394,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__gas_oil,2016,80339,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1395,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__gas_oil,2017,84795,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1396,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__fuel_oil,2001,80152,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1380,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__fuel_oil,2006,76205,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1385,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__fuel_oil,2011,65643,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1390,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__fuel_oil,2015,72302,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1394,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__fuel_oil,2016,69942,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1395,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__fuel_oil,2017,56853,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1396,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__jet_fuels,2001,3098,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1380,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__jet_fuels,2006,3600,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1385,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__lubricants,2001,1221,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1380,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__lubricants,2006,0,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1385,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__bitumen,2001,8284,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1380,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__bitumen,2006,859,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1385,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__other_products,2001,10382,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1380,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__other_products,2006,24107,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1385,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__total,2001,245891,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1380,sci_yearbook_1399_ch7.pdf
IRN,oil_product_production_by_refinery__total,2006,257313,cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.3,1385,sci_yearbook_1399_ch7.pdf
IRN,natural_gas_production__total,2001,312,million cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.7,1380,sci_yearbook_1399_ch7.pdf
IRN,natural_gas_production__total,2006,464,million cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.7,1385,sci_yearbook_1399_ch7.pdf
IRN,natural_gas_production__total,2011,631,million cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.7,1390,sci_yearbook_1399_ch7.pdf
IRN,natural_gas_production__total,2015,715,million cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.7,1394,sci_yearbook_1399_ch7.pdf
IRN,natural_gas_production__total,2016,779,million cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.7,1395,sci_yearbook_1399_ch7.pdf
IRN,natural_gas_production__total,2017,845,million cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.7,1396,sci_yearbook_1399_ch7.pdf
IRN,natural_gas_production__associated_gas,2001,88,million cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.7,1380,sci_yearbook_1399_ch7.pdf
IRN,natural_gas_production__associated_gas,2006,98,million cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.7,1385,sci_yearbook_1399_ch7.pdf
IRN,natural_gas_production__associated_gas,2011,104,million cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.7,1390,sci_yearbook_1399_ch7.pdf
IRN,natural_gas_production__associated_gas,2015,77,million cubic meters per day (average),sci-amar-yearbook-1399-ch7-table7.7,1394,sci_yearbook_1399_ch7.pdf
