country_iso3,indicator_id,year,value,unit,source_dataset,original_period_label,source_report_file,notes
IRN,motor_vehicle_production__passenger_cars,2009,1200.0,thousand units,SAPCO via CBI Annual Review 2009/10,1388,cbi_annual_review_1388_2009-10.pdf,83.7% of total were passenger cars; 97.5% were light vehicles
IRN,motor_vehicle_production__passenger_cars,2014,958.3,thousand units,SAPCO via CBI Annual Review 2014/15,1393,cbi_annual_review_1393_2014-15.pdf,"+53.3% YoY total, +53.4% YoY passenger cars"
IRN,motor_vehicle_production__passenger_cars,2015,892.6,thousand units,SAPCO via CBI Annual Review 2015/16,1394,cbi_annual_review_1394_2015-16.pdf,"-13.6% YoY total, -6.9% YoY passenger cars"
IRN,motor_vehicle_production__passenger_cars,2017,1429.0,thousand units,"SAPCO via CBI Annual Review 2017/18 (filename mislabeled 1396_2016-17, content is FY2017/18)",1396,cbi_annual_review_1396_2016-17.pdf,"+13.8% YoY total (narrative); passenger-car figure (1,429.0kt) cross-confirmed by Table 24 in the 2021/22 edition"
IRN,motor_vehicle_production__passenger_cars,2018,892.0,thousand units,SAPCO via CBI Annual Review 2018/19,1397,cbi_annual_review_1397_2018-19.pdf,"-37.7% YoY total, -38.2% YoY passenger cars; passenger-car share 93.3%"
IRN,motor_vehicle_production__passenger_cars,2019,758.4,thousand units,"Ministry of Industry, Mine & Trade via CBI Annual Review 2019/20",1398,cbi_annual_review_1398_2019-20.pdf,"-12.6% YoY total, -14.4% YoY passenger cars; passenger-car share 91.2%. Preliminary figure per report's own wording."
IRN,motor_vehicle_production__passenger_cars,2020,903.9,thousand units,"Ministry of Industry, Mine & Trade via CBI Annual Review 2020/21",1399,cbi_annual_review_1399_2020-21.pdf,+19.1% YoY passenger cars (preliminary); total-vehicle figure not separately narrated this edition
IRN,motor_vehicle_production__passenger_cars,2021,864.4,thousand units,"Ministry of Industry, Mine & Trade via CBI Annual Review 2021/22",1400,cbi_annual_review_1400_2021-22.pdf,-4.4% YoY passenger cars; also appears in Table 24 Production Performance of Selected Industries
IRN,motor_vehicle_production__passenger_cars,2022,1071.0,thousand units,"Ministry of Industry, Mine & Trade via CBI Annual Review 2022/23",1401,cbi_annual_review_1401_2022-23.pdf,+23.9% YoY passenger cars; also appears in Table 22 Production Performance of Selected Industries
IRN,motor_vehicle_production__total_light_and_heavy,2009,1420.0,thousand units,SAPCO via CBI Annual Review 2009/10,1388,cbi_annual_review_1388_2009-10.pdf,83.7% of total were passenger cars; 97.5% were light vehicles
IRN,motor_vehicle_production__total_light_and_heavy,2010,1597.4,thousand units,SAPCO via CBI Annual Review 2010/11,1389,cbi_annual_review_1389_2010-11.pdf,"text states 84.4% of manufactured vehicles were passenger cars (~1348.2kt computed, not stated directly -- left blank to avoid a derived figure)"
IRN,motor_vehicle_production__total_light_and_heavy,2012,921.4,thousand units,SAPCO via CBI Annual Review 2012/13,1391,cbi_annual_review_1391_2012-13.pdf,-43.9% YoY vs 2011/12 (2011/12 itself not separately captured -- narrative for that edition did not state the figure)
IRN,motor_vehicle_production__total_light_and_heavy,2014,1130.2,thousand units,SAPCO via CBI Annual Review 2014/15,1393,cbi_annual_review_1393_2014-15.pdf,"+53.3% YoY total, +53.4% YoY passenger cars"
IRN,motor_vehicle_production__total_light_and_heavy,2015,976.8,thousand units,SAPCO via CBI Annual Review 2015/16,1394,cbi_annual_review_1394_2015-16.pdf,"-13.6% YoY total, -6.9% YoY passenger cars"
IRN,motor_vehicle_production__total_light_and_heavy,2016,1350.1,thousand units,SAPCO via CBI Annual Review 2016/17,1395,cbi_annual_review_1395_2016-17.pdf,+38.2% YoY total
IRN,motor_vehicle_production__total_light_and_heavy,2017,1535.8,thousand units,"SAPCO via CBI Annual Review 2017/18 (filename mislabeled 1396_2016-17, content is FY2017/18)",1396,cbi_annual_review_1396_2016-17.pdf,"+13.8% YoY total (narrative); passenger-car figure (1,429.0kt) cross-confirmed by Table 24 in the 2021/22 edition"
IRN,motor_vehicle_production__total_light_and_heavy,2018,956.1,thousand units,SAPCO via CBI Annual Review 2018/19,1397,cbi_annual_review_1397_2018-19.pdf,"-37.7% YoY total, -38.2% YoY passenger cars; passenger-car share 93.3%"
IRN,motor_vehicle_production__total_light_and_heavy,2019,831.7,thousand units,"Ministry of Industry, Mine & Trade via CBI Annual Review 2019/20",1398,cbi_annual_review_1398_2019-20.pdf,"-12.6% YoY total, -14.4% YoY passenger cars; passenger-car share 91.2%. Preliminary figure per report's own wording."
