country_iso3,indicator_id,year,value,unit,source_dataset,source_commodity_label,source_unit,flag
ARG,industry__motor_vehicle_production,2019,314787,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4 (cars and LCV only)",units,
ARG,industry__motor_vehicle_production,2021,434753,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4 (cars and LCV only)",units,
ARG,industry__motor_vehicle_production,2022,536893,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4 (cars and LCV only)",units,
ARG,industry__motor_vehicle_production,2023,610715,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4 (cars and LCV only)",units,
ARG,industry__motor_vehicle_production,2024,506571,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4 (cars and LCV only)",units,
ESP,industry__motor_vehicle_production,2019,2822632,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
ESP,industry__motor_vehicle_production,2021,2098133,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
ESP,industry__motor_vehicle_production,2022,2219436,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
ESP,industry__motor_vehicle_production,2023,2451243,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
ESP,industry__motor_vehicle_production,2024,2376504,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
IRN,industry__motor_vehicle_production,2019,821060,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4 (yearly only)",units,
IRN,industry__motor_vehicle_production,2021,894298,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4 (yearly only)",units,
IRN,industry__motor_vehicle_production,2022,1064215,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4 (yearly only)",units,
IRN,industry__motor_vehicle_production,2023,1089827,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4 (yearly only)",units,
IRN,industry__motor_vehicle_production,2024,1077839,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4 (yearly only)",units,
ITA,industry__motor_vehicle_production,2019,915291,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
ITA,industry__motor_vehicle_production,2021,797243,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
ITA,industry__motor_vehicle_production,2022,798423,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
ITA,industry__motor_vehicle_production,2023,873442,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
ITA,industry__motor_vehicle_production,2024,591067,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
KOR,industry__motor_vehicle_production,2019,3950614,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
KOR,industry__motor_vehicle_production,2021,3462404,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
KOR,industry__motor_vehicle_production,2022,3757049,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
KOR,industry__motor_vehicle_production,2023,4243597,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
KOR,industry__motor_vehicle_production,2024,4127252,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
RUS,industry__motor_vehicle_production,2019,1720487,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
RUS,industry__motor_vehicle_production,2021,1567007,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
RUS,industry__motor_vehicle_production,2022,609082,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
RUS,industry__motor_vehicle_production,2023,729680,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
RUS,industry__motor_vehicle_production,2024,982665,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
TUR,industry__motor_vehicle_production,2019,1461244,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
TUR,industry__motor_vehicle_production,2021,1276140,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
TUR,industry__motor_vehicle_production,2022,1352648,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
TUR,industry__motor_vehicle_production,2023,1468393,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
TUR,industry__motor_vehicle_production,2024,1365296,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
USA,industry__motor_vehicle_production,2019,10892884,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
USA,industry__motor_vehicle_production,2021,9157205,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
USA,industry__motor_vehicle_production,2022,10052958,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
USA,industry__motor_vehicle_production,2023,10639140,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
USA,industry__motor_vehicle_production,2024,10562188,vehicles,oica/By-country-region-2024,"ALL VEHICLES, Q1-Q4",units,
