country_iso3,category,commodity,unit,year,value,flag,source_yearbook_edition
ARG,INDUSTRIAL MINERALS,Asbestos,"Metric tons, gross weight",2012,102,,MYB3-2016
ARG,INDUSTRIAL MINERALS,Asbestos,"Metric tons, gross weight",2013,101,,MYB3-2016
ARG,INDUSTRIAL MINERALS,Asbestos,"Metric tons, gross weight",2015,130,r,MYB3-2016
ARG,INDUSTRIAL MINERALS,Barite,"Metric tons, gross weight",2012,9416,,MYB3-2016
ARG,INDUSTRIAL MINERALS,Barite,"Metric tons, gross weight",2013,26792,,MYB3-2016
ARG,INDUSTRIAL MINERALS,Barite,"Metric tons, gross weight",2014,16265,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,Barite,"Metric tons, gross weight",2015,12917,,MYB3-2019
ARG,INDUSTRIAL MINERALS,Barite,"Metric tons, gross weight",2016,12389,,MYB3-2019
ARG,INDUSTRIAL MINERALS,Barite,"Metric tons, gross weight",2017,5977,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Barite,"Metric tons, gross weight",2018,7225,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Barite,"Metric tons, gross weight",2019,3898,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Barite,"Metric tons, gross weight",2020,4000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Barite,"Metric tons, gross weight",2021,4000,e,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Boron,"Metric tons, gross weight",2014,395058,,MYB3-2017-18
ARG,INDUSTRIAL MINERALS,Boron,"Metric tons, gross weight",2015,246683,,MYB3-2019
ARG,INDUSTRIAL MINERALS,Boron,"Metric tons, gross weight",2016,148390,,MYB3-2019
ARG,INDUSTRIAL MINERALS,Boron,"Metric tons, gross weight",2017,129918,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Boron,"Metric tons, gross weight",2018,71212,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Boron,"Metric tons, gross weight",2019,181878,r,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Boron,"Metric tons, gross weight",2020,134604,,MYB3-2020-21
ARG,INDUSTRIAL MINERALS,Boron,"Metric tons, gross weight",2021,130000,e,MYB3-2020-21
