country_iso3,indicator_id,year,value,unit,source_dataset,source_commodity_label,source_unit,flag
SAU,energy__natural_gas_production_gross,2014,117000.0,million cubic meters,usgs-minerals-yearbook/MYB3-2017-18,"Natural gas, Gross",million cubic meters,
SAU,energy__natural_gas_production_gross,2015,120000.0,million cubic meters,usgs-minerals-yearbook/MYB3-2019,"Natural gas, Gross",million cubic meters,
SAU,energy__natural_gas_production_gross,2016,124000.0,million cubic meters,usgs-minerals-yearbook/MYB3-2019,"Natural gas, Gross",million cubic meters,
SAU,energy__natural_gas_production_gross,2017,115000.0,million cubic meters,usgs-minerals-yearbook/MYB3-2020-21,"Natural gas, Gross",million cubic meters,r
SAU,energy__natural_gas_production_gross,2018,117000.0,million cubic meters,usgs-minerals-yearbook/MYB3-2020-21,"Natural gas, Gross",million cubic meters,r
SAU,energy__natural_gas_production_gross,2019,118000.0,million cubic meters,usgs-minerals-yearbook/MYB3-2020-21,"Natural gas, Gross",million cubic meters,r
SAU,energy__natural_gas_production_gross,2020,119000.0,million cubic meters,usgs-minerals-yearbook/MYB3-2020-21,"Natural gas, Gross",million cubic meters,r
SAU,energy__natural_gas_production_gross,2021,120485.0,million cubic meters,usgs-minerals-yearbook/MYB3-2020-21,"Natural gas, Gross",million cubic meters,
VEN,energy__natural_gas_production_gross,2014,76717.0,million cubic meters,usgs-minerals-yearbook/MYB3-2017-18,"Natural gas, Gross",million cubic meters,
VEN,energy__natural_gas_production_gross,2015,80119.0,million cubic meters,usgs-minerals-yearbook/MYB3-2019,"Natural gas, Gross",million cubic meters,
VEN,energy__natural_gas_production_gross,2016,84600.0,million cubic meters,usgs-minerals-yearbook/MYB3-2019,"Natural gas, Gross",million cubic meters,e
VEN,energy__natural_gas_production_gross,2017,38600.0,million cubic meters,usgs-minerals-yearbook/MYB3-2020-21,"Natural gas, Gross",million cubic meters,r
VEN,energy__natural_gas_production_gross,2018,31600.0,million cubic meters,usgs-minerals-yearbook/MYB3-2022,"Natural gas, Gross",million cubic meters,
VEN,energy__natural_gas_production_gross,2019,25600.0,million cubic meters,usgs-minerals-yearbook/MYB3-2022,"Natural gas, Gross",million cubic meters,
VEN,energy__natural_gas_production_gross,2020,21600.0,million cubic meters,usgs-minerals-yearbook/MYB3-2022,"Natural gas, Gross",million cubic meters,
VEN,energy__natural_gas_production_gross,2021,28100.0,million cubic meters,usgs-minerals-yearbook/MYB3-2022,"Natural gas, Gross",million cubic meters,r
VEN,energy__natural_gas_production_gross,2022,29200.0,million cubic meters,usgs-minerals-yearbook/MYB3-2022,"Natural gas, Gross",million cubic meters,
ARG,energy__natural_gas_production_marketed,2012,44123.0,million cubic meters,usgs-minerals-yearbook/MYB3-2016,Natural gas,million cubic meters,
ARG,energy__natural_gas_production_marketed,2013,41708.0,million cubic meters,usgs-minerals-yearbook/MYB3-2016,Natural gas,million cubic meters,
ARG,energy__natural_gas_production_marketed,2014,41484.0,million cubic meters,usgs-minerals-yearbook/MYB3-2017-18,Natural gas,million cubic meters,
ARG,energy__natural_gas_production_marketed,2015,42895.0,million cubic meters,usgs-minerals-yearbook/MYB3-2019,Natural gas,million cubic meters,
ARG,energy__natural_gas_production_marketed,2016,44988.0,million cubic meters,usgs-minerals-yearbook/MYB3-2019,Natural gas,million cubic meters,
ARG,energy__natural_gas_production_marketed,2017,44595.0,million cubic meters,usgs-minerals-yearbook/MYB3-2020-21,Natural gas,million cubic meters,
ARG,energy__natural_gas_production_marketed,2018,47020.0,million cubic meters,usgs-minerals-yearbook/MYB3-2020-21,Natural gas,million cubic meters,
ARG,energy__natural_gas_production_marketed,2019,49126.0,million cubic meters,usgs-minerals-yearbook/MYB3-2020-21,Natural gas,million cubic meters,
