country_iso3,indicator_id,year,value,unit,source_dataset,source_commodity_label,flag,anomaly
ARG,energy__crude_oil_production,2012,200495,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2016,"Petroleum, Crude",r,oil/refinery series withheld: unverifiable unit in source fuels section
ARG,energy__crude_oil_production,2013,197100,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2016,"Petroleum, Crude",r,oil/refinery series withheld: unverifiable unit in source fuels section
ARG,energy__crude_oil_production,2014,194253,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2017-18,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
ARG,energy__crude_oil_production,2015,194290,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
ARG,energy__crude_oil_production,2016,186639,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
ARG,energy__crude_oil_production,2017,175017,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
ARG,energy__crude_oil_production,2018,178631,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
ARG,energy__crude_oil_production,2019,185639,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
ARG,energy__crude_oil_production,2020,175200,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
ARG,energy__crude_oil_production,2021,187245,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
ESP,energy__crude_oil_production,2014,2182,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2017-18,"Petroleum, Crude",r,oil/refinery series withheld: unverifiable unit in source fuels section
ESP,energy__crude_oil_production,2015,1641,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
ESP,energy__crude_oil_production,2016,995,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
ESP,energy__crude_oil_production,2017,849,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
ESP,energy__crude_oil_production,2018,622,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
ESP,energy__crude_oil_production,2019,288,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
ESP,energy__crude_oil_production,2020,197,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
ESP,energy__crude_oil_production,2021,42,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
ESP,energy__crude_oil_production,2022,7,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
IRN,energy__crude_oil_production,2014,1355610,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2017-18,"Petroleum, Crude",r,oil/refinery series withheld: unverifiable unit in source fuels section
IRN,energy__crude_oil_production,2015,1406345,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
IRN,energy__crude_oil_production,2016,1675548,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Crude",r,oil/refinery series withheld: unverifiable unit in source fuels section
IRN,energy__crude_oil_production,2017,1771710,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Crude, including condensate",r,oil/refinery series withheld: unverifiable unit in source fuels section
IRN,energy__crude_oil_production,2018,1686300,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude, including condensate",r,oil/refinery series withheld: unverifiable unit in source fuels section
IRN,energy__crude_oil_production,2019,1243555,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2023,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
IRN,energy__crude_oil_production,2020,1138800,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2023,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
IRN,energy__crude_oil_production,2021,1333345,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2023,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
IRN,energy__crude_oil_production,2022,1439925,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2023,"Petroleum, Crude",r,oil/refinery series withheld: unverifiable unit in source fuels section
IRN,energy__crude_oil_production,2023,1701630,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2023,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
IRQ,energy__crude_oil_production,2014,1182235,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2017-18,"Petroleum, Crude, including condensate",r,oil/refinery series withheld: unverifiable unit in source fuels section
IRQ,energy__crude_oil_production,2015,1454890,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Crude, including condensate",,oil/refinery series withheld: unverifiable unit in source fuels section
IRQ,energy__crude_oil_production,2016,1618776,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Crude, including condensate",r,oil/refinery series withheld: unverifiable unit in source fuels section
IRQ,energy__crude_oil_production,2017,1656332,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Crude, including condensate",,oil/refinery series withheld: unverifiable unit in source fuels section
IRQ,energy__crude_oil_production,2018,1690632,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Crude, including condensate",,oil/refinery series withheld: unverifiable unit in source fuels section
IRQ,energy__crude_oil_production,2019,1719880,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2023,"Petroleum, Crude, including condensate",,oil/refinery series withheld: unverifiable unit in source fuels section
IRQ,energy__crude_oil_production,2020,1477885,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2023,"Petroleum, Crude, including condensate",,oil/refinery series withheld: unverifiable unit in source fuels section
IRQ,energy__crude_oil_production,2021,1471680,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2023,"Petroleum, Crude, including condensate",,oil/refinery series withheld: unverifiable unit in source fuels section
IRQ,energy__crude_oil_production,2022,1622790,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2023,"Petroleum, Crude, including condensate",,oil/refinery series withheld: unverifiable unit in source fuels section
IRQ,energy__crude_oil_production,2023,1558915,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2023,"Petroleum, Crude, including condensate",,oil/refinery series withheld: unverifiable unit in source fuels section
ITA,energy__crude_oil_production,2014,38690,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2017-18,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
ITA,energy__crude_oil_production,2015,41416,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Crude",r,oil/refinery series withheld: unverifiable unit in source fuels section
ITA,energy__crude_oil_production,2016,28389,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Crude",r,oil/refinery series withheld: unverifiable unit in source fuels section
ITA,energy__crude_oil_production,2017,31406,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Crude",r,oil/refinery series withheld: unverifiable unit in source fuels section
ITA,energy__crude_oil_production,2018,35463,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
ITA,energy__crude_oil_production,2019,32392,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
ITA,energy__crude_oil_production,2020,40722,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
ITA,energy__crude_oil_production,2021,36644,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
ITA,energy__crude_oil_production,2022,33758,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
KOR,energy__crude_oil_production,2015,115,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
KOR,energy__crude_oil_production,2016,104,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
KOR,energy__crude_oil_production,2017,217,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
KOR,energy__crude_oil_production,2018,189,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
KOR,energy__crude_oil_production,2019,155,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
KOR,energy__crude_oil_production,2020,103,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
KOR,energy__crude_oil_production,2021,36,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
RUS,energy__crude_oil_production,2014,3668000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2017-18,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
RUS,energy__crude_oil_production,2015,3720000,thousand 32-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
RUS,energy__crude_oil_production,2016,3610000,thousand 32-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Crude",r,oil/refinery series withheld: unverifiable unit in source fuels section
RUS,energy__crude_oil_production,2017,3990000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Crude",r,oil/refinery series withheld: unverifiable unit in source fuels section
RUS,energy__crude_oil_production,2018,4060000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
RUS,energy__crude_oil_production,2019,4100000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
RUS,energy__crude_oil_production,2020,3740000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
RUS,energy__crude_oil_production,2021,3822000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
RUS,energy__crude_oil_production,2022,3906000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
SAU,energy__crude_oil_production,2014,3545,million 42-gallon barrels,usgs-minerals-yearbook/MYB3-2017-18,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
SAU,energy__crude_oil_production,2015,3720,million 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
SAU,energy__crude_oil_production,2016,3818,million 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
SAU,energy__crude_oil_production,2017,3635,million cubic meters,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
SAU,energy__crude_oil_production,2018,3765,million cubic meters,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
SAU,energy__crude_oil_production,2019,3580,million cubic meters,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
SAU,energy__crude_oil_production,2020,3372,million cubic meters,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
SAU,energy__crude_oil_production,2021,3330,million cubic meters,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
TUR,energy__crude_oil_production,2012,17134,"Metric tons, gross weight",usgs-minerals-yearbook/MYB3-2016,"Petroleum, Crude",r,oil/refinery series withheld: unverifiable unit in source fuels section
TUR,energy__crude_oil_production,2013,17581,"Metric tons, gross weight",usgs-minerals-yearbook/MYB3-2016,"Petroleum, Crude",r,oil/refinery series withheld: unverifiable unit in source fuels section
TUR,energy__crude_oil_production,2014,18001,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2017-18,"Petroleum, Crude",r,oil/refinery series withheld: unverifiable unit in source fuels section
TUR,energy__crude_oil_production,2015,18615,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Crude",r,oil/refinery series withheld: unverifiable unit in source fuels section
TUR,energy__crude_oil_production,2016,18980,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Crude",r,oil/refinery series withheld: unverifiable unit in source fuels section
TUR,energy__crude_oil_production,2017,18615,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
TUR,energy__crude_oil_production,2018,20805,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
TUR,energy__crude_oil_production,2019,21900,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
TUR,energy__crude_oil_production,2020,22630,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
TUR,energy__crude_oil_production,2021,26000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude","e, r",oil/refinery series withheld: unverifiable unit in source fuels section
TUR,energy__crude_oil_production,2022,30000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude",e,oil/refinery series withheld: unverifiable unit in source fuels section
VEN,energy__crude_oil_production,2014,1014000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2017-18,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
VEN,energy__crude_oil_production,2015,1001000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
VEN,energy__crude_oil_production,2016,910000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Crude",e,oil/refinery series withheld: unverifiable unit in source fuels section
VEN,energy__crude_oil_production,2017,114100,thousand metric tons,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Crude",r,oil/refinery series withheld: unverifiable unit in source fuels section
VEN,energy__crude_oil_production,2018,600000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude",r,oil/refinery series withheld: unverifiable unit in source fuels section
VEN,energy__crude_oil_production,2019,384000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude",r,oil/refinery series withheld: unverifiable unit in source fuels section
VEN,energy__crude_oil_production,2020,248000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude",r,oil/refinery series withheld: unverifiable unit in source fuels section
VEN,energy__crude_oil_production,2021,247000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude",r,oil/refinery series withheld: unverifiable unit in source fuels section
VEN,energy__crude_oil_production,2022,268000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2022,"Petroleum, Crude",,oil/refinery series withheld: unverifiable unit in source fuels section
SAU,energy__natural_gas_production_marketed,2018,112300,"Thousand metric tons, gross weight",usgs-minerals-yearbook/MYB3-2022,Natural gas,r,"unit 'Thousand metric tons, gross weight' is not a gas_volume unit for this indicator"
TUR,energy__natural_gas_production_marketed,2012,664,"Metric tons, gross weight",usgs-minerals-yearbook/MYB3-2016,Natural gas,,"unit 'Metric tons, gross weight' is not a gas_volume unit for this indicator"
TUR,energy__natural_gas_production_marketed,2013,562,"Metric tons, gross weight",usgs-minerals-yearbook/MYB3-2016,Natural gas,,"unit 'Metric tons, gross weight' is not a gas_volume unit for this indicator"
ARG,energy__refinery_output_total,2012,193195,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2016,"Petroleum, Refinery products",r,oil/refinery series withheld: unverifiable unit in source fuels section
ARG,energy__refinery_output_total,2013,190858,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2016,"Petroleum, Refinery products",r,oil/refinery series withheld: unverifiable unit in source fuels section
ARG,energy__refinery_output_total,2014,191151,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2017-18,"Petroleum, Refinery",,oil/refinery series withheld: unverifiable unit in source fuels section
ARG,energy__refinery_output_total,2015,195494,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Refinery",,oil/refinery series withheld: unverifiable unit in source fuels section
ARG,energy__refinery_output_total,2016,175565,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2019,"Petroleum, Refinery",,oil/refinery series withheld: unverifiable unit in source fuels section
ARG,energy__refinery_output_total,2017,179580,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Refinery products",,oil/refinery series withheld: unverifiable unit in source fuels section
ARG,energy__refinery_output_total,2018,170455,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Refinery products",,oil/refinery series withheld: unverifiable unit in source fuels section
ARG,energy__refinery_output_total,2019,172645,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Refinery products",,oil/refinery series withheld: unverifiable unit in source fuels section
ARG,energy__refinery_output_total,2020,161330,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Refinery products",,oil/refinery series withheld: unverifiable unit in source fuels section
ARG,energy__refinery_output_total,2021,170090,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2020-21,"Petroleum, Refinery products",,oil/refinery series withheld: unverifiable unit in source fuels section
ESP,energy__refinery_output_total,2014,154000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2017-18,"Petroleum, Refinery, Total",r,oil/refinery series withheld: unverifiable unit in source fuels section
ESP,energy__refinery_output_total,2015,147000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2017-18,"Petroleum, Refinery, Total","r, e",oil/refinery series withheld: unverifiable unit in source fuels section
ESP,energy__refinery_output_total,2016,154000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2017-18,"Petroleum, Refinery, Total","r, e",oil/refinery series withheld: unverifiable unit in source fuels section
ESP,energy__refinery_output_total,2017,173000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2017-18,"Petroleum, Refinery, Total",e,oil/refinery series withheld: unverifiable unit in source fuels section
ESP,energy__refinery_output_total,2018,403595,"Metric tons, gross weight",usgs-minerals-yearbook/MYB3-2022,"Petroleum, Refinery",,oil/refinery series withheld: unverifiable unit in source fuels section
ESP,energy__refinery_output_total,2019,392473,"Metric tons, gross weight",usgs-minerals-yearbook/MYB3-2022,"Petroleum, Refinery",,oil/refinery series withheld: unverifiable unit in source fuels section
ESP,energy__refinery_output_total,2020,323639,"Metric tons, gross weight",usgs-minerals-yearbook/MYB3-2022,"Petroleum, Refinery",,oil/refinery series withheld: unverifiable unit in source fuels section
ESP,energy__refinery_output_total,2021,349384,"Metric tons, gross weight",usgs-minerals-yearbook/MYB3-2022,"Petroleum, Refinery",,oil/refinery series withheld: unverifiable unit in source fuels section
ESP,energy__refinery_output_total,2022,392058,"Metric tons, gross weight",usgs-minerals-yearbook/MYB3-2022,"Petroleum, Refinery",,oil/refinery series withheld: unverifiable unit in source fuels section
IRN,energy__refinery_output_total,2014,605000,thousand 42-gallon barrels,usgs-minerals-yearbook/MYB3-2017-18,"Petroleum, Refinery, Total",r,oil/refinery series withheld: unverifiable unit in source fuels section
