country_iso3,indicator_id,item,element,year,value,unit,source_dataset,year_iranian,notes
IRN,wheat__production,Wheat,Production,1977,3791000,t,iran-data-portal-wheat-production,1356,Iranian ag-year label 1356 (1977-1978); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,1978,4570000,t,iran-data-portal-wheat-production,1357,Iranian ag-year label 1357 (1978-1979); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,1979,3733000,t,iran-data-portal-wheat-production,1358,Iranian ag-year label 1358 (1979-1980); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,1980,5653000,t,iran-data-portal-wheat-production,1359,Iranian ag-year label 1359 (1980-1981); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,1981,6660000,t,iran-data-portal-wheat-production,1360,Iranian ag-year label 1360 (1981-1982); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,1982,5956159,t,iran-data-portal-wheat-production,1361,Iranian ag-year label 1361 (1982-1983); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,1983,6206681,t,iran-data-portal-wheat-production,1362,Iranian ag-year label 1362 (1983-1984); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,1984,6630522,t,iran-data-portal-wheat-production,1363,Iranian ag-year label 1363 (1984-1985); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,1985,7556393,t,iran-data-portal-wheat-production,1364,Iranian ag-year label 1364 (1985-1986); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,1986,7601277,t,iran-data-portal-wheat-production,1365,Iranian ag-year label 1365 (1986-1987); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,1987,7260234,t,iran-data-portal-wheat-production,1366,Iranian ag-year label 1366 (1987-1988); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,1988,6010024,t,iran-data-portal-wheat-production,1367,Iranian ag-year label 1367 (1988-1989); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,1989,8011675,t,iran-data-portal-wheat-production,1368,Iranian ag-year label 1368 (1989-1990); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,1990,8792666,t,iran-data-portal-wheat-production,1369,Iranian ag-year label 1369 (1990-1991); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,1991,10178679,t,iran-data-portal-wheat-production,1370,Iranian ag-year label 1370 (1991-1992); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,1992,10732342,t,iran-data-portal-wheat-production,1371,Iranian ag-year label 1371 (1992-1993); source cited in-file: Ministry of Agriculture.
IRN,wheat__production,Wheat,Production,1993,10869560,t,iran-data-portal-wheat-production,1372,Iranian ag-year label 1372 (1993-1994); source cited in-file: Ministry of Agriculture.
