country_iso3,indicator_id,item,element,crop_slug,year,value,unit,source_dataset,source_edition,source_column,notes
IRN,apples__area_harvested,Apples,Area harvested,apples,2010,247000.0,ha,cbi-annual-review-crop-table,cbi_annual_review_1390_2011-12,prior,
IRN,apples__production,Apples,Production,apples,2010,2904000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1390_2011-12,prior,
IRN,apples__production,Apples,Production,apples,2011,3419000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1390_2011-12,current,
IRN,apples__production,Apples,Production,apples,2012,3553000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1392_2013-14,prior,"Value revised across editions: cbi_annual_review_1392_2013-14[prior]=areaNone,prod3553.0; cbi_annual_review_1393_2014-15[prior]=area198.0,prod3035.0"
IRN,apples__production,Apples,Production,apples,2013,3190000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1392_2013-14,current,"Value revised across editions: cbi_annual_review_1392_2013-14[current]=areaNone,prod3190.0; cbi_annual_review_1393_2014-15[current]=area203.0,prod3398.0; cbi_annual_review_1394_2015-16[prior]=area203.0,prod3398.0"
IRN,apples__area_harvested,Apples,Area harvested,apples,2014,209000.0,ha,cbi-annual-review-crop-table,cbi_annual_review_1394_2015-16,current,
IRN,apples__production,Apples,Production,apples,2014,3482000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1394_2015-16,current,
IRN,apples__area_harvested,Apples,Area harvested,apples,2015,217000.0,ha,cbi-annual-review-crop-table,cbi_annual_review_1395_2016-17,current,
IRN,apples__production,Apples,Production,apples,2015,3434000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1395_2016-17,current,
IRN,apples__area_harvested,Apples,Area harvested,apples,2016,217000.0,ha,cbi-annual-review-crop-table,cbi_annual_review_1396_2016-17,current,
IRN,apples__production,Apples,Production,apples,2016,3716000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1396_2016-17,current,
IRN,apples__area_harvested,Apples,Area harvested,apples,2017,219000.0,ha,cbi-annual-review-crop-table,cbi_annual_review_1397_2018-19,current,
IRN,apples__production,Apples,Production,apples,2017,2944000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1397_2018-19,current,
IRN,apples__area_harvested,Apples,Area harvested,apples,2018,225000.0,ha,cbi-annual-review-crop-table,cbi_annual_review_1398_2019-20,current,
IRN,apples__production,Apples,Production,apples,2018,4042000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1398_2019-20,current,
IRN,apples__area_harvested,Apples,Area harvested,apples,2019,223000.0,ha,cbi-annual-review-crop-table,cbi_annual_review_1399_2020-21,current,
IRN,apples__production,Apples,Production,apples,2019,4225000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1399_2020-21,current,
IRN,apples__area_harvested,Apples,Area harvested,apples,2020,219000.0,ha,cbi-annual-review-crop-table,cbi_annual_review_1400_2021-22,current,
IRN,apples__production,Apples,Production,apples,2020,4044000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1400_2021-22,current,
IRN,apples__area_harvested,Apples,Area harvested,apples,2021,237000.0,ha,cbi-annual-review-crop-table,cbi_annual_review_1401_2022-23,current,
IRN,apples__production,Apples,Production,apples,2021,3982000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1401_2022-23,current,
IRN,barley__area_harvested,Barley,Area harvested,barley,1999,1403000.0,ha,cbi-annual-review-crop-table,cbi_annual_review_1379_2000-01,prior,
IRN,barley__production,Barley,Production,barley,1999,1999000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1379_2000-01,prior,
IRN,barley__area_harvested,Barley,Area harvested,barley,2000,1194000.0,ha,cbi-annual-review-crop-table,cbi_annual_review_1379_2000-01,current,
IRN,barley__production,Barley,Production,barley,2000,1686000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1379_2000-01,current,
IRN,barley__area_harvested,Barley,Area harvested,barley,2001,1470000.0,ha,cbi-annual-review-crop-table,cbi_annual_review_1380_2001-02,current,"Value revised across editions: cbi_annual_review_1380_2001-02[current]=area1470.0,prod2408.0; cbi_annual_review_1381_2002-03[prior]=area1487.0,prod2423.0"
IRN,barley__production,Barley,Production,barley,2001,2408000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1380_2001-02,current,"Value revised across editions: cbi_annual_review_1380_2001-02[current]=area1470.0,prod2408.0; cbi_annual_review_1381_2002-03[prior]=area1487.0,prod2423.0"
IRN,barley__area_harvested,Barley,Area harvested,barley,2002,1670000.0,ha,cbi-annual-review-crop-table,cbi_annual_review_1381_2002-03,current,
IRN,barley__production,Barley,Production,barley,2002,3085000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1381_2002-03,current,
IRN,barley__production,Barley,Production,barley,2003,2958000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1382_2003-04,current,"Value revised across editions: cbi_annual_review_1382_2003-04[current]=areaNone,prod2958.0; cbi_annual_review_1383_2004-05[prior]=area1510.0,prod2908.0"
IRN,barley__production,Barley,Production,barley,2004,2900000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1383_2004-05,current,"Value revised across editions: cbi_annual_review_1383_2004-05[current]=areaNone,prod2900.0; cbi_annual_review_1384_2005-06[prior]=area1600.0,prod2940.0"
IRN,barley__production,Barley,Production,barley,2005,3000000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1384_2005-06,current,"Value revised across editions: cbi_annual_review_1384_2005-06[current]=areaNone,prod3000.0; cbi_annual_review_1385_2006-07[prior]=area1659.0,prod2857.0"
IRN,barley__area_harvested,Barley,Area harvested,barley,2006,1568000.0,ha,cbi-annual-review-crop-table,cbi_annual_review_1385_2006-07,current,
IRN,barley__production,Barley,Production,barley,2006,2956000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1385_2006-07,current,
IRN,barley__production,Barley,Production,barley,2007,3104000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1386_2007-08,current,"Value revised across editions: cbi_annual_review_1386_2007-08[current]=areaNone,prod3104.0; cbi_annual_review_1387_2008-09[prior]=area1641.8,prod3104.0"
IRN,barley__area_harvested,Barley,Area harvested,barley,2008,1070100.0,ha,cbi-annual-review-crop-table,cbi_annual_review_1387_2008-09,current,"Value revised across editions: cbi_annual_review_1387_2008-09[current]=area1070.1,prod1547.4; cbi_annual_review_1388_2009-10[prior]=area1070.1,prod1547.4; cbi_annual_review_1389_2010-11[prior]=area1676.0,prod3446.0"
IRN,barley__production,Barley,Production,barley,2008,1547400.0,t,cbi-annual-review-crop-table,cbi_annual_review_1387_2008-09,current,"Value revised across editions: cbi_annual_review_1387_2008-09[current]=area1070.1,prod1547.4; cbi_annual_review_1388_2009-10[prior]=area1070.1,prod1547.4; cbi_annual_review_1389_2010-11[prior]=area1676.0,prod3446.0"
IRN,barley__production,Barley,Production,barley,2009,3446200.0,t,cbi-annual-review-crop-table,cbi_annual_review_1388_2009-10,current,"Value revised across editions: cbi_annual_review_1388_2009-10[current]=areaNone,prod3446.2; cbi_annual_review_1389_2010-11[current]=area1584.0,prod3580.0"
IRN,barley__area_harvested,Barley,Area harvested,barley,2010,1584000.0,ha,cbi-annual-review-crop-table,cbi_annual_review_1390_2011-12,prior,
IRN,barley__production,Barley,Production,barley,2010,3580000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1390_2011-12,prior,
IRN,barley__production,Barley,Production,barley,2011,3796000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1390_2011-12,current,"Value revised across editions: cbi_annual_review_1390_2011-12[current]=areaNone,prod3796.0; cbi_annual_review_1391_2012-13[prior]=area1587.0,prod2854.0"
IRN,barley__area_harvested,Barley,Area harvested,barley,2012,1664000.0,ha,cbi-annual-review-crop-table,cbi_annual_review_1391_2012-13,current,"Value revised across editions: cbi_annual_review_1391_2012-13[current]=area1664.0,prod3391.0; cbi_annual_review_1392_2013-14[prior]=area1624.0,prod2768.0; cbi_annual_review_1393_2014-15[prior]=area1635.0,prod2812.0"
IRN,barley__production,Barley,Production,barley,2012,3391000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1391_2012-13,current,"Value revised across editions: cbi_annual_review_1391_2012-13[current]=area1664.0,prod3391.0; cbi_annual_review_1392_2013-14[prior]=area1624.0,prod2768.0; cbi_annual_review_1393_2014-15[prior]=area1635.0,prod2812.0"
IRN,barley__area_harvested,Barley,Area harvested,barley,2013,1635000.0,ha,cbi-annual-review-crop-table,cbi_annual_review_1392_2013-14,current,"Value revised across editions: cbi_annual_review_1392_2013-14[current]=area1635.0,prod2812.0; cbi_annual_review_1393_2014-15[current]=area1713.0,prod2955.0; cbi_annual_review_1394_2015-16[prior]=area1713.0,prod2955.0"
IRN,barley__production,Barley,Production,barley,2013,2812000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1392_2013-14,current,"Value revised across editions: cbi_annual_review_1392_2013-14[current]=area1635.0,prod2812.0; cbi_annual_review_1393_2014-15[current]=area1713.0,prod2955.0; cbi_annual_review_1394_2015-16[prior]=area1713.0,prod2955.0"
IRN,barley__area_harvested,Barley,Area harvested,barley,2014,1763000.0,ha,cbi-annual-review-crop-table,cbi_annual_review_1394_2015-16,current,
IRN,barley__production,Barley,Production,barley,2014,3202000.0,t,cbi-annual-review-crop-table,cbi_annual_review_1394_2015-16,current,
