chart_id,title,category,primary_source,alt_sources,underlying_codes,status,extends_chart_id,time_range,notes
maritime_comparator__unctad_maritime_key_figures_2024,"Maritime Profile Key Figures (fleet, port calls, seafarers) — Comparator Countries",Comparator: Maritime & Shipping,unctad-maritime,,unctad_maritime_comparators_series/unctad_maritime_comparators_2024.csv,new,,2024,"10 countries (USA, Venezuela, Spain, Portugal, Greece, Türkiye, Argentina, Saudi Arabia, Russia, South Korea), one 2024 snapshot each: national-flag fleet DWT & ship count, fleet under national ownership regardless of flag, container port throughput, ship building/recycling (GT), number of seafarers, number of port calls, plus GDP/population/trade context fields UNCTAD prints alongside. Iran's own maritime profile was extracted separately and more deeply in unctad_maritime_series/ (not this file) — cross-reference that for the Iran side of any comparison. No existing chart_id in CHART_REGISTRY.csv covers maritime/shipping at all (WDI's IS.SHP.GOOD.TU etc. cover different angles); this is a wholly new comparator category."
mining_comparator__arg_usgs_mineral_production,"Argentina — Mineral Production, Major Commodities (USGS Minerals Yearbook)",Comparator: Mining & Minerals Production,usgs-minerals-yearbook,,usgs_minerals_comparators_series/usgs_minerals_comparators_2014_2023.csv (rows: country_iso3=ARG),new,,2014-2021,"Metals, industrial minerals, and mineral fuels production series for Argentina, matching the commodity mix already used for Iran's own USGS-derived chart_ids (e.g. iran_chromite_production_1961_1980, iran_copper_production series) so the two are directly comparable commodity-by-commodity. Registered as ONE chart_id per country here (not one per commodity, unlike Iran's finer-grained registration) given the breadth-over-depth scope of this comparator batch — dozens of commodities per country in the underlying CSV; splitting into per-commodity chart_ids matching Iran's own granularity is a reasonable future pass."
mining_comparator__tur_usgs_mineral_production,"Türkiye — Mineral Production, Major Commodities (USGS Minerals Yearbook)",Comparator: Mining & Minerals Production,usgs-minerals-yearbook,,usgs_minerals_comparators_series/usgs_minerals_comparators_2014_2023.csv (rows: country_iso3=TUR),new,,2014-2022,"Metals, industrial minerals, and mineral fuels production series for Türkiye, matching the commodity mix already used for Iran's own USGS-derived chart_ids (e.g. iran_chromite_production_1961_1980, iran_copper_production series) so the two are directly comparable commodity-by-commodity. Registered as ONE chart_id per country here (not one per commodity, unlike Iran's finer-grained registration) given the breadth-over-depth scope of this comparator batch — dozens of commodities per country in the underlying CSV; splitting into per-commodity chart_ids matching Iran's own granularity is a reasonable future pass."
mining_comparator__sau_usgs_mineral_production,"Saudi Arabia — Mineral Production, Major Commodities (USGS Minerals Yearbook)",Comparator: Mining & Minerals Production,usgs-minerals-yearbook,,usgs_minerals_comparators_series/usgs_minerals_comparators_2014_2023.csv (rows: country_iso3=SAU),new,,2014-2023,"Metals, industrial minerals, and mineral fuels production series for Saudi Arabia, matching the commodity mix already used for Iran's own USGS-derived chart_ids (e.g. iran_chromite_production_1961_1980, iran_copper_production series) so the two are directly comparable commodity-by-commodity. Registered as ONE chart_id per country here (not one per commodity, unlike Iran's finer-grained registration) given the breadth-over-depth scope of this comparator batch — dozens of commodities per country in the underlying CSV; splitting into per-commodity chart_ids matching Iran's own granularity is a reasonable future pass."
mining_comparator__rus_usgs_mineral_production,"Russian Federation — Mineral Production, Major Commodities (USGS Minerals Yearbook)",Comparator: Mining & Minerals Production,usgs-minerals-yearbook,,usgs_minerals_comparators_series/usgs_minerals_comparators_2014_2023.csv (rows: country_iso3=RUS),new,,2014-2022,"Metals, industrial minerals, and mineral fuels production series for Russian Federation, matching the commodity mix already used for Iran's own USGS-derived chart_ids (e.g. iran_chromite_production_1961_1980, iran_copper_production series) so the two are directly comparable commodity-by-commodity. Registered as ONE chart_id per country here (not one per commodity, unlike Iran's finer-grained registration) given the breadth-over-depth scope of this comparator batch — dozens of commodities per country in the underlying CSV; splitting into per-commodity chart_ids matching Iran's own granularity is a reasonable future pass."
mining_comparator__usa_usgs_mineral_production,"United States — Mineral Production, Major Commodities (USGS Minerals Yearbook)",Comparator: Mining & Minerals Production,usgs-minerals-yearbook,,usgs_minerals_comparators_series/usgs_minerals_comparators_2014_2023.csv (rows: country_iso3=USA),new,,2017-2023,"Metals, industrial minerals, and mineral fuels production series for United States, matching the commodity mix already used for Iran's own USGS-derived chart_ids (e.g. iran_chromite_production_1961_1980, iran_copper_production series) so the two are directly comparable commodity-by-commodity. Registered as ONE chart_id per country here (not one per commodity, unlike Iran's finer-grained registration) given the breadth-over-depth scope of this comparator batch — dozens of commodities per country in the underlying CSV; splitting into per-commodity chart_ids matching Iran's own granularity is a reasonable future pass."
portugal_comparator__population_employment_1941_2020,"Portugal — Population, Employment & Unemployment Rate (INE/BdP long series)",Comparator: Demographics & Labor,ine-portugal:slep2020,,portugal_historical_series/ine_slep2020_headline_series.csv (source_table=Q1.1|Q1.2|Q1.11),new,,1941-2020,"Headline population/employment indicators (Q1.1), resident population by age group and demographic rates (Q1.2), and unemployment rate by sex/age group (Q1.11, 1983-2020)."
portugal_comparator__investment_fbcf_1953_2020,Portugal — Gross Fixed Capital Formation by Asset Type (INE/BdP long series),Comparator: Investment,ine-portugal:slep2020,,portugal_historical_series/ine_slep2020_headline_series.csv (source_table=Q2.1),new,,1953-2020,Investment (FBCF) at current prices by fixed-asset type.
portugal_comparator__gdp_national_accounts_1953_2020,Portugal — GDP & National Expenditure Headline Series (INE/BdP long series),Comparator: Macro / National Accounts,ine-portugal:slep2020,,portugal_historical_series/ine_slep2020_headline_series.csv (source_table=Q3.1|Q3.6.1),new,,1953-2020,"Q3.1: headline production/expenditure/income indicators (GDP at current prices, nominal GDP growth, GDP per capita, labor productivity). Q3.6.1: National Expenditure at current prices (domestic demand, final consumption, GFCF, exports/imports)."
portugal_comparator__cpi_1948_2020,"Portugal — Consumer Price Index, Level & Annual % Change (INE/BdP long series)",Comparator: Prices & Inflation,ine-portugal:slep2020,,portugal_historical_series/ine_slep2020_headline_series.csv (source_table=Q4.1|Q4.2),new,,1948-2020,"Annual CPI index (2012=100) by COICOP class/group, and annual % change."
portugal_comparator__monetary_aggregates_1947_2020,Portugal — Monetary Aggregates (INE/BdP long series),Comparator: Financial Sector (Monetary),ine-portugal:slep2020,,portugal_historical_series/ine_slep2020_headline_series.csv (source_table=Q5.1|Q5.2),new,,1947-2020,"Q5.1: Monetary Synthesis 1947-1998 (pre-euro escudo-era aggregates). Q5.2: Euro-era monetary aggregates (Portugal's national contribution to euro-area M2/M3), 1999-2020."
portugal_comparator__government_finance_debt_1947_2020,"Portugal — Government Revenue, Expenditure & Public Debt (INE/BdP long series)",Comparator: Government Finance,ine-portugal:slep2020,,portugal_historical_series/ine_slep2020_headline_series.csv (source_table=Q6.1|Q6.3),new,,1947-2020,Q6.1: general government revenue and expenditure. Q6.3: gross consolidated general-government debt at nominal value (Maastricht debt definition).
portugal_comparator__balance_of_payments_1948_2020,Portugal — Balance of Payments Summary (INE/BdP long series),Comparator: Balance of Payments,ine-portugal:slep2020,,portugal_historical_series/ine_slep2020_headline_series.csv (source_table=Q7.3),new,,1948-2020,"Current & capital account, financial account, summary balance-of-payments lines."
portugal_comparator__central_bank_balance_sheet_1947_1976,Portugal — Banco de Portugal Central Bank Balance Sheet (Assets & Liabilities),Comparator: Financial Sector (Central Bank),banco-portugal:series-longas-pos-guerra,,portugal_historical_series/banco_portugal_balance_sheet_1947_1976.csv,new,,"1947-1976 (annual Dez-only through 1965, then quarterly)","Genuine central-bank balance sheet (net foreign assets, gold, credit to government, monetary base, banknotes/coin, government deposits, own resources) in million escudos — a different angle than the monetary-aggregates series above (assets/liabilities, not just aggregates). Source table continues to 1995 per its own index but this extraction stopped at 1976 (see portugal_historical_series/README.md for why); a future pass could extend it."
