chart_id,title,category,primary_source,alt_sources,underlying_codes,status,extends_chart_id,time_range,notes
iran_sci1399__labor_force_indicators_1380_1399,"Labor Force Indicators by Area/Sex: Participation, Unemployment, Sector Shares (SH1380-1399)",Labor & Employment,sci-amar,,sci_yearbook_1399_series/labor_force_indicators_1380_1399.csv,new,,1380-1399 SH (~2001-2020),"Direct SCI Yearbook 1399 source (Table 4.2). Conceptually related to the existing iran_disasters__labor_force_participation_rate_urban_rural_2005_2014 chart (itself an extends-row on wdi__SL.TLF.CACT, 2005-2014, iran-data-portal-sourced) but kept as its own new entry rather than a 2-hop extends chain: wider year range (2001-2020) and adds youth unemployment (15-24, 15-29), underemployment share, and employment-share-by-sector columns not in that chart. One flagged anomaly (male/1399 underemployment printed as '4.10' in source, visually confirmed not an extraction error)."
iran_sci1399__government_budget_summary_1385_1400,Total Country Budget: Resources & Uses Breakdown (SH1385-1400),Government Finance,sci-amar,,sci_yearbook_1399_series/government_budget_summary_1385_1400.csv,new,,FY1385-1400 (~2006-2021),"Extends, in concept, the majlis budget-law series (chart_id majlis__national_budget_totals_by_fiscal_year, itself an extends-row on wdi__GC.XPN.TOTL, FY1341-1370/1963-1992) forward by over a decade to FY1400 (2021), via a different primary source (SCI Yearbook Table 20.1, not the Majlis law texts themselves) -- kept as its own new entry rather than a 2-hop extends chain. 1400 figures are approved/projected, not actual, flagged per-row in the underlying CSV."
iran_sci1399__cpi_by_coicop_group_1390_1399,"Consumer Price Index by COICOP Group incl. Durable/Semi-durable/Non-durable Split (1395=100, SH1390-1399)",Prices & Inflation,sci-amar,,sci_yearbook_1399_series/cpi_by_group_1390_1399.csv,new,,"1390, 1395-1399 SH (~2011, 2016-2020)","SCI's own official CPI broken into ~35 major/minor/special groups, including a Durable/Semi-durable/Non-durable goods split (Durable goods +81.6% in 1399 alone) and a 'Household furnishings and appliances' line -- directly the appliance/durable-goods inflation angle this project tracks; not available at this granularity from WDI's single aggregate CPI indicator for Iran."
iran_sci1399__gdp_value_added_by_sector_1390_1397,"GDP Value Added by 18 Economic-Activity Sectors, Current & Constant Prices (SH1390-1397)",Macro / National Accounts,sci-amar,,sci_yearbook_1399_series/gdp_value_added_by_sector_1390_1397.csv,new,,"1390, 1393-1397 SH (~2011, 2014-2018)","SCI's official national-accounts sector breakdown (agriculture/mining/manufacturing/services x18), both current and constant-1390-price bases -- finer sectoral detail than WDI's broad agriculture/industry/services shares. Contains a documented, preserved-not-resolved cross-table disagreement with gdp_by_expenditure_1390_1397.csv on 1393/1394 consumption-of-fixed-capital (both from the SAME source PDF)."
iran_sci1399__gdp_by_expenditure_component_1390_1397,"GDP by Final Expenditure Component: Consumption, GFCF, Net Exports, Current & Constant Prices (SH1390-1397)",Macro / Expenditure & Trade Aggregates,sci-amar,,sci_yearbook_1399_series/gdp_by_expenditure_1390_1397.csv,new,,"1390, 1393-1397 SH (~2011, 2014-2018)","SCI's official GDP-by-expenditure breakdown (private/government consumption, GFCF by machinery/construction x public/private, net exports, stock changes) -- companion table to gdp_value_added_by_sector_1390_1397.csv, same caveated cross-table disagreement on consumption-of-fixed-capital for 1393/1394."
iran_census1996__admin_units_by_province,"Administrative Units (Shahrestan/Bakhsh/Shahr/Dehestan/Villages) by Province, 1996 Census",Demographics & Population,sci-amar-via-iran-census-historical,,iran_census_demographics_series/census1996_admin_units_by_province.csv,new,,1375 SH (1996),"OCR'd this round from a previously-flagged scanned-image PDF with zero text layer. 5 cells across 3 provinces left blank (genuine ink-blot scan damage, confirmed illegible via column-sum arithmetic cross-check against the printed national totals, not guessed)."
iran_census1996__population_by_sex_residence,"Population by Sex and Urban/Rural-Resident/Non-Resident Status, 1996 Census",Demographics & Population,sci-amar-via-iran-census-historical,,iran_census_demographics_series/census1996_population_by_sex_residence.csv,new,,1375 SH (1996),"Adds the sex x urban/rural/non-resident cross-tabulation for the 1996 census total (60,055,488), which the existing headline-totals-only chart (iran_census__national_census_population_totals_1956_1998, itself an extends-row on wdi__SP.POP) does not carry -- kept as its own new entry rather than a 2-hop extends chain."
iran_census1996__population_by_age_group,"Population by 8 Broad Age Groups incl. Sex Ratio, 1996 Census",Demographics & Population,sci-amar-via-iran-census-historical,,iran_census_demographics_series/census1996_population_by_age_group.csv,new,,1375 SH (1996),"Age-band population x sex x sex-ratio for the 1996 census -- the 8-band totals sum to within 400 persons (0.0007%) of the printed national total, a minor internal source rounding artifact, preserved not corrected."
iran_census1996__population_by_religion,"Population Share by Religion, National/Urban/Rural/Non-Resident, 1996 Census",Demographics & Population,sci-amar-via-iran-census-historical,,iran_census_demographics_series/census1996_population_by_religion.csv,extends,iran_census__population_by_religion_2011,1375 SH (1996),"Adds a 15-year-earlier data point to the existing 2011-only religion-share chart. Deliberately incomplete: Christian/Jewish/Other rows only have the national-total column legible (urban/rural/non-resident cells illegible in this specific scan) -- see file's own caveats, do not treat missing cells as zero."
iran_census1996__literacy_by_age_group,"Literacy Rate by Age Group x Sex x Urban/Rural/Non-Resident, 1996 Census",Education,sci-amar-via-iran-census-historical,,iran_census_demographics_series/census1996_literacy_by_age_group.csv,new,,1375 SH (1996),"Adds a 10-year-earlier anchor point to the existing 2006-2016 literacy chart (iran_census__literacy_rate_2006_2016, itself an extends-row on wdi__SE.ADT.LITR), same underlying concept (literacy by age cohort and residence) from a decade before that chart's current start -- kept as its own new entry rather than a 2-hop extends chain."
