chart_id,title,category,primary_source,alt_sources,underlying_codes,status,extends_chart_id,time_range,notes
pahlavi__wheat_production_1950_1958,Wheat — Production (pre-1961 extension),Agriculture Production,pahlavi-era-primary-extraction,,wb1960-table5-agricultural-production,extends,faostat__Wheat__production,1950-1958,"Clean match, magnitude consistent with FAOSTAT's 1961 starting value (2.7M t in 1958 vs 2.87M t in 1961)."
pahlavi__barley_production_1950_1958,Barley — Production (pre-1961 extension),Agriculture Production,pahlavi-era-primary-extraction,,wb1960-table5-agricultural-production,extends,faostat__Barley__production,1950-1958,Clean match.
pahlavi__rice_production_1950_1958,Rice — Production (pre-1961 extension),Agriculture Production,pahlavi-era-primary-extraction,,wb1960-table5-agricultural-production,extends,faostat__Rice__production,1950-1958,"CAVEAT: WB source explicitly labels this row 'Rice (milled)'; FAOSTAT's Rice production item is paddy/rough-rice-equivalent, not milled -- not directly comparable tonne-for-tonne (milled is ~65-70% of paddy weight). Apparent near-doubling 1958->1961 (320k->600k) plausibly reflects this unit-basis gap plus real growth, not investigated further; flag prominently when splicing."
pahlavi__dates_production_1950_1958,Dates — Production (pre-1961 extension),Agriculture Production,pahlavi-era-primary-extraction,,wb1960-table5-agricultural-production,extends,faostat__Dates__production,1950-1958,"CAVEAT: unexplained jump from 125,000t (1958) to FAOSTAT's 300,000t (1961), more than double in 3 years -- could be genuine surge, definitional change, or revision; not reconciled, flag the gap rather than smoothing it (same treatment as the citrus bridge's own honest gap)."
pahlavi__almonds_production_1950_1958,Almonds — Production (pre-1961 extension),Agriculture Production,pahlavi-era-primary-extraction,,wb1960-table5-agricultural-production,extends,"faostat__Almonds, in shell__production",1950-1958,"CAVEAT: WB row is 'Almonds (shelled)'; FAOSTAT item is 'in shell' -- different basis (shelled kernel weight is roughly half of in-shell weight), not unit-converted here."
pahlavi__pistachios_production_1950_1958,Pistachios — Production (pre-1961 extension),Agriculture Production,pahlavi-era-primary-extraction,,wb1960-table5-agricultural-production,extends,"faostat__Pistachios, in shell__production",1950-1958,"Clean match: WB 'unshelled' = FAOSTAT 'in shell', same basis."
pahlavi__walnuts_production_1950_1958,Walnuts — Production (pre-1961 extension),Agriculture Production,pahlavi-era-primary-extraction,,wb1960-table5-agricultural-production,extends,"faostat__Walnuts, in shell__production",1950-1958,"CAVEAT: WB row is 'Walnuts (shelled)'; FAOSTAT item is 'in shell' -- different basis, not unit-converted here."
pahlavi__hazelnuts_production_1950_1958,Hazelnuts — Production (pre-1961 extension),Agriculture Production,pahlavi-era-primary-extraction,,wb1960-table5-agricultural-production,extends,"faostat__Hazelnuts, in shell__production",1950-1958,"Clean match: WB 'unshelled' = FAOSTAT 'in shell', same basis."
pahlavi__other_nuts_production_1950_1958,Other Nuts — Production (pre-1961 extension),Agriculture Production,pahlavi-era-primary-extraction,,wb1960-table5-agricultural-production,extends,"faostat__Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.__production",1950-1958,"Reasonable residual-category match, not an exact name match."
pahlavi__sugar_production_1950_1958,Sugar (processed) — Production (pre-1961 extension),Agriculture Production,pahlavi-era-primary-extraction,,wb1960-table5-agricultural-production,extends,faostat__Raw cane or beet sugar (centrifugal only)__production,1950-1958,"JUDGMENT CALL, not an exact name match: WB 'Sugar' (55-108k t, 1950-58) is far too small to be raw sugarcane/beet crop tonnage (FAOSTAT Sugar beet alone was 810k t in 1961) -- magnitude and trend (108k in 1958 -> 150k in 1961, ~12%/yr) instead line up with FAOSTAT's processed/centrifugal sugar output. Treat as processed-sugar output, not raw crop production."
