chart_id,title,category,primary_source,alt_sources,underlying_codes,status,extends_chart_id,time_range,notes
iran_agri__wheat_production_cbi_iran_data_portal,"Wheat Production, Iran Official (Ministry of Agriculture Jihad, via CBI Annual Review / SCI Yearbook)",Agriculture Production,cbi-iran (Annual Review appendix tables) | iran-data-portal-agriculture (SCI Yearbook Wheat-Production.xlsx),,iran_primary_agriculture_series/cbi_annual_review_crop_production_area.csv:wheat__production | iran_primary_agriculture_series/iran_data_portal_sci_yearbook_series.csv:wheat__production,extends,faostat__Wheat__production,1977-2021,"Two independent Iranian primary series, both sourced to the Ministry of Agriculture: CBI Annual Review appendix table (1999-2021, cross-edition-checked across 23 editions) + Iran Data Portal/SCI Yearbook Wheat-Production.xlsx (1977/78-2013/14, extends 22 years earlier than CBI, longest single-crop series found in this hunt). FAOSTAT cross-check: median |diff| 4.8% across 23 overlapping years -- strong agreement."
iran_agri__barley_production_cbi_iran_data_portal,"Barley Production, Iran Official (Ministry of Agriculture Jihad, via CBI Annual Review / SCI Yearbook)",Agriculture Production,cbi-iran (Annual Review appendix tables),,iran_primary_agriculture_series/cbi_annual_review_crop_production_area.csv:barley__production,extends,faostat__Barley__production,1999-2021,"CBI Annual Review appendix table, Ministry of Agriculture Jihad, 1999-2021 (23 editions, cross-checked). FAOSTAT cross-check: median |diff| 5.0% across 23 years -- strong agreement."
iran_agri__rice_production_cbi_iran_data_portal,"Rice Production, Iran Official (Ministry of Agriculture Jihad, via CBI Annual Review / SCI Yearbook)",Agriculture Production,cbi-iran (Annual Review appendix tables),,iran_primary_agriculture_series/cbi_annual_review_crop_production_area.csv:rice__production,extends,faostat__Rice__production,1999-2021,"CBI Annual Review appendix table (crop label varies ""Rice""/""Rice (paddy)""/""Rice husks"" across editions -- same underlying paddy-rice measure). FAOSTAT cross-check: median |diff| 5.8% across 23 years -- strong agreement."
iran_agri__cotton_production_cbi_iran_data_portal,"Seed cotton, unginned Production, Iran Official (Ministry of Agriculture Jihad, via CBI Annual Review / SCI Yearbook)",Agriculture Production,cbi-iran (Annual Review appendix tables),,iran_primary_agriculture_series/cbi_annual_review_crop_production_area.csv:cotton__production,extends,"faostat__Seed cotton, unginned__production",1999-2021,"CBI table reports raw/seed-cotton basis (matches FAOSTAT ""Seed cotton, unginned"", not ginned lint -- confirmed by magnitude, not just label). FAOSTAT cross-check: median |diff| 8.2% across 23 years -- agreement."
iran_agri__sugar_beet_production_cbi_iran_data_portal,"Sugar beet Production, Iran Official (Ministry of Agriculture Jihad, via CBI Annual Review / SCI Yearbook)",Agriculture Production,cbi-iran (Annual Review appendix tables),,iran_primary_agriculture_series/cbi_annual_review_crop_production_area.csv:sugar_beet__production,extends,faostat__Sugar beet__production,1999-2021,CBI Annual Review appendix table. FAOSTAT cross-check: median |diff| 4.0% across 23 years -- strong agreement.
iran_agri__sugar_cane_production_cbi_iran_data_portal,"Sugar cane Production, Iran Official (Ministry of Agriculture Jihad, via CBI Annual Review / SCI Yearbook)",Agriculture Production,cbi-iran (Annual Review appendix tables),,iran_primary_agriculture_series/cbi_annual_review_crop_production_area.csv:sugar_cane__production,extends,faostat__Sugar cane__production,1999-2021,CBI Annual Review appendix table. FAOSTAT cross-check: median |diff| 4.3% across 23 years -- strong agreement.
iran_agri__tea_production_cbi_iran_data_portal,"Tea leaves Production, Iran Official (Ministry of Agriculture Jihad, via CBI Annual Review / SCI Yearbook)",Agriculture Production,cbi-iran (Annual Review appendix tables),,iran_primary_agriculture_series/cbi_annual_review_crop_production_area.csv:tea__production,extends,faostat__Tea leaves__production,1999-2021,"CBI table label ""Tea (green)""/""Tea"" = green leaf basis, matches FAOSTAT ""Tea leaves"". FAOSTAT cross-check: median |diff| 12.7% across 15 years -- mild divergence, both series kept."
iran_agri__tobacco_production_cbi_iran_data_portal,"Unmanufactured tobacco Production, Iran Official (Ministry of Agriculture Jihad, via CBI Annual Review / SCI Yearbook)",Agriculture Production,cbi-iran (Annual Review appendix tables),,iran_primary_agriculture_series/cbi_annual_review_crop_production_area.csv:tobacco__production,extends,faostat__Unmanufactured tobacco__production,1999-2021,CBI Annual Review appendix table. FAOSTAT cross-check: median |diff| 6.4% across 20 years -- agreement.
iran_agri__potatoes_production_cbi_iran_data_portal,"Potatoes Production, Iran Official (Ministry of Agriculture Jihad, via CBI Annual Review / SCI Yearbook)",Agriculture Production,cbi-iran (Annual Review appendix tables),,iran_primary_agriculture_series/cbi_annual_review_crop_production_area.csv:potatoes__production,extends,faostat__Potatoes__production,1999-2021,CBI Annual Review appendix table. FAOSTAT cross-check: median |diff| 2.0% across 23 years -- strong agreement.
iran_agri__onions_production_cbi_iran_data_portal,"Onions and shallots, dry (excluding dehydrated) Production, Iran Official (Ministry of Agriculture Jihad, via CBI Annual Review / SCI Yearbook)",Agriculture Production,cbi-iran (Annual Review appendix tables),,iran_primary_agriculture_series/cbi_annual_review_crop_production_area.csv:onions__production,extends,"faostat__Onions and shallots, dry (excluding dehydrated)__production",1999-2021,CBI Annual Review appendix table. FAOSTAT cross-check: median |diff| 4.0% across 23 years -- strong agreement.
iran_agri__pistachios_production_cbi_iran_data_portal,"Pistachios, in shell Production, Iran Official (Ministry of Agriculture Jihad, via CBI Annual Review / SCI Yearbook)",Agriculture Production,cbi-iran (Annual Review appendix tables),,iran_primary_agriculture_series/cbi_annual_review_crop_production_area.csv:pistachios__production,extends,"faostat__Pistachios, in shell__production",1999-2021,"CBI Annual Review appendix table. FAOSTAT cross-check: median |diff| 21.8% across 23 years, non-monotonic (swings both directions, consistent with pistachio alternate-bearing plus year-attribution differences between sources) -- notable divergence, both series kept, not adjudicated."
iran_agri__citrus_fruits_production_cbi_iran_data_portal,"Citrus Fruit, Total Production, Iran Official (Ministry of Agriculture Jihad, via CBI Annual Review / SCI Yearbook)",Agriculture Production,cbi-iran (Annual Review appendix tables),,iran_primary_agriculture_series/cbi_annual_review_crop_production_area.csv:citrus_fruits__production,extends,"faostat__Citrus Fruit, Total__production",2010-2021,"CBI Annual Review appendix table (horticultural section added ~2010 editions onward). FAOSTAT cross-check: median |diff| 33.5% across 12 years, gap widens over time (near 0% in 2010-2013 to 40-65% by 2018-2021) -- large systematic divergence, both series kept, not adjudicated (see iran_primary_agriculture_series/README.md)."
