chart_id,title,category,primary_source,alt_sources,underlying_codes,status,extends_chart_id,time_range,notes
comparator__broad_money_pct_gdp,Money Supply and Monetary Base,Government Finance,cbi-iran,worldbank-wdi,comparator_monetary_prices_series/broad_money_pct_gdp.csv,extends,iran_monetary__liquidity_m2_monetary_base_2000_2023,1960-2025 (varies by country; see coverage notes),"Adds comparator lines (TUR, SAU, IRQ, VEN, ARG, RUS, USA, KOR; ESP and ITA have ZERO WDI observations for this indicator, confirmed via a live re-query, not a pull failure) using WDI FM.LBL.BMNY.GD.ZS (Broad money, % of GDP). This is a DIFFERENT UNIT from Iran's own chart (billion rials / real-2015-US$ levels) -- WDI does not publish comparable local-currency broad-money levels across countries of vastly different economy sizes, so % of GDP is the standard normalized proxy. Iran's own figure is kept as-is; comparators are added as a clearly separate, differently-labeled unit, not blended or adjudicated. Monetary base itself has NO comparator -- WDI does not publish a separate monetary-base series for most countries; only the M2/broad-money half of this chart gains comparators."
comparator__claims_on_central_government_pct_gdp,Government Debt to the Central Bank,Government Finance,iran-data-portal,worldbank-wdi,comparator_monetary_prices_series/claims_on_central_government_pct_gdp.csv,extends,iran_monetary__government_debt_to_central_bank_1978_2016,1960-2024 (varies by country),"Adds comparator lines for all 10 roster countries using WDI FS.AST.CGOV.GD.ZS (Claims on central government, etc., % of GDP). IMPORTANT CAVEAT: this is IMF's broader monetary-survey concept -- claims on central government held by the WHOLE banking system (central bank + deposit money banks combined), NOT the central-bank-only claims that Iran's own chart measures. It is the closest available multi-country proxy, not an identical measurement; flagged here and in the processed-series README so it is never presented as an apples-to-apples match. Iran's own quarterly billion-rial levels are kept unchanged; comparators are % of GDP, a different unit, added as a separate series."
comparator__government_revenue_expense_pct_gdp,Annual Budget Law Totals,Government Finance,iran-plan-budget-org,worldbank-wdi,comparator_monetary_prices_series/government_revenue_pct_gdp.csv;comparator_monetary_prices_series/government_expense_pct_gdp.csv,extends,iranplanbudgetorg__annual_budget_law_totals,1972-2024 (varies by country; VEN has zero observations for either series),"Adds comparator revenue (GC.REV.XGRT.GD.ZS) and expenditure (GC.XPN.TOTL.GD.ZS, IMF GFS 'Expense') lines, both % of GDP, for TUR, SAU, IRQ, ARG, RUS, USA, KOR, ESP, ITA (VEN has zero WDI observations for either series -- confirmed, not a download gap). Iran's own chart is in nominal/real-2015-USD rial levels; comparators are added as a % of GDP, a different but standard normalized unit for cross-country budget comparison, kept as a separate labeled series alongside Iran's own figures."
comparator__government_revenue_expense_pct_gdp_v2,Total Country Budget: Resources & Uses Breakdown (SH1385-1400),Government Finance,sci-amar,worldbank-wdi,comparator_monetary_prices_series/government_revenue_pct_gdp.csv;comparator_monetary_prices_series/government_expense_pct_gdp.csv,extends,iran_sci1399__government_budget_summary_1385_1400,1972-2024 (varies by country; VEN missing),"Same comparator series as the iranplanbudgetorg__annual_budget_law_totals row above (GC.REV.XGRT.GD.ZS / GC.XPN.TOTL.GD.ZS, % of GDP), attached separately to this SCI-sourced chart since it is a distinct, more granular measure (SCI's 'Total Country Budget' includes public-corporation/bank resources and uses on top of the core government general budget, which the WDI central-government GFS concept does NOT include). Comparators are most directly comparable to this chart's 'Government general budget resources' / 'Government general budget uses' variants specifically, not the broader 'Total country budget' variants that add public corporations -- noted here so a future editor doesn't read the comparator line against the wrong Iran variant."
comparator__cpi_inflation_annual_pct_v1,"Consumer Price Index, Urban vs Rural",Prices & Inflation,sci-amar,worldbank-wdi,comparator_monetary_prices_series/cpi_inflation_annual_pct.csv,extends,iran_sci__cpi_urban_vs_rural_general_index_1385_1399,1960-2025 (varies by country; ARG/VEN limited),"Adds a general (all-items, not urban/rural split) headline CPI inflation-rate comparator line, WDI FP.CPI.TOTL.ZG, for all 10 roster countries (coverage varies; ARG only 2018-2024, VEN only 2009-2016 -- both real WDI gaps). No source was found publishing an urban-vs-rural CPI split comparably across all 10 countries, so this is a general-inflation-rate comparator only, clearly not a matching urban/rural breakdown. Iran's own chart is an index level (1395=100); WDI's headline series used here is annual % change, a different but standard way to compare inflation trajectories across countries whose index base years differ (index levels with different base years are not directly comparable, so % change is the correct normalized substitute, not FP.CPI.TOTL's own 2010=100 index)."
comparator__cpi_inflation_annual_pct_v2,"Consumer Price Index by COICOP Group (1395=100, SH1390-1399)",Prices & Inflation,sci-amar,worldbank-wdi,comparator_monetary_prices_series/cpi_inflation_annual_pct.csv,extends,iran_sci1399__cpi_by_coicop_group_1390_1399,1960-2025 (varies by country),"Same WDI FP.CPI.TOTL.ZG general-inflation comparator as the urban/rural CPI row above, attached here too. Explicit caveat: no COICOP-group-level (food, housing, etc.) CPI breakdown was found published comparably across all 10 comparator countries in one consistent source -- this comparator line is all-items headline inflation only, shown for broad context, NOT a matching group-by-group breakdown. PPI comparators for the separate iran_cbi__ppi_general_and_sectors_1996_2023 chart were investigated and found UNREACHABLE this pass (IMF/OECD API attempts failed or returned no usable dataflow; WDI's wholesale-price-index proxy FP.WPI.TOTL was rejected as too sparse/stale -- missing entirely for USA/RUS/ARG, stops in the 1990s-2000s for most others) -- no staging row proposed for that chart; see logs/downloads/comparator-monetary-prices.log for the full attempt trail."
gfdd__gfdd_di_01_comparators,Private Credit by Deposit Money Banks to GDP (World Bank GFDD),Financial Sector (Monetary),worldbank-gfdd-via-fred,worldbank-gfdd (direct api.worldbank.org pull),comparator_monetary_prices_series/gfdd_banking_depth.csv,extends,gfdd__gfdd_di_01,1960-2021 (varies by country),"Adds comparator lines for all 10 roster countries, same GFDD.DI.01 indicator as Iran's own chart -- a genuine same-database match, not a proxy. Pulled directly via api.worldbank.org/v2 (new raw data, see data/raw/worldbank-gfdd/comparators-monetary-prices-2026-07-14/), since the existing Iran-only pull used the FRED mirror with Iran-specific series IDs. All 10 comparators have data."
gfdd__gfdd_di_04_comparators,Deposit Money Bank Assets to Deposit Money Bank Assets and Central Bank Assets (World Bank GFDD),Financial Sector (Monetary),worldbank-gfdd-via-fred,worldbank-gfdd (direct api.worldbank.org pull),comparator_monetary_prices_series/gfdd_banking_depth.csv,extends,gfdd__gfdd_di_04,1960-2021 (varies by country; SAU has zero observations),"Same GFDD.DI.04 indicator as Iran's chart, pulled fresh for all 10 roster countries. SAU has ZERO observations for this indicator in GFDD -- confirmed via live query, a genuine source gap, not a request failure. All other 9 comparators have data."
gfdd__gfdd_oi_02_comparators,Bank Deposits to GDP (World Bank GFDD),Financial Sector (Monetary),worldbank-gfdd-via-fred,worldbank-gfdd (direct api.worldbank.org pull),comparator_monetary_prices_series/gfdd_banking_depth.csv,extends,gfdd__gfdd_oi_02,1960-2021 (varies by country),"Same GFDD.OI.02 indicator as Iran's chart, pulled fresh for all 10 roster countries. All 10 comparators have data."
gfdd__gfdd_si_04_comparators,Bank Credit to Bank Deposits (World Bank GFDD),Financial Sector (Monetary),worldbank-gfdd-via-fred,worldbank-gfdd (direct api.worldbank.org pull),comparator_monetary_prices_series/gfdd_banking_depth.csv,extends,gfdd__gfdd_si_04,1960-2021 (varies by country),"Same GFDD.SI.04 indicator as Iran's chart, pulled fresh for all 10 roster countries. All 10 comparators have data."
