chart_id,title,category,primary_source,alt_sources,underlying_codes,status,extends_chart_id,time_range,notes
comparator__energy__natural_gas_production_gross,"Natural Gas Production (Gross, incl. Reinjected & Flared) - comparator countries (USGS)",Energy,usgs-minerals-yearbook,,data/processed/comparator_mining_energy_series/usgs_mineral_energy_production_long.csv (indicator_id=energy__natural_gas_production_gross),new,,2014-2022,"Comparator series from a SINGLE source that publishes the same table for every country (USGS Minerals Yearbook, Volume III Area Reports), so Iran and the comparators are measured identically rather than stitched from per-country national statistics. IRAN'S OWN USGS FIGURE IS INCLUDED as a distinct series alongside the comparators, and is NOT merged with or adjudicated against Iran's existing primary-sourced series on the same chart -- where the two disagree, both stand as separately-labelled series (a same-source cross-check is the point). Note the era gap: Iran's existing series on these charts is 1954-1980 (pre-revolution, USGS historical volumes); this comparator data is 2012-2023. It is the SAME measure from the SAME publisher, so it belongs on the same chart, but the chart will show two separated time blocks rather than one continuous run -- there is no USGS country-table data on disk for 1981-2011 and none was fabricated to bridge it. Values normalised to metric tons (the source's per-table default unit varies by country: Iran/Turkiye tables are in metric tons, Saudi/Iraq tables in thousand metric tons). USGS's own e=estimated / r=revised flags are carried per row. Where a later edition revised a value, the later edition wins. || status=new because GROSS gas production (including gas reinjected, flared and vented) is a genuinely different measure from the marketed/dry-basis series, and merging the two would overstate output for any country reporting on a gross basis. Only SAU and VEN publish it, so this is a thin chart -- flagged for the owner to decide whether it earns its place. || Coverage: SAU:2014-2021; VEN:2014-2022."
comparator__energy__natural_gas_production_marketed,Natural Gas Production (Marketed / Dry Basis) - comparator countries (USGS),Energy,usgs-minerals-yearbook,,data/processed/comparator_mining_energy_series/usgs_mineral_energy_production_long.csv (indicator_id=energy__natural_gas_production_marketed),extends,pahlavi__gas_production_consumption_1965_69,2012-2023,"Adds comparator-country lines to Iran's existing chart from a SINGLE source that publishes the same table for every country (USGS Minerals Yearbook, Volume III Area Reports), so Iran and the comparators are measured identically rather than stitched from per-country national statistics. IRAN'S OWN USGS FIGURE IS INCLUDED as a distinct series alongside the comparators, and is NOT merged with or adjudicated against Iran's existing primary-sourced series on the same chart -- where the two disagree, both stand as separately-labelled series (a same-source cross-check is the point). Note the era gap: Iran's existing series on these charts is 1954-1980 (pre-revolution, USGS historical volumes); this comparator data is 2012-2023. It is the SAME measure from the SAME publisher, so it belongs on the same chart, but the chart will show two separated time blocks rather than one continuous run -- there is no USGS country-table data on disk for 1981-2011 and none was fabricated to bridge it. Values normalised to metric tons (the source's per-table default unit varies by country: Iran/Turkiye tables are in metric tons, Saudi/Iraq tables in thousand metric tons). USGS's own e=estimated / r=revised flags are carried per row. Where a later edition revised a value, the later edition wins. || Coverage in this batch, per country: ARG:2012-2021; ESP:2014-2022; IRN:2014-2023; IRQ:2014-2023; ITA:2014-2022; KOR:2017-2021; RUS:2014-2022; SAU:2014-2023; TUR:2014-2022; VEN:2014-2022."
comparator__mining__aluminum_primary_production,Primary Aluminum (Ingot) Production - comparator countries (USGS),Mining & Minerals Production,usgs-minerals-yearbook,,data/processed/comparator_mining_energy_series/usgs_mineral_energy_production_long.csv (indicator_id=mining__aluminum_primary_production),extends,iran_aluminum_production_1973_1980,2012-2023,"Adds comparator-country lines to Iran's existing chart from a SINGLE source that publishes the same table for every country (USGS Minerals Yearbook, Volume III Area Reports), so Iran and the comparators are measured identically rather than stitched from per-country national statistics. IRAN'S OWN USGS FIGURE IS INCLUDED as a distinct series alongside the comparators, and is NOT merged with or adjudicated against Iran's existing primary-sourced series on the same chart -- where the two disagree, both stand as separately-labelled series (a same-source cross-check is the point). Note the era gap: Iran's existing series on these charts is 1954-1980 (pre-revolution, USGS historical volumes); this comparator data is 2012-2023. It is the SAME measure from the SAME publisher, so it belongs on the same chart, but the chart will show two separated time blocks rather than one continuous run -- there is no USGS country-table data on disk for 1981-2011 and none was fabricated to bridge it. Values normalised to metric tons (the source's per-table default unit varies by country: Iran/Turkiye tables are in metric tons, Saudi/Iraq tables in thousand metric tons). USGS's own e=estimated / r=revised flags are carried per row. Where a later edition revised a value, the later edition wins. || Coverage in this batch, per country: ARG:2012-2021; ESP:2014-2021; IRN:2014-2023; RUS:2014-2022; SAU:2014-2023; TUR:2012-2022; VEN:2014-2022."
comparator__mining__barite_production,Barite Production - comparator countries (USGS),Mining & Minerals Production,usgs-minerals-yearbook,,data/processed/comparator_mining_energy_series/usgs_mineral_energy_production_long.csv (indicator_id=mining__barite_production),extends,iran_barite_production_1961_1980,2012-2023,"Adds comparator-country lines to Iran's existing chart from a SINGLE source that publishes the same table for every country (USGS Minerals Yearbook, Volume III Area Reports), so Iran and the comparators are measured identically rather than stitched from per-country national statistics. IRAN'S OWN USGS FIGURE IS INCLUDED as a distinct series alongside the comparators, and is NOT merged with or adjudicated against Iran's existing primary-sourced series on the same chart -- where the two disagree, both stand as separately-labelled series (a same-source cross-check is the point). Note the era gap: Iran's existing series on these charts is 1954-1980 (pre-revolution, USGS historical volumes); this comparator data is 2012-2023. It is the SAME measure from the SAME publisher, so it belongs on the same chart, but the chart will show two separated time blocks rather than one continuous run -- there is no USGS country-table data on disk for 1981-2011 and none was fabricated to bridge it. Values normalised to metric tons (the source's per-table default unit varies by country: Iran/Turkiye tables are in metric tons, Saudi/Iraq tables in thousand metric tons). USGS's own e=estimated / r=revised flags are carried per row. Where a later edition revised a value, the later edition wins. || Coverage in this batch, per country: ARG:2012-2021; IRN:2014-2023; RUS:2014-2022; SAU:2014-2014; TUR:2018-2022."
comparator__mining__cement_production,Cement (Hydraulic) Production - comparator countries (USGS),Mining & Minerals Production,usgs-minerals-yearbook,,data/processed/comparator_mining_energy_series/usgs_mineral_energy_production_long.csv (indicator_id=mining__cement_production),extends,iran_cement_production_1954_1980,2012-2023,"Adds comparator-country lines to Iran's existing chart from a SINGLE source that publishes the same table for every country (USGS Minerals Yearbook, Volume III Area Reports), so Iran and the comparators are measured identically rather than stitched from per-country national statistics. IRAN'S OWN USGS FIGURE IS INCLUDED as a distinct series alongside the comparators, and is NOT merged with or adjudicated against Iran's existing primary-sourced series on the same chart -- where the two disagree, both stand as separately-labelled series (a same-source cross-check is the point). Note the era gap: Iran's existing series on these charts is 1954-1980 (pre-revolution, USGS historical volumes); this comparator data is 2012-2023. It is the SAME measure from the SAME publisher, so it belongs on the same chart, but the chart will show two separated time blocks rather than one continuous run -- there is no USGS country-table data on disk for 1981-2011 and none was fabricated to bridge it. Values normalised to metric tons (the source's per-table default unit varies by country: Iran/Turkiye tables are in metric tons, Saudi/Iraq tables in thousand metric tons). USGS's own e=estimated / r=revised flags are carried per row. Where a later edition revised a value, the later edition wins. || Coverage in this batch, per country: ARG:2012-2021; ESP:2014-2022; IRN:2014-2023; IRQ:2014-2023; ITA:2014-2022; KOR:2014-2021; RUS:2014-2022; SAU:2014-2023; TUR:2012-2022; VEN:2014-2022."
comparator__mining__chromite_ore_production,Chromite (Chrome Ore) Production - comparator countries (USGS),Mining & Minerals Production,usgs-minerals-yearbook,,data/processed/comparator_mining_energy_series/usgs_mineral_energy_production_long.csv (indicator_id=mining__chromite_ore_production),extends,iran_chromite_production_1961_1980,2012-2023,"Adds comparator-country lines to Iran's existing chart from a SINGLE source that publishes the same table for every country (USGS Minerals Yearbook, Volume III Area Reports), so Iran and the comparators are measured identically rather than stitched from per-country national statistics. IRAN'S OWN USGS FIGURE IS INCLUDED as a distinct series alongside the comparators, and is NOT merged with or adjudicated against Iran's existing primary-sourced series on the same chart -- where the two disagree, both stand as separately-labelled series (a same-source cross-check is the point). Note the era gap: Iran's existing series on these charts is 1954-1980 (pre-revolution, USGS historical volumes); this comparator data is 2012-2023. It is the SAME measure from the SAME publisher, so it belongs on the same chart, but the chart will show two separated time blocks rather than one continuous run -- there is no USGS country-table data on disk for 1981-2011 and none was fabricated to bridge it. Values normalised to metric tons (the source's per-table default unit varies by country: Iran/Turkiye tables are in metric tons, Saudi/Iraq tables in thousand metric tons). USGS's own e=estimated / r=revised flags are carried per row. Where a later edition revised a value, the later edition wins. || Coverage in this batch, per country: IRN:2019-2023; RUS:2014-2022; TUR:2012-2022."
comparator__mining__coke_production,Coke Production - comparator countries (USGS),Mining & Minerals Production,usgs-minerals-yearbook,,data/processed/comparator_mining_energy_series/usgs_mineral_energy_production_long.csv (indicator_id=mining__coke_production),extends,iran_coke_production_1961_1980,2012-2023,"Adds comparator-country lines to Iran's existing chart from a SINGLE source that publishes the same table for every country (USGS Minerals Yearbook, Volume III Area Reports), so Iran and the comparators are measured identically rather than stitched from per-country national statistics. IRAN'S OWN USGS FIGURE IS INCLUDED as a distinct series alongside the comparators, and is NOT merged with or adjudicated against Iran's existing primary-sourced series on the same chart -- where the two disagree, both stand as separately-labelled series (a same-source cross-check is the point). Note the era gap: Iran's existing series on these charts is 1954-1980 (pre-revolution, USGS historical volumes); this comparator data is 2012-2023. It is the SAME measure from the SAME publisher, so it belongs on the same chart, but the chart will show two separated time blocks rather than one continuous run -- there is no USGS country-table data on disk for 1981-2011 and none was fabricated to bridge it. Values normalised to metric tons (the source's per-table default unit varies by country: Iran/Turkiye tables are in metric tons, Saudi/Iraq tables in thousand metric tons). USGS's own e=estimated / r=revised flags are carried per row. Where a later edition revised a value, the later edition wins. || Coverage in this batch, per country: ARG:2012-2021; IRN:2014-2023; KOR:2014-2021; RUS:2014-2022; TUR:2012-2022."
comparator__mining__copper_mine_production_cu_content,"Copper Production, Mine Output, Smelter Output & Refined - comparator countries (USGS)",Mining & Minerals Production,usgs-minerals-yearbook,,data/processed/comparator_mining_energy_series/usgs_mineral_energy_production_long.csv (indicator_id=mining__copper_mine_production_cu_content),extends,iran_copper_production_by_stage_1961_1980,2012-2022,"Adds comparator-country lines to Iran's existing chart from a SINGLE source that publishes the same table for every country (USGS Minerals Yearbook, Volume III Area Reports), so Iran and the comparators are measured identically rather than stitched from per-country national statistics. IRAN'S OWN USGS FIGURE IS INCLUDED as a distinct series alongside the comparators, and is NOT merged with or adjudicated against Iran's existing primary-sourced series on the same chart -- where the two disagree, both stand as separately-labelled series (a same-source cross-check is the point). Note the era gap: Iran's existing series on these charts is 1954-1980 (pre-revolution, USGS historical volumes); this comparator data is 2012-2023. It is the SAME measure from the SAME publisher, so it belongs on the same chart, but the chart will show two separated time blocks rather than one continuous run -- there is no USGS country-table data on disk for 1981-2011 and none was fabricated to bridge it. Values normalised to metric tons (the source's per-table default unit varies by country: Iran/Turkiye tables are in metric tons, Saudi/Iraq tables in thousand metric tons). USGS's own e=estimated / r=revised flags are carried per row. Where a later edition revised a value, the later edition wins. || Coverage in this batch, per country: ARG:2012-2018; ESP:2014-2022; IRN:2014-2022; KOR:2016-2017; RUS:2014-2022; SAU:2014-2019; TUR:2012-2022."
comparator__mining__copper_refinery_primary,"Copper Production, Mine Output, Smelter Output & Refined - comparator countries (USGS)",Mining & Minerals Production,usgs-minerals-yearbook,,data/processed/comparator_mining_energy_series/usgs_mineral_energy_production_long.csv (indicator_id=mining__copper_refinery_primary),extends,iran_copper_production_by_stage_1961_1980,2012-2022,"Adds comparator-country lines to Iran's existing chart from a SINGLE source that publishes the same table for every country (USGS Minerals Yearbook, Volume III Area Reports), so Iran and the comparators are measured identically rather than stitched from per-country national statistics. IRAN'S OWN USGS FIGURE IS INCLUDED as a distinct series alongside the comparators, and is NOT merged with or adjudicated against Iran's existing primary-sourced series on the same chart -- where the two disagree, both stand as separately-labelled series (a same-source cross-check is the point). Note the era gap: Iran's existing series on these charts is 1954-1980 (pre-revolution, USGS historical volumes); this comparator data is 2012-2023. It is the SAME measure from the SAME publisher, so it belongs on the same chart, but the chart will show two separated time blocks rather than one continuous run -- there is no USGS country-table data on disk for 1981-2011 and none was fabricated to bridge it. Values normalised to metric tons (the source's per-table default unit varies by country: Iran/Turkiye tables are in metric tons, Saudi/Iraq tables in thousand metric tons). USGS's own e=estimated / r=revised flags are carried per row. Where a later edition revised a value, the later edition wins. || Coverage in this batch, per country: IRN:2014-2019; KOR:2014-2021; RUS:2015-2022; TUR:2012-2022."
comparator__mining__copper_smelter_primary,"Copper Production, Mine Output, Smelter Output & Refined - comparator countries (USGS)",Mining & Minerals Production,usgs-minerals-yearbook,,data/processed/comparator_mining_energy_series/usgs_mineral_energy_production_long.csv (indicator_id=mining__copper_smelter_primary),extends,iran_copper_production_by_stage_1961_1980,2012-2023,"Adds comparator-country lines to Iran's existing chart from a SINGLE source that publishes the same table for every country (USGS Minerals Yearbook, Volume III Area Reports), so Iran and the comparators are measured identically rather than stitched from per-country national statistics. IRAN'S OWN USGS FIGURE IS INCLUDED as a distinct series alongside the comparators, and is NOT merged with or adjudicated against Iran's existing primary-sourced series on the same chart -- where the two disagree, both stand as separately-labelled series (a same-source cross-check is the point). Note the era gap: Iran's existing series on these charts is 1954-1980 (pre-revolution, USGS historical volumes); this comparator data is 2012-2023. It is the SAME measure from the SAME publisher, so it belongs on the same chart, but the chart will show two separated time blocks rather than one continuous run -- there is no USGS country-table data on disk for 1981-2011 and none was fabricated to bridge it. Values normalised to metric tons (the source's per-table default unit varies by country: Iran/Turkiye tables are in metric tons, Saudi/Iraq tables in thousand metric tons). USGS's own e=estimated / r=revised flags are carried per row. Where a later edition revised a value, the later edition wins. || Coverage in this batch, per country: ESP:2014-2022; IRN:2014-2023; KOR:2014-2021; RUS:2014-2022; TUR:2012-2022."
