chart_id,title,category,primary_source,alt_sources,underlying_codes,status,extends_chart_id,time_range,notes
frus__1951_54_foreign_aid_exim_loan_negotiations,US Foreign Aid & EXIM Bank Loan Negotiations with Iran (incl. Sept 1953 $45M Emergency Grant),Foreign Aid & Development Finance,frus-iran,,data/processed/frus_iran_economic_citations_series/frus_1951_54_mossadegh_coup_era.csv|category=Foreign aid (65 rows),new,,Feb 1951-March 1954,"EXIM Bank loan negotiations, technical-assistance pledges, and the Sept 5 1953 $45 million emergency grant -- the single most-repeated post-coup figure in the volume. Predates WDI's Iran ODA coverage (DT.ODA.ODAT starts 1960) entirely, but much of this is EXIM export-credit negotiation detail rather than OECD-DAC-style concessional ODA, so kept new rather than forced onto the ODA chart as if it were the same measured concept."
frus__1951_54_oil_production_trade_abadan_crisis,"Oil Production, Refining & Trade During the Abadan Nationalization Crisis",Energy / Oil Production & Trade,frus-iran,,data/processed/frus_iran_economic_citations_series/frus_1951_54_mossadegh_coup_era.csv|category=Oil production & trade (30 rows),new,,Feb 1951-March 1954,"World/regional oil-production and refining shares, the Abadan refinery shutdown's employment/revenue impact, and Soviet Iranian-oil-access estimates during the embargo. A genuinely distinct historical episode (the nationalization-crisis production collapse) with no matching outturn indicator anywhere in the registry -- predates WDI's earliest oil-specific Iran indicator (NY.GDP.PETR.RT starts 1970) regardless."
frus__1951_54_government_budget_deficits,"Government Budget Deficits, IBRD Settlement Terms & NIE-46 Financial Snapshot",Government Finance,frus-iran,,data/processed/frus_iran_economic_citations_series/frus_1951_54_mossadegh_coup_era.csv|category=Government finance (25 rows),extends,wdi__GC.NLD.TOTL,Feb 1951-March 1954,"WDI's Iran GC.* government-finance series only starts 1972 (confirmed against macro_wdi.csv) -- this sits 18-21 years before WDI's own coverage begins. Covers monthly/annual budget-deficit citations, the IBRD settlement proposal's financial terms, and the full NIE-46 (Feb 1952) financial-snapshot table. Same underlying concept (government revenue/expenditure/deficit position) as the target chart, same pre-WDI-gap logic as the precedent pahlavi__actual_budget_revenues_1958_59 row."
frus__1951_54_exchange_rate_depreciation,Official vs. Open-Market Rial/USD Exchange Rate During the Oil Nationalization Crisis,Exchange Rates,frus-iran,,data/processed/frus_iran_economic_citations_series/frus_1951_54_mossadegh_coup_era.csv|category=Foreign exchange + Exchange rate (35 + 8 = 43 rows),extends,wdi__PA.NUS,1951-1954 (tracks depreciation from ~32 to ~100 rials/USD),"HIGH VALUE: this project's own docs/bookkeeping.md currency-conventions section explicitly flags '1950-1959 remains a known gap' in Iran's pre-1979 exchange-rate series (WDI PA.NUS.FCRF only starts 1960; IMF IFS official rate only covers 1937-1949). These FRUS-cited official/open-market rate citations are diplomatic-cable-anecdotal rather than a systematic daily/annual series, so treat as a partial citation-level cross-check anchor for that documented gap, not a full replacement series -- flagged for the project's ongoing FX-research thread specifically."
frus__1951_54_misc_smaller_categories,"Miscellaneous Smaller Economic Citation Categories (Prices, Trade, Money Supply, Agriculture, Demographics, Covert-Operations Financing, External Debt/Assets, Employment)",Other / Mixed,frus-iran,,"data/processed/frus_iran_economic_citations_series/frus_1951_54_mossadegh_coup_era.csv|category in {Prices,Trade,Money supply,Agriculture,Demographics,Covert operations financing,External debt,External assets,Employment} (2+3+2+1+1+2+1+1+1 = 14 rows)",new,,Feb 1951-March 1954,"Bundles 8 categories with 1-3 rows each, individually too thin for a standalone chart-worthy series. Notably includes 2 rows on CIA/US covert-operations financing tied to the August 1953 coup (TPAJAX) -- a historically significant, rarely-quantified data point worth flagging distinctly even though bundled here for row-count practicality."
frus__1973_76_arms_deals_cost_escalation,US-Iran Arms Deals & Weapons-Program Cost-Escalation Chains,Military Expenditure,frus-iran,,data/processed/frus_iran_economic_citations_series/frus_1973_76_oil_boom_era.csv|category=Military expenditure (41 rows),new,,1973-1976,Per-program cost-escalation detail: Spruance-class destroyer $100-120M -> $238M -> $338M; I-Hawk 'Peace Shield' $270M -> $444M -> $800M; F-16/300-aircraft package $2.14B -> $3.866B (incl. Brent Scowcroft's preserved marginal note questioning the jump); MAAG advisor counts; cumulative arms-purchase commitments. Fundamentally finer granularity than WDI's aggregate MS.MIL.XPND -- not something any existing chart_id captures regardless of time overlap.
frus__1973_76_oil_price_shock_production_revenue,"1973-74 Oil Price Shock: Posted Prices, World Oil-Bill Impact & OPEC Export Earnings (Iran/Iraq/OECD)",Energy / Oil Production & Trade,frus-iran,,data/processed/frus_iran_economic_citations_series/frus_1973_76_oil_boom_era.csv|category=Oil production & trade (45 rows),new,,1973-1976,"Dec 1973 Tehran OPEC posted-price jump to $11.60/bbl (>100% increase); the US government's contemporaneous estimate that the 1974 world oil bill would double to ~$100bn; Ford's Oct 1976 letter projecting $125bn 1976 OPEC export earnings; Iraq's parallel post-nationalization revenue boom ($900M 1971 -> ~$8.2bn est. 1975, oil's share of Iraqi govt revenue 58% -> 89.9%). Administration estimates/projections and Iraq-specific figures (Iraq is outside this project's core comparator-country list per docs/bookkeeping.md), not Iran outturn data matching an existing chart."
frus__1973_76_government_finance_oil_dependence,Iran/Iraq Government Revenue & Oil-Revenue Dependence Citations,Government Finance,frus-iran,,data/processed/frus_iran_economic_citations_series/frus_1973_76_oil_boom_era.csv|category=Government Finance (26 rows),new,,1973-1976,"WDI's Iran GC.* coverage starts exactly 1972 so there is marginal overlap, but this material is diplomatic-cable commentary on oil-revenue dependence and includes Iraq's own budget figures (Iraq outside the project's core comparator set), not a clean annual outturn series comparable to WDI's GC codes -- kept new rather than extends."
frus__1973_76_outbound_foreign_aid,"Iran's Outbound Foreign Aid & Credit Commitments to Third Countries (UK, France, Egypt, Syria, Pakistan, India, IMF, World Bank)",Foreign Aid & Development Finance,frus-iran,,data/processed/frus_iran_economic_citations_series/frus_1973_76_oil_boom_era.csv|category=Foreign aid (31 rows),new,,1973-1976,"Iran here is a DONOR, not a recipient. WDI's aid-flow indicators for Iran are recipient-indexed (aid Iran received), not donor-indexed (aid Iran gave), so there is no existing chart_id this could extend -- a genuinely novel angle for this project."
frus__1973_76_western_oil_import_cost_impact,"1974 Oil-Price-Shock Import-Cost Impact on the US, Western Europe, Japan & Developing Countries",Balance of Payments (Payments),frus-iran,,data/processed/frus_iran_economic_citations_series/frus_1973_76_oil_boom_era.csv|category=Balance of Payments (10 rows),new,,1974,"Comparator-country content (per-file convention: tagged country_iso3=IRN as context around Iran-focused discussions, per the folder README) -- not Iran's own BOP, so no meaningful WDI Iran BOP chart to extend. Useful as global-context anchor for the oil-boom era."
