chart_id,title,category,primary_source,alt_sources,underlying_codes,status,extends_chart_id,time_range,notes
bridged__citrus_production_1950_1958,"Citrus Production, Pahlavi-era Bridge Segment (1950-1958)",Agriculture Production,pahlavi-era-primary-extraction,,bridged_series/citrus_production_iran_1950_2024.csv,extends,"faostat__Citrus Fruit, Total__production",1950-1958,"Bridges 1950-1958 WB table (Oranges&Tangerines combined, Other Citrus separate) with FAOSTAT's 1961-2024 series via one 1961 anchor row per FAOSTAT category. Honest caveat preserved from source README: WB's 1958 combined total (110,000t) is noticeably higher than FAOSTAT's 1961 Citrus Fruit Total (78,900t) three years later -- could be real decline, definitional difference, or revision; not resolved, present as two clearly-labeled distinct segments, never force-spliced into one line. For full 1961-2024 FAOSTAT detail, join against agriculture_qcl_production.csv directly."
cbi__monetary_banking_aggregates_1379_1401,"CBI Annual Review — Liquidity (M2), Monetary Base & CPI Growth, FY1379-1401 (2000/01-2022/23)",Financial Sector (Monetary),cbi-annual-review-wayback,,cbi_annual_review_series/monetary_banking_aggregates_1379_1401.csv,extends,wdi__FM.LBL.BMNY,1379-1401 AH (2000/01-2022/23),"Native CBI Annual Review (English edition) fiscal-year series -- full 23/23-year Liquidity(M2) level + growth coverage (WDI's Broad Money for Iran runs only 1960-2016 and stops before this file's 2017-2023 tail), plus bundled monetary-base growth (19/23 yrs), monetary-base level (5/23 yrs), and CPI/inflation growth (6/23 yrs) -- all extracted directly from each year's own report narrative, never a later year's retrospective restatement. Retrieved via Wayback (cbi.ir itself is F5/TSPD bot-blocked from this project's IP). One raw-filename mislabeling (cbi_annual_review_1396_2016-17.pdf is actually FY1396=2017/18) is documented in the folder README and NOT corrected in the raw filename per bookkeeping.md immutability rule -- this project's own fiscal_year_ah field is authoritative. Units: billion rials FY1379-1393, converted from trillion rials (x1000) FY1394-1401 for consistency."
iran_aviation__iranair_passengers_employees_revenue_1950_2003,"Iran Air / Iranian Civil Aviation — Passengers, Employees & Revenue (1950-2003)",Infrastructure (Transport),iran-aviation-history:encyclopedia-com-iranair-company-history,,iran_aviation_history_series/iranair_passengers_employees_revenue.csv,extends,wdi__IS.AIR,"1950-2003 (sparse, roughly decadal snapshots)","WDI's IS.AIR.PSGR (air transport passengers) only starts in 1970 (715,600, Iran-wide) -- this file fills the pre-1970 gap back to 1950 (Iran Air passengers ~142,000 in 1961) plus employee/revenue figures WDI never tracks. 1972 Iran Air figure (~800,000) roughly cross-checks against WDI's 1972 Iran-wide figure (894,800) since Iran Air was the dominant carrier. Tertiary business-reference source (Encyclopedia.com company history), flagged order-of-magnitude reliable per bookkeeping.md, not an exact primary annual report."
iran_aviation__events_fleet_workforce_1952_1988,"Iran Air Founding, Fleet Size, Workforce & Major Accidents (1952-1988)",Infrastructure (Transport),iran-aviation-history:iranica-aviation-history,,iran_aviation_history_series/aviation_events_and_fleet.csv,new,,1952-1988 (sparse),"No existing chart tracks airline fleet size, workforce, or aviation accidents for Iran. Workforce grew 700 (1962) to 12,000+ (1978/79); fleet reached 35 all-jet aircraft carrying ~5 million passengers/year by approx. 1978 (year is imprecise in source, flagged as such); starkest single data point is the 1988 Iran Air Flight 655 shootdown (290 deaths). Encyclopaedia Iranica narrative source, retrieved via interactive browser tool (iranicaonline.org blocks curl/WebFetch, HTTP 403)."
iran_data_portal__inflation_rate_1937_1959,"Iran Inflation Rate (CBI/Bank Melli-sourced), Pre-WDI Extension (1937-1959)",Prices & Inflation,iran-data-portal,,iran_data_portal_deep_series/inflation_rate_1937_2014.csv,extends,wdi__FP.CPI.TOTL,1937-2014 (WDI FP.CPI.TOTL.ZG for Iran starts 1960; 1937-1959 is the genuine gap-fill),"Central Bank of Iran-sourced annual inflation-rate series via Iran Data Portal (Syracuse), 78 continuous years. This is the exact series named as this project's designated pre-1960 CPI/deflator source in docs/bookkeeping.md's currency-conversion methodology section -- already load-bearing for the project's real/USD conversion pipeline even though it was never itself given a chart_id. Full 1937-2014 span kept as one continuous native series (not split at 1960) since it is methodologically consistent throughout, unlike the WDI series it extends."
iran_data_portal__employment_by_sector_1956_2011,"Employment by Sector, 14-Sector Breakdown, Absolute Headcounts (1956-2011)",Labor & Employment,iran-data-portal,,iran_data_portal_deep_series/employment_by_sector_1956_2011.csv,new,,1956-2011,"Statistical Centre of Iran, via Iran Data Portal. Absolute headcount levels across 14 sectors (agriculture, oil, mining, industry, construction, trade, services split multiple ways, uncategorized) -- structurally distinct from WDI's SL.AGR/IND/SRV.EMPL.ZS (which are % shares, only 3 sectors, and only start 1991 for Iran as modeled ILO estimates). One of the two deepest continuous Iran-specific economic series in the database outside Maddison's reconstruction (per folder README), spanning nearly the entire Second Pahlavi era plus the full Islamic Republic period unbroken. Kept as its own chart rather than an alt-source footnote given this depth and structural distinctness."
iran_data_portal__employment_by_gender_1966_2011,"Employment by Gender, Absolute Headcounts & Female Share (1966-2011)",Labor & Employment,iran-data-portal,,iran_data_portal_deep_series/employment_by_gender_1966_2011.csv,new,,1966-2011,"Management and Planning Organization of Iran, via Iran Data Portal. Employment LEVELS (male/female/total headcount + female share %), distinct from WDI's labor-force-participation-RATE charts (SL.TLF.CACT.FE etc, which are rates of the working-age population, not employed headcounts)."
iran_data_portal__housing_units_by_household_size_1966_2006,"Housing Units by Number of Resident Households, Census Years (1966-2006)",Housing,iran-data-portal,,iran_data_portal_deep_series/housing_units_by_household_census_1966_2006.csv,new,,"1966, 1976, 1986, 1996, 2006 (5 census points only, not annual)",Statistical Centre of Iran. No existing chart_id tracks housing-unit counts for Iran at any date (WDI has no housing-stock indicator with Iran coverage). Total housing units + breakdown by 1/2/3/4+ households per unit (housing-density proxy). New category 'Housing' introduced since none of the existing registry categories fit.
iran_data_portal__labor_force_by_occupation_gender_urbanrural_2005_2014,Labor Force by Occupation Category x Gender x Urban/Rural (2005-2014),Labor & Employment,iran-data-portal,,iran_data_portal_deep_series/labor_force_by_occupation_gender_urbanrural_2005_2014.csv,extends,iran_disasters__employed_by_occupation_gender_2005_2013,2005-2014 (2005-2013 portion is a content-duplicate of the target chart's own source; 2014-2015 is the sole genuinely new year),"IMPORTANT DEDUP FINDING from this audit: this file's 2005-2013 rows are near-identical (same SCI/MCLS source, same 9 area x gender group values, e.g. 20,618,579 total employed 2005-06) to the ALREADY-REGISTERED iran_disasters_regional_series/labor_force_by_occupation_and_gender_2005_2013.csv -- both trace to the same Iran Data Portal SCI table, just harmonized independently in two different batches under two different processed folders. Registered here as 'extends' rather than a duplicate 'new' chart specifically to avoid double-counting; the only genuinely new content is the 2014-2015 year this version has and the registered one doesn't. Flagged for a future folder-level dedup pass between iran_data_portal_deep_series and iran_disasters_regional_series (out of this audit's scope, which is folder-completeness, not cross-folder dedup)."
iran_data_portal__labor_force_participation_rate_urbanrural_2005_2014,"Labor Force Participation Rate by Gender x Urban/Rural, Native SCI Series (2005-2014)",Labor & Employment,iran-data-portal,,iran_data_portal_deep_series/labor_force_participation_rate_gender_urbanrural_2005_2014.csv,extends,wdi__SL.TLF.CACT,2005-2014,"Native SCI/MCLS-sourced participation rate with urban/rural x gender breakdown that WDI's modeled-ILO-estimate series does not have -- kept as an alt-source line on the same chart concept per this project's 'both sources, never pick a winner' rule. DEDUP NOTE from this audit: a content-duplicate unregistered file also exists at iran_disasters_regional_series/labor_force_participation_rate_2005_2014.csv (same values, e.g. 41%/64.7%/17% national/men/women 2005-06) -- that sibling file is itself NOT yet in CHART_REGISTRY.csv or any staging file, which is outside this audit's assigned folder list; flagged here for a future pass, not fixed in this one to avoid scope creep beyond the assigned candidate folders."
