year_sh,month_fa,month_num_in_iranian_year,indicator,seasonally_adjusted_value,not_seasonally_adjusted_value,edition,period_number
1404,آبان,8,overall_pmi_headline,47.2,49.0,pmi-1404-09-period87,87
1404,آبان,8,production_or_service_output,48.6,51.7,pmi-1404-09-period87,87
1404,آبان,8,new_customer_orders,45.4,46.1,pmi-1404-09-period87,87
1404,آبان,8,order_fulfillment_delivery_speed,50.0,53.0,pmi-1404-09-period87,87
1404,آبان,8,raw_material_inventory,41.5,42.3,pmi-1404-09-period87,87
1404,آبان,8,employment_hiring,49.1,50.2,pmi-1404-09-period87,87
1404,آبان,8,input_price_raw_materials,80.9,80.9,pmi-1404-09-period87,87
1404,آبان,8,finished_goods_inventory_wip,47.9,47.9,pmi-1404-09-period87,87
1404,آبان,8,exports_of_goods_or_services,43.2,43.6,pmi-1404-09-period87,87
1404,آبان,8,output_price_products_services,70.0,70.0,pmi-1404-09-period87,87
1404,آبان,8,energy_consumption,52.3,56.4,pmi-1404-09-period87,87
1404,آبان,8,sales_volume,47.9,46.4,pmi-1404-09-period87,87
1404,آبان,8,future_expectations_next_month,61.3,61.8,pmi-1404-09-period87,87
1404,آذر,9,overall_pmi_headline,48.9,48.0,pmi-1404-09-period87,87
1404,آذر,9,production_or_service_output,49.0,47.5,pmi-1404-09-period87,87
1404,آذر,9,new_customer_orders,50.9,51.8,pmi-1404-09-period87,87
1404,آذر,9,order_fulfillment_delivery_speed,49.0,46.8,pmi-1404-09-period87,87
1404,آذر,9,raw_material_inventory,44.4,41.5,pmi-1404-09-period87,87
1404,آذر,9,employment_hiring,47.8,47.4,pmi-1404-09-period87,87
1404,آذر,9,input_price_raw_materials,90.1,90.1,pmi-1404-09-period87,87
1404,آذر,9,finished_goods_inventory_wip,44.4,44.4,pmi-1404-09-period87,87
1404,آذر,9,exports_of_goods_or_services,45.3,43.6,pmi-1404-09-period87,87
1404,آذر,9,output_price_products_services,70.3,70.3,pmi-1404-09-period87,87
1404,آذر,9,energy_consumption,55.1,62.7,pmi-1404-09-period87,87
1404,آذر,9,sales_volume,52.0,51.9,pmi-1404-09-period87,87
1404,آذر,9,future_expectations_next_month,50.5,46.6,pmi-1404-09-period87,87
1404,دی,10,overall_pmi_headline,43.4,39.4,pmi-1404-11-period89,89
1404,دی,10,production_or_service_output,44.3,37.6,pmi-1404-11-period89,89
1404,دی,10,new_customer_orders,36.5,33.1,pmi-1404-11-period89,89
1404,دی,10,order_fulfillment_delivery_speed,49.8,47.6,pmi-1404-11-period89,89
1404,دی,10,raw_material_inventory,41.6,37.7,pmi-1404-11-period89,89
1404,دی,10,employment_hiring,48.9,45.9,pmi-1404-11-period89,89
1404,دی,10,input_price_raw_materials,90.2,90.2,pmi-1404-11-period89,89
1404,دی,10,finished_goods_inventory_wip,49.0,48.1,pmi-1404-11-period89,89
1404,دی,10,exports_of_goods_or_services,42.0,39.9,pmi-1404-11-period89,89
1404,دی,10,output_price_products_services,70.7,70.7,pmi-1404-11-period89,89
1404,دی,10,energy_consumption,50.8,57.6,pmi-1404-11-period89,89
1404,دی,10,sales_volume,44.9,39.8,pmi-1404-11-period89,89
1404,دی,10,future_expectations_next_month,47.1,48.4,pmi-1404-11-period89,89
1404,بهمن,11,overall_pmi_headline,46.4,48.8,pmi-1404-11-period89,89
1404,بهمن,11,production_or_service_output,47.5,52.1,pmi-1404-11-period89,89
1404,بهمن,11,new_customer_orders,44.6,48.6,pmi-1404-11-period89,89
1404,بهمن,11,order_fulfillment_delivery_speed,49.8,49.5,pmi-1404-11-period89,89
1404,بهمن,11,raw_material_inventory,46.3,48.3,pmi-1404-11-period89,89
1404,بهمن,11,employment_hiring,45.2,44.6,pmi-1404-11-period89,89
1404,بهمن,11,input_price_raw_materials,86.1,86.1,pmi-1404-11-period89,89
1404,بهمن,11,finished_goods_inventory_wip,51.0,50.1,pmi-1404-11-period89,89
1404,بهمن,11,exports_of_goods_or_services,43.5,46.2,pmi-1404-11-period89,89
1404,بهمن,11,output_price_products_services,74.6,74.6,pmi-1404-11-period89,89
1404,بهمن,11,energy_consumption,48.9,52.5,pmi-1404-11-period89,89
1404,بهمن,11,sales_volume,43.9,45.2,pmi-1404-11-period89,89
1404,بهمن,11,future_expectations_next_month,53.7,53.1,pmi-1404-11-period89,89
1404,اسفند,12,overall_pmi_headline,24.9,22.0,pmi-1405-01-period91,91
1404,اسفند,12,production_or_service_output,15.4,12.5,pmi-1405-01-period91,91
1404,اسفند,12,new_customer_orders,21.2,17.0,pmi-1405-01-period91,91
1404,اسفند,12,order_fulfillment_delivery_speed,26.5,26.5,pmi-1405-01-period91,91
1404,اسفند,12,raw_material_inventory,33.1,34.3,pmi-1405-01-period91,91
1404,اسفند,12,employment_hiring,37.1,31.7,pmi-1405-01-period91,91
1404,اسفند,12,input_price_raw_materials,84.0,84.0,pmi-1405-01-period91,91
1404,اسفند,12,finished_goods_inventory_wip,45.1,40.6,pmi-1405-01-period91,91
1404,اسفند,12,exports_of_goods_or_services,33.6,25.7,pmi-1405-01-period91,91
1404,اسفند,12,output_price_products_services,65.1,65.1,pmi-1405-01-period91,91
1404,اسفند,12,energy_consumption,36.7,29.5,pmi-1405-01-period91,91
1404,اسفند,12,sales_volume,19.6,23.4,pmi-1405-01-period91,91
1404,اسفند,12,future_expectations_next_month,50.3,28.9,pmi-1405-01-period91,91
1405,فروردین,1,overall_pmi_headline,38.5,26.3,pmi-1405-01-period91,91
1405,فروردین,1,production_or_service_output,39.8,20.8,pmi-1405-01-period91,91
1405,فروردین,1,new_customer_orders,34.8,20.6,pmi-1405-01-period91,91
1405,فروردین,1,order_fulfillment_delivery_speed,44.5,30.4,pmi-1405-01-period91,91
1405,فروردین,1,raw_material_inventory,34.3,29.5,pmi-1405-01-period91,91
1405,فروردین,1,employment_hiring,40.1,37.1,pmi-1405-01-period91,91
1405,فروردین,1,input_price_raw_materials,90.5,90.5,pmi-1405-01-period91,91
1405,فروردین,1,finished_goods_inventory_wip,43.9,41.9,pmi-1405-01-period91,91
1405,فروردین,1,exports_of_goods_or_services,33.3,25.3,pmi-1405-01-period91,91
1405,فروردین,1,output_price_products_services,70.7,70.7,pmi-1405-01-period91,91
1405,فروردین,1,energy_consumption,44.9,25.7,pmi-1405-01-period91,91
1405,فروردین,1,sales_volume,48.6,35.4,pmi-1405-01-period91,91
1405,فروردین,1,future_expectations_next_month,33.4,45.4,pmi-1405-01-period91,91
1405,اردیبهشت,2,overall_pmi_headline,42.3,48.8,pmi-1405-02-period92,92
1405,اردیبهشت,2,production_or_service_output,44.5,54.8,pmi-1405-02-period92,92
