sector_table,indicator_label_fa_source,year_sh,month_fa,month_western,value
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Total PMI index,1403,Farvardin1403,April2024,39.58
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Total PMI index,1403,Ordibehesht1403,May2024,55.91
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Total PMI index,1403,Khordad1403,June2024,45.1
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Total PMI index,1403,Tir1403,July2024,44.85
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Total PMI index,1403,Mordad1403,August2024,44.86
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Total PMI index,1403,Shahrivar1403,September2024,49.77
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Total PMI index,1403,Mehr1403,October2024,52.31
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Total PMI index,1403,Aban1403,November2024,51.35
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Total PMI index,1403,Azar1403,December2024,43.85
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Total PMI index,1403,Dey1403,January2025,44.85
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Total PMI index,1403,Bahman1403,February2025,49.2
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Total PMI index,1403,Esfand1403,March2025,54.09
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Output,1403,Farvardin1403,April2024,27.79
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Output,1403,Ordibehesht1403,May2024,57.74
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Output,1403,Khordad1403,June2024,41.31
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Output,1403,Tir1403,July2024,42.62
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Output,1403,Mordad1403,August2024,40.68
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Output,1403,Shahrivar1403,September2024,50.93
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Output,1403,Mehr1403,October2024,57.43
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Output,1403,Aban1403,November2024,51.11
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Output,1403,Azar1403,December2024,42.94
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Output,1403,Dey1403,January2025,43.47
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Output,1403,Bahman1403,February2025,51.09
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,Output,1403,Esfand1403,March2025,57.91
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,New Orders,1403,Farvardin1403,April2024,35.94
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,New Orders,1403,Ordibehesht1403,May2024,53.35
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,New Orders,1403,Khordad1403,June2024,42.87
3-11-Purchasing Managers’ Index (PMI) – Whole Economy,New Orders,1403,Tir1403,July2024,39.16
