fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset
1900 (rough estimate),1900,Population,,8.6,millions,"Source table presents this as a rough century-baseline estimate, not a precisely dated observation",IRN,esfahani-pesaran-2008-century-indicators
2006,2006,Population,,70.5,millions,,IRN,esfahani-pesaran-2008-century-indicators
1900 (rough estimate),1900,Population rank in the world,,20,rank (1=largest),"Source table presents this as a rough century-baseline estimate, not a precisely dated observation",IRN,esfahani-pesaran-2008-century-indicators
2006,2006,Population rank in the world,,18,rank (1=largest),,IRN,esfahani-pesaran-2008-century-indicators
1900 (rough estimate),1900,Population out of (number of countries ranked),,228,count,"Source table presents this as a rough century-baseline estimate, not a precisely dated observation",IRN,esfahani-pesaran-2008-century-indicators
2006,2006,Population out of (number of countries ranked),,211,count,,IRN,esfahani-pesaran-2008-century-indicators
1900 (rough estimate),1900,Per capita income,,1000,constant 2000 PPP US dollars,"Source table presents this as a rough century-baseline estimate, not a precisely dated observation",IRN,esfahani-pesaran-2008-century-indicators
2006,2006,Per capita income,,7400,constant 2000 PPP US dollars,,IRN,esfahani-pesaran-2008-century-indicators
1900 (rough estimate),1900,Per capita income rank in the world,,44,rank (1=highest),"Source table presents this as a rough century-baseline estimate, not a precisely dated observation",IRN,esfahani-pesaran-2008-century-indicators
2006,2006,Per capita income rank in the world,,78,rank (1=highest),,IRN,esfahani-pesaran-2008-century-indicators
1900 (rough estimate),1900,Per capita income out of (number of countries ranked),,68,count; 1900 note: '68 countries for which data is available',"Source table presents this as a rough century-baseline estimate, not a precisely dated observation",IRN,esfahani-pesaran-2008-century-indicators
2006,2006,Per capita income out of (number of countries ranked),,187,count; 1900 note: '68 countries for which data is available',,IRN,esfahani-pesaran-2008-century-indicators
1900 (rough estimate),1900,Urbanization rate,,27,percent,"Source table presents this as a rough century-baseline estimate, not a precisely dated observation",IRN,esfahani-pesaran-2008-century-indicators
2006,2006,Urbanization rate,,64,percent,,IRN,esfahani-pesaran-2008-century-indicators
1900 (rough estimate),1900,Life expectancy (total),,<30,years; 1900 value shown in source as '<30?' (uncertain rough estimate),"Source table presents this as a rough century-baseline estimate, not a precisely dated observation (value printed with leading '~' or uncertainty marker in source)",IRN,esfahani-pesaran-2008-century-indicators
2006,2006,Life expectancy (total),,71,years; 1900 value shown in source as '<30?' (uncertain rough estimate),,IRN,esfahani-pesaran-2008-century-indicators
2006,2006,Life expectancy rank in the world,,114,rank; 1900 value shown in source as '?' (unknown/not estimated),,IRN,esfahani-pesaran-2008-century-indicators
1900 (rough estimate),1900,Literacy rate (population 15+),,<5,percent; 1900 value shown in source as '<5?' (uncertain rough estimate),"Source table presents this as a rough century-baseline estimate, not a precisely dated observation (value printed with leading '~' or uncertainty marker in source)",IRN,esfahani-pesaran-2008-century-indicators
2006,2006,Literacy rate (population 15+),,83,percent; 1900 value shown in source as '<5?' (uncertain rough estimate),,IRN,esfahani-pesaran-2008-century-indicators
1900 (rough estimate),1900,Share of agriculture in GDP,,65,percent,"Source table presents this as a rough century-baseline estimate, not a precisely dated observation",IRN,esfahani-pesaran-2008-century-indicators
2006,2006,Share of agriculture in GDP,,15,percent,,IRN,esfahani-pesaran-2008-century-indicators
1900 (rough estimate),1900,Trade-GDP ratio,,35,percent,"Source table presents this as a rough century-baseline estimate, not a precisely dated observation",IRN,esfahani-pesaran-2008-century-indicators
2006,2006,Trade-GDP ratio,,68,percent,,IRN,esfahani-pesaran-2008-century-indicators
