fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset,value_usd_nominal,value_usd_real_2015,currency_conversion_note
1958/59,1959,Direct taxes,Income tax,3410.0,million rials,,IRN,wb1960-table12-actual-budget-revenues,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Direct taxes,Other,315.5,million rials,,IRN,wb1960-table12-actual-budget-revenues,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Direct taxes,Subtotal,3725.5,million rials,,IRN,wb1960-table12-actual-budget-revenues,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Indirect taxes,Customs,7434.8,million rials,,IRN,wb1960-table12-actual-budget-revenues,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Indirect taxes,Petroleum tax,1376.2,million rials,,IRN,wb1960-table12-actual-budget-revenues,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Indirect taxes,Revenue of tobacco monopoly,3364.8,million rials,,IRN,wb1960-table12-actual-budget-revenues,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Indirect taxes,Other,756.5,million rials,,IRN,wb1960-table12-actual-budget-revenues,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Indirect taxes,Subtotal,12932.3,million rials,,IRN,wb1960-table12-actual-budget-revenues,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Others,Post and Telegraph,514.2,million rials,,IRN,wb1960-table12-actual-budget-revenues,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Others,Exchange differential,473.1,million rials,,IRN,wb1960-table12-actual-budget-revenues,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Others,Profits from sale of industrial alcohol,501.4,million rials,,IRN,wb1960-table12-actual-budget-revenues,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Others,Profits from sale of sugar,600.0,million rials,,IRN,wb1960-table12-actual-budget-revenues,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Others,Profits from sale of opium,113.1,million rials,,IRN,wb1960-table12-actual-budget-revenues,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Others,Profits of Govt. banks & companies,94.2,million rials,,IRN,wb1960-table12-actual-budget-revenues,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Others,Other,485.2,million rials,,IRN,wb1960-table12-actual-budget-revenues,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Others,Subtotal,2781.2,million rials,,IRN,wb1960-table12-actual-budget-revenues,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Tax and other revenue,Subtotal (Direct + Indirect + Others),19439.0,million rials,,IRN,wb1960-table12-actual-budget-revenues,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Non-tax transfers,Government share of oil revenues,6781.8,million rials,,IRN,wb1960-table12-actual-budget-revenues,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Non-tax transfers,Transfer from NIOC,1000.0,million rials,,IRN,wb1960-table12-actual-budget-revenues,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Non-tax transfers,Transfer from Plan Organization,1000.0,million rials,,IRN,wb1960-table12-actual-budget-revenues,,,"no FX rate for 1959 (known gap), not converted"
1958/59,1959,Grand total,Total actual budget revenues 1958/59,28220.8,million rials,,IRN,wb1960-table12-actual-budget-revenues,,,"no FX rate for 1959 (known gap), not converted"
