fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset,value_usd_nominal,value_usd_real_2015,currency_conversion_note
1964/65,1965,Money and Quasi Money,,10.9,"billion rials (year-over-year change, flow not level)",,IRN,wb1971-table6.2-changes-money-quasi-money,0.1439,0.5963,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
1965/66,1966,Money and Quasi Money,,13.2,"billion rials (year-over-year change, flow not level)",,IRN,wb1971-table6.2-changes-money-quasi-money,0.1743,0.7248,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
1966/67,1967,Money and Quasi Money,,15.2,"billion rials (year-over-year change, flow not level)",,IRN,wb1971-table6.2-changes-money-quasi-money,0.2007,0.8209,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
1967/68,1968,Money and Quasi Money,,23.6,"billion rials (year-over-year change, flow not level)",,IRN,wb1971-table6.2-changes-money-quasi-money,0.3116,1.2654,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
1968/69,1969,Money and Quasi Money,,31.0,"billion rials (year-over-year change, flow not level)",,IRN,wb1971-table6.2-changes-money-quasi-money,0.4092,1.6071,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
1969/70,1970,Money and Quasi Money,,32.3,"billion rials (year-over-year change, flow not level)",,IRN,wb1971-table6.2-changes-money-quasi-money,0.4264,1.6457,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
proj_1970/71,1971,Money and Quasi Money,,30.2,"billion rials (year-over-year change, flow not level)","PROJECTION, not an actual -- report's own forward estimate for FY1970/71.",IRN,wb1971-table6.2-changes-money-quasi-money,0.3987,1.4779,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607)"
first_6mo_1969/70,1970,Money and Quasi Money,,4.9,"billion rials (year-over-year change, flow not level)","First 6 months of the fiscal year only, not a full-year figure -- do not chart alongside full-FY columns without labeling.",IRN,wb1971-table6.2-changes-money-quasi-money,0.0647,0.2497,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
first_6mo_1970/71,1971,Money and Quasi Money,,3.2,"billion rials (year-over-year change, flow not level)","First 6 months of the fiscal year only, not a full-year figure -- do not chart alongside full-FY columns without labeling.",IRN,wb1971-table6.2-changes-money-quasi-money,0.0422,0.1566,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607)"
1964/65,1965,Money and Quasi Money,Currency in Circulation,1.5,"billion rials (year-over-year change, flow not level)",,IRN,wb1971-table6.2-changes-money-quasi-money,0.0198,0.0821,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
1965/66,1966,Money and Quasi Money,Currency in Circulation,1.4,"billion rials (year-over-year change, flow not level)",,IRN,wb1971-table6.2-changes-money-quasi-money,0.0185,0.0769,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
1966/67,1967,Money and Quasi Money,Currency in Circulation,2.0,"billion rials (year-over-year change, flow not level)",,IRN,wb1971-table6.2-changes-money-quasi-money,0.0264,0.108,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
1967/68,1968,Money and Quasi Money,Currency in Circulation,3.4,"billion rials (year-over-year change, flow not level)",,IRN,wb1971-table6.2-changes-money-quasi-money,0.0449,0.1823,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
1968/69,1969,Money and Quasi Money,Currency in Circulation,3.3,"billion rials (year-over-year change, flow not level)",,IRN,wb1971-table6.2-changes-money-quasi-money,0.0436,0.1711,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
1969/70,1970,Money and Quasi Money,Currency in Circulation,3.1,"billion rials (year-over-year change, flow not level)",,IRN,wb1971-table6.2-changes-money-quasi-money,0.0409,0.158,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
first_6mo_1969/70,1970,Money and Quasi Money,Currency in Circulation,-2.0,"billion rials (year-over-year change, flow not level)","First 6 months of the fiscal year only, not a full-year figure -- do not chart alongside full-FY columns without labeling.",IRN,wb1971-table6.2-changes-money-quasi-money,-0.0264,-0.1019,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
first_6mo_1970/71,1971,Money and Quasi Money,Currency in Circulation,-1.2,"billion rials (year-over-year change, flow not level)","First 6 months of the fiscal year only, not a full-year figure -- do not chart alongside full-FY columns without labeling.",IRN,wb1971-table6.2-changes-money-quasi-money,-0.0158,-0.0587,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607)"
1964/65,1965,Money and Quasi Money,Demand Deposits,3.4,"billion rials (year-over-year change, flow not level)",,IRN,wb1971-table6.2-changes-money-quasi-money,0.0449,0.186,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
1965/66,1966,Money and Quasi Money,Demand Deposits,5.1,"billion rials (year-over-year change, flow not level)",,IRN,wb1971-table6.2-changes-money-quasi-money,0.0673,0.28,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
1966/67,1967,Money and Quasi Money,Demand Deposits,4.5,"billion rials (year-over-year change, flow not level)",,IRN,wb1971-table6.2-changes-money-quasi-money,0.0594,0.243,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
1967/68,1968,Money and Quasi Money,Demand Deposits,6.9,"billion rials (year-over-year change, flow not level)",,IRN,wb1971-table6.2-changes-money-quasi-money,0.0911,0.37,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
1968/69,1969,Money and Quasi Money,Demand Deposits,7.5,"billion rials (year-over-year change, flow not level)",,IRN,wb1971-table6.2-changes-money-quasi-money,0.099,0.3888,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
1969/70,1970,Money and Quasi Money,Demand Deposits,-0.5,"billion rials (year-over-year change, flow not level)",,IRN,wb1971-table6.2-changes-money-quasi-money,-0.0066,-0.0255,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
first_6mo_1969/70,1970,Money and Quasi Money,Demand Deposits,-2.2,"billion rials (year-over-year change, flow not level)","First 6 months of the fiscal year only, not a full-year figure -- do not chart alongside full-FY columns without labeling.",IRN,wb1971-table6.2-changes-money-quasi-money,-0.029,-0.1121,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
first_6mo_1970/71,1971,Money and Quasi Money,Demand Deposits,0.9,"billion rials (year-over-year change, flow not level)","First 6 months of the fiscal year only, not a full-year figure -- do not chart alongside full-FY columns without labeling.",IRN,wb1971-table6.2-changes-money-quasi-money,0.0119,0.044,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607)"
1964/65,1965,Money and Quasi Money,Currency in Circulation and Demand Deposits (combined; source brackets these two together for Proj. 1970/71 only),,"billion rials (year-over-year change, flow not level)",,IRN,wb1971-table6.2-changes-money-quasi-money,,,"unparseable year/value, not converted"
1965/66,1966,Money and Quasi Money,Currency in Circulation and Demand Deposits (combined; source brackets these two together for Proj. 1970/71 only),,"billion rials (year-over-year change, flow not level)",,IRN,wb1971-table6.2-changes-money-quasi-money,,,"unparseable year/value, not converted"
1966/67,1967,Money and Quasi Money,Currency in Circulation and Demand Deposits (combined; source brackets these two together for Proj. 1970/71 only),,"billion rials (year-over-year change, flow not level)",,IRN,wb1971-table6.2-changes-money-quasi-money,,,"unparseable year/value, not converted"
1967/68,1968,Money and Quasi Money,Currency in Circulation and Demand Deposits (combined; source brackets these two together for Proj. 1970/71 only),,"billion rials (year-over-year change, flow not level)",,IRN,wb1971-table6.2-changes-money-quasi-money,,,"unparseable year/value, not converted"
1968/69,1969,Money and Quasi Money,Currency in Circulation and Demand Deposits (combined; source brackets these two together for Proj. 1970/71 only),,"billion rials (year-over-year change, flow not level)",,IRN,wb1971-table6.2-changes-money-quasi-money,,,"unparseable year/value, not converted"
1969/70,1970,Money and Quasi Money,Currency in Circulation and Demand Deposits (combined; source brackets these two together for Proj. 1970/71 only),,"billion rials (year-over-year change, flow not level)",,IRN,wb1971-table6.2-changes-money-quasi-money,,,"unparseable year/value, not converted"
proj_1970/71,1971,Money and Quasi Money,Currency in Circulation and Demand Deposits (combined; source brackets these two together for Proj. 1970/71 only),10.2,"billion rials (year-over-year change, flow not level)","PROJECTION, not an actual -- report's own forward estimate for FY1970/71.",IRN,wb1971-table6.2-changes-money-quasi-money,0.1347,0.4992,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607)"
