fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset,value_usd_nominal,value_usd_real_2015,currency_conversion_note
1962/63,1963,General Services,,4.6,billion rials (1 US$ = 75.7 rials per report),,IRN,wb1971-table5.1-ordinary-budget-expenditure,0.0607,0.2669,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512)"
1963/64,1964,General Services,,5.6,billion rials (1 US$ = 75.7 rials per report),,IRN,wb1971-table5.1-ordinary-budget-expenditure,0.0739,0.3127,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
1964/65,1965,General Services,,7.2,billion rials (1 US$ = 75.7 rials per report),,IRN,wb1971-table5.1-ordinary-budget-expenditure,0.095,0.3939,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
1965/66,1966,General Services,,8.0,billion rials (1 US$ = 75.7 rials per report),,IRN,wb1971-table5.1-ordinary-budget-expenditure,0.1056,0.4393,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
1966/67,1967,General Services,,7.5,billion rials (1 US$ = 75.7 rials per report),,IRN,wb1971-table5.1-ordinary-budget-expenditure,0.099,0.4051,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
1967/68,1968,General Services,,8.9,billion rials (1 US$ = 75.7 rials per report),,IRN,wb1971-table5.1-ordinary-budget-expenditure,0.1175,0.4772,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
1968/69,1969,General Services,,9.3,billion rials (1 US$ = 75.7 rials per report),,IRN,wb1971-table5.1-ordinary-budget-expenditure,0.1228,0.4821,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
1969/70,1970,General Services,,10.9,billion rials (1 US$ = 75.7 rials per report),,IRN,wb1971-table5.1-ordinary-budget-expenditure,0.1439,0.5554,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
budget_estimate_1970/71,1971,General Services,,12.4,billion rials (1 US$ = 75.7 rials per report),"BUDGET ESTIMATE for FY1970/71, not an actual.",IRN,wb1971-table5.1-ordinary-budget-expenditure,0.1637,0.6068,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607)"
revised_estimate_1970/71,1971,General Services,,12.5,billion rials (1 US$ = 75.7 rials per report),"REVISED ESTIMATE for FY1970/71 (mid-year revision), not a final actual.",IRN,wb1971-table5.1-ordinary-budget-expenditure,0.165,0.6117,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607)"
