fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset,value_usd_nominal,value_usd_real_2015,currency_conversion_note
1957-06-20,1957,Money Supply,,25.11,billion rials,,IRN,wb1960-table8-changes-in-money-supply,,,"no FX rate for 1957 (known gap), not converted"
1957-12-20,1957,Money Supply,,27.69,billion rials,,IRN,wb1960-table8-changes-in-money-supply,,,"no FX rate for 1957 (known gap), not converted"
1958-06-20,1958,Money Supply,,30.86,billion rials,,IRN,wb1960-table8-changes-in-money-supply,,,"no FX rate for 1958 (known gap), not converted"
1958-12-20,1958,Money Supply,,36.33,billion rials,,IRN,wb1960-table8-changes-in-money-supply,,,"no FX rate for 1958 (known gap), not converted"
1959-06-20,1959,Money Supply,,37.25,billion rials,,IRN,wb1960-table8-changes-in-money-supply,,,"no FX rate for 1959 (known gap), not converted"
1957-06-20,1957,Time and Savings Deposits,,5.27,billion rials,,IRN,wb1960-table8-changes-in-money-supply,,,"no FX rate for 1957 (known gap), not converted"
1957-12-20,1957,Time and Savings Deposits,,5.79,billion rials,,IRN,wb1960-table8-changes-in-money-supply,,,"no FX rate for 1957 (known gap), not converted"
1958-06-20,1958,Time and Savings Deposits,,7.14,billion rials,,IRN,wb1960-table8-changes-in-money-supply,,,"no FX rate for 1958 (known gap), not converted"
1958-12-20,1958,Time and Savings Deposits,,7.30,billion rials,,IRN,wb1960-table8-changes-in-money-supply,,,"no FX rate for 1958 (known gap), not converted"
1959-06-20,1959,Time and Savings Deposits,,8.82,billion rials,,IRN,wb1960-table8-changes-in-money-supply,,,"no FX rate for 1959 (known gap), not converted"
1957-06-20,1957,Total (Money Supply + Time and Savings Deposits),,30.38,billion rials,subtotal as printed in source,IRN,wb1960-table8-changes-in-money-supply,,,"no FX rate for 1957 (known gap), not converted"
1957-12-20,1957,Total (Money Supply + Time and Savings Deposits),,33.48,billion rials,subtotal as printed in source,IRN,wb1960-table8-changes-in-money-supply,,,"no FX rate for 1957 (known gap), not converted"
1958-06-20,1958,Total (Money Supply + Time and Savings Deposits),,38.00,billion rials,subtotal as printed in source,IRN,wb1960-table8-changes-in-money-supply,,,"no FX rate for 1958 (known gap), not converted"
1958-12-20,1958,Total (Money Supply + Time and Savings Deposits),,43.63,billion rials,subtotal as printed in source,IRN,wb1960-table8-changes-in-money-supply,,,"no FX rate for 1958 (known gap), not converted"
1959-06-20,1959,Total (Money Supply + Time and Savings Deposits),,46.07,billion rials,subtotal as printed in source,IRN,wb1960-table8-changes-in-money-supply,,,"no FX rate for 1959 (known gap), not converted"
1957-06-20,1957,Change in Total from previous column,,,billion rials,"source label is ""CHANGE (in 12 months)"" but values are period-over-period (~6 months) vs the immediately preceding column",IRN,wb1960-table8-changes-in-money-supply,,,"unparseable year/value, not converted"
1957-12-20,1957,Change in Total from previous column,,+3.10,billion rials,"source label is ""CHANGE (in 12 months)"" but values are period-over-period (~6 months) vs the immediately preceding column",IRN,wb1960-table8-changes-in-money-supply,,,"no FX rate for 1957 (known gap), not converted"
1958-06-20,1958,Change in Total from previous column,,+4.52,billion rials,"source label is ""CHANGE (in 12 months)"" but values are period-over-period (~6 months) vs the immediately preceding column",IRN,wb1960-table8-changes-in-money-supply,,,"no FX rate for 1958 (known gap), not converted"
1958-12-20,1958,Change in Total from previous column,,+5.63,billion rials,"source label is ""CHANGE (in 12 months)"" but values are period-over-period (~6 months) vs the immediately preceding column",IRN,wb1960-table8-changes-in-money-supply,,,"no FX rate for 1958 (known gap), not converted"
1959-06-20,1959,Change in Total from previous column,,+2.44,billion rials,"source label is ""CHANGE (in 12 months)"" but values are period-over-period (~6 months) vs the immediately preceding column",IRN,wb1960-table8-changes-in-money-supply,,,"no FX rate for 1959 (known gap), not converted"
1957-06-20,1957,Change in Total over prior 12 months (June-on-June),,,billion rials,printed in parentheses in source; only given for June columns (comparison to June of prior year),IRN,wb1960-table8-changes-in-money-supply,,,"unparseable year/value, not converted"
1957-12-20,1957,Change in Total over prior 12 months (June-on-June),,,billion rials,printed in parentheses in source; only given for June columns (comparison to June of prior year),IRN,wb1960-table8-changes-in-money-supply,,,"unparseable year/value, not converted"
1958-06-20,1958,Change in Total over prior 12 months (June-on-June),,+7.62,billion rials,printed in parentheses in source; only given for June columns (comparison to June of prior year),IRN,wb1960-table8-changes-in-money-supply,,,"no FX rate for 1958 (known gap), not converted"
1958-12-20,1958,Change in Total over prior 12 months (June-on-June),,,billion rials,printed in parentheses in source; only given for June columns (comparison to June of prior year),IRN,wb1960-table8-changes-in-money-supply,,,"unparseable year/value, not converted"
