fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset,value_usd_nominal,value_usd_real_2015,currency_conversion_note
1963/64,1964,Sight Deposits,,24.7,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,0.3261,1.3792,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
1964/65,1965,Sight Deposits,,26.2,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,0.3459,1.4333,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
1965/66,1966,Sight Deposits,,32.7,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,0.4317,1.7955,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
1966/67,1967,Sight Deposits,,37.6,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,0.4964,2.0307,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
1967/68,1968,Sight Deposits,,42.9,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,0.5663,2.3003,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
1968/69,1969,Sight Deposits,,49.7,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,0.6561,2.5765,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
1969/70,1970,Sight Deposits,,52.2,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,0.6891,2.6597,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
Sept1968-Aug1969,1969,Sight Deposits,,51.9,billion rials,"Rolling 12-month period (Sept-Aug), not aligned to the Iranian fiscal year -- do not chart interleaved with the FY columns without labeling.",IRN,wb1971-table6.5-bank-deposits-private-sector,0.6851,2.6905,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
Sept1969-Aug1970,1970,Sight Deposits,,52.3,billion rials,"Rolling 12-month period (Sept-Aug), not aligned to the Iranian fiscal year -- do not chart interleaved with the FY columns without labeling.",IRN,wb1971-table6.5-bank-deposits-private-sector,0.6904,2.6648,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
1963/64,1964,Saving Deposits,,14.7,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,0.1941,0.8208,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
1964/65,1965,Saving Deposits,,20.6,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,0.2719,1.1269,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
1965/66,1966,Saving Deposits,,24.4,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,0.3221,1.3397,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
1966/67,1967,Saving Deposits,,28.6,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,0.3776,1.5447,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
1967/68,1968,Saving Deposits,,34.8,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,0.4594,1.8659,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
1968/69,1969,Saving Deposits,,44.1,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,0.5822,2.2862,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
1969/70,1970,Saving Deposits,,54.6,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,0.7208,2.782,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
Sept1968-Aug1969,1969,Saving Deposits,,48.7,billion rials,"Rolling 12-month period (Sept-Aug), not aligned to the Iranian fiscal year -- do not chart interleaved with the FY columns without labeling.",IRN,wb1971-table6.5-bank-deposits-private-sector,0.6429,2.5247,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
Sept1969-Aug1970,1970,Saving Deposits,,58.9,billion rials,"Rolling 12-month period (Sept-Aug), not aligned to the Iranian fiscal year -- do not chart interleaved with the FY columns without labeling.",IRN,wb1971-table6.5-bank-deposits-private-sector,0.7776,3.0011,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
1963/64,1964,Time Deposits,,13.1,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,0.1729,0.7315,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
1964/65,1965,Time Deposits,,14.7,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,0.1941,0.8042,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
1965/66,1966,Time Deposits,,16.7,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,0.2205,0.917,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
1966/67,1967,Time Deposits,,20.3,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,0.268,1.0964,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
1967/68,1968,Time Deposits,,25.0,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,0.33,1.3405,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
1968/69,1969,Time Deposits,,31.7,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,0.4185,1.6434,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
1969/70,1970,Time Deposits,,45.0,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,0.5941,2.2928,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
Sept1968-Aug1969,1969,Time Deposits,,36.9,billion rials,"Rolling 12-month period (Sept-Aug), not aligned to the Iranian fiscal year -- do not chart interleaved with the FY columns without labeling.",IRN,wb1971-table6.5-bank-deposits-private-sector,0.4871,1.9129,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
Sept1969-Aug1970,1970,Time Deposits,,52.5,billion rials,"Rolling 12-month period (Sept-Aug), not aligned to the Iranian fiscal year -- do not chart interleaved with the FY columns without labeling.",IRN,wb1971-table6.5-bank-deposits-private-sector,0.6931,2.675,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
1963/64,1964,Total,,52.5,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,0.6931,2.9314,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
1964/65,1965,Total,,63.5,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,0.8383,3.4738,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
1965/66,1966,Total,,73.8,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,0.9743,4.0522,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
1966/67,1967,Total,,86.5,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,1.1419,4.6718,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
1967/68,1968,Total,,102.7,billion rials,,IRN,wb1971-table6.5-bank-deposits-private-sector,1.3558,5.5067,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
