fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset,value_usd_nominal,value_usd_real_2015,currency_conversion_note
late 1920s,1920,Ministry of War share of general budget expenditure,,40,percent,"Cited source (per Encyclopaedia Iranica article): Bharier, p. 65",IRN,iranica-fiscal-system-narrative-1921-1979,,,
late 1920s,1920,Customs and tariff revenue,,~100,million rials,"Cited source (per Encyclopaedia Iranica article): Karshenas 1990, p. 74",IRN,iranica-fiscal-system-narrative-1921-1979,,,"unparseable year/value, not converted"
1937,1937,Customs and tariff revenue,,362,million rials,"Cited source (per Encyclopaedia Iranica article): Karshenas 1990, p. 74",IRN,iranica-fiscal-system-narrative-1921-1979,22.0195,336.0363,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1937=16.44, rebased CPI_1937=0.0032)"
1920-1925,1920,Customs revenue as ratio of dutiable imports,,~10,percent,"Cited source (per Encyclopaedia Iranica article): Bharier, table 4, p. 71",IRN,iranica-fiscal-system-narrative-1921-1979,,,
1929,1929,Customs revenue as ratio of dutiable imports,,30,percent,"Cited source (per Encyclopaedia Iranica article): Bharier, table 4, p. 71",IRN,iranica-fiscal-system-narrative-1921-1979,,,
late 1930s,1930,Customs revenue as ratio of dutiable imports,,~100,percent,"Cited source (per Encyclopaedia Iranica article): Bharier, table 4, p. 71",IRN,iranica-fiscal-system-narrative-1921-1979,,,
1926-1941,1926,Indirect taxation (incl. customs) share of central govt revenue,,>70,percent,"Cited source (per Encyclopaedia Iranica article): Karshenas, p. 74, table 3.2",IRN,iranica-fiscal-system-narrative-1921-1979,,,
1926-1941,1926,Oil revenue share of total government revenue,,10-16,percent,"Cited source (per Encyclopaedia Iranica article): Karshenas, p. 74, table 3.2",IRN,iranica-fiscal-system-narrative-1921-1979,,,
1926-1941,1926,Direct taxes share of total government revenue,,~10,percent,"Cited source (per Encyclopaedia Iranica article): Karshenas, p. 74, table 3.2",IRN,iranica-fiscal-system-narrative-1921-1979,,,
1928-1937,1928,Real government expenditure growth rate,,11,percent per annum,"Cited source (per Encyclopaedia Iranica article): Karshenas, p. 71",IRN,iranica-fiscal-system-narrative-1921-1979,,,
late 1930s,1930,Development-project share of total government expenditure,,48,percent,"Cited source (per Encyclopaedia Iranica article): Moghadam, pp. 158-69",IRN,iranica-fiscal-system-narrative-1921-1979,,,
late 1930s,1930,Railways share of government expenditure,,23,percent,"Cited source (per Encyclopaedia Iranica article): Moghadam, pp. 158-69",IRN,iranica-fiscal-system-narrative-1921-1979,,,
late 1930s,1930,Roads share of government expenditure,,6,percent,"Cited source (per Encyclopaedia Iranica article): Moghadam, pp. 158-69",IRN,iranica-fiscal-system-narrative-1921-1979,,,
late 1930s,1930,Industry and mining share of government expenditure,,19,percent,"Cited source (per Encyclopaedia Iranica article): Moghadam, pp. 158-69",IRN,iranica-fiscal-system-narrative-1921-1979,,,
1930s,1930,Wholesale price index inflation rate,,9,percent per annum,"Cited source (per Encyclopaedia Iranica article): Encyclopaedia Iranica, Fiscal System v",IRN,iranica-fiscal-system-narrative-1921-1979,,,
1949,1949,First Seven-Year Plan total planned expenditure,,21,billion rials (approx. $650m),"Cited source (per Encyclopaedia Iranica article): Encyclopaedia Iranica, Fiscal System v",IRN,iranica-fiscal-system-narrative-1921-1979,0.6462,2.0863,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1949=32.5, rebased CPI_1949=0.0299)"
1949,1949,First Seven-Year Plan domestic-financing share,,68,percent,"Cited source (per Encyclopaedia Iranica article): Encyclopaedia Iranica, Fiscal System v",IRN,iranica-fiscal-system-narrative-1921-1979,,,
1949,1949,First Seven-Year Plan World Bank loan share (planned,, not fully disbursed),32,Cited source (per Encyclopaedia Iranica article): percent,IRN,iranica-fiscal-system-narrative-1921-1979,,,
1954,1954,First Seven-Year Plan actual expenditure vs. planned,,20,percent,"Cited source (per Encyclopaedia Iranica article): Motamen, p. 99",IRN,iranica-fiscal-system-narrative-1921-1979,,,
1928-1951,1928,Oil revenue share of total government revenue,,15-16,percent,"Cited source (per Encyclopaedia Iranica article): Karshenas, p. 82, table 3.4",IRN,iranica-fiscal-system-narrative-1921-1979,,,
1955-1957,1955,Oil revenue share of total government revenue,,45,percent,"Cited source (per Encyclopaedia Iranica article): Karshenas, p. 82, table 3.4",IRN,iranica-fiscal-system-narrative-1921-1979,,,
1965-1967,1965,Oil revenue share of total government revenue,,51,percent,"Cited source (per Encyclopaedia Iranica article): Karshenas, p. 82, table 3.4",IRN,iranica-fiscal-system-narrative-1921-1979,,,
1975-1977,1975,Oil revenue share of total government revenue,,>75,percent,"Cited source (per Encyclopaedia Iranica article): Karshenas, p. 82, table 3.4",IRN,iranica-fiscal-system-narrative-1921-1979,,,
mid-1950s,1950,Customs revenue as ratio of dutiable imports,,~30,percent,"Cited source (per Encyclopaedia Iranica article): Bharier, p. 71",IRN,iranica-fiscal-system-narrative-1921-1979,,,
mid-1960s,1960,Effective tax rate on property/corporate income,,1.5,percent,Cited source (per Encyclopaedia Iranica article): Kaldor,IRN,iranica-fiscal-system-narrative-1921-1979,,,
mid-1960s,1960,Effective tax rate on wages and salaries,,7-8,percent,Cited source (per Encyclopaedia Iranica article): Kaldor,IRN,iranica-fiscal-system-narrative-1921-1979,,,
late 1950s-early 1960s,1950,Government absorption (investment+consumption) share of non-oil GDP,,~20,percent,"Cited source (per Encyclopaedia Iranica article): Karshenas, 1990",IRN,iranica-fiscal-system-narrative-1921-1979,,,
1970,1970,Government absorption share of non-oil GDP,,38,percent,"Cited source (per Encyclopaedia Iranica article): Karshenas, 1990",IRN,iranica-fiscal-system-narrative-1921-1979,,,
1977,1977,Government absorption share of non-oil GDP,,58,percent,"Cited source (per Encyclopaedia Iranica article): Karshenas, 1990",IRN,iranica-fiscal-system-narrative-1921-1979,,,
