fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset,value_usd_nominal,value_usd_real_2015,currency_conversion_note
1963,1963,Money and Quasi Money,,12.5,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.165,0.7252,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512)"
1964,1964,Money and Quasi Money,,12.9,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.1703,0.7203,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
1965,1965,Money and Quasi Money,,10.8,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.1426,0.5908,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
1966,1966,Money and Quasi Money,,13.2,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.1743,0.7248,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
1967,1967,Money and Quasi Money,,15.2,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.2007,0.8209,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
1968,1968,Money and Quasi Money,,23.6,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.3116,1.2654,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
1969,1969,Money and Quasi Money,,31.0,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.4092,1.6071,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
1970,1970,Money and Quasi Money,,30.4,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.4013,1.5489,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
1971,1971,Money and Quasi Money,,30.0,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.396,1.4681,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607)"
1972,1972,Money and Quasi Money,,60.6,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.8,2.7866,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1972=75.7499701345202, rebased CPI_1972=0.0646)"
1973,1973,Money and Quasi Money,,103.0,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,1.4952,4.3093,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1973=68.88604194825852, rebased CPI_1973=0.071)"
1963,1963,Money and Quasi Money,Money,3.9,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.0515,0.2263,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512)"
1964,1964,Money and Quasi Money,Money,5.2,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.0686,0.2903,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
1965,1965,Money and Quasi Money,Money,4.9,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.0647,0.2681,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
1966,1966,Money and Quasi Money,Money,6.4,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.0845,0.3514,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
1967,1967,Money and Quasi Money,Money,6.5,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.0858,0.3511,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
1968,1968,Money and Quasi Money,Money,10.3,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.136,0.5523,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
1969,1969,Money and Quasi Money,Money,10.8,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.1426,0.5599,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
1970,1970,Money and Quasi Money,Money,2.5,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.033,0.1274,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
1971,1971,Money and Quasi Money,Money,7.0,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.0924,0.3426,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607)"
1972,1972,Money and Quasi Money,Money,19.6,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.2587,0.9013,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1972=75.7499701345202, rebased CPI_1972=0.0646)"
1973,1973,Money and Quasi Money,Money,41.6,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.6039,1.7405,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1973=68.88604194825852, rebased CPI_1973=0.071)"
1963,1963,Money and Quasi Money,Quasi Money,8.6,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.1135,0.4989,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512)"
1964,1964,Money and Quasi Money,Quasi Money,7.7,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.1017,0.4299,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
1965,1965,Money and Quasi Money,Quasi Money,5.9,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.0779,0.3228,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
1966,1966,Money and Quasi Money,Quasi Money,6.8,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.0898,0.3734,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
1967,1967,Money and Quasi Money,Quasi Money,8.7,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.1149,0.4699,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
1968,1968,Money and Quasi Money,Quasi Money,13.3,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.1756,0.7131,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
1969,1969,Money and Quasi Money,Quasi Money,20.2,"billion rials (year-over-year change during FY ended March 20, flow not level)",,IRN,wb1974-table7.1-movements-monetary-aggregates,0.2667,1.0472,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
