year,metric,value,unit,source,country_iso3
1914,telegraph_cable_length,9730,km,"Encyclopaedia Iranica COMMUNICATIONS in Persia (Sreberny-Mohammadi & Mohammadi 1992), citing Jamalzada / Issawi",IRN
1953,cable_telegraph_offices,310,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 1332 (1953) p.11",IRN
1953,wireless_telegraph_offices,98,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 1332 (1953) p.11",IRN
1975,telegraph_offices_total,590,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 2535 (1976) pp.425-26",IRN
1975,telegraph_stations_direct_tehran_connection,75,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 2535 (1976)",IRN
1975,telegraph_stations_indirect_tehran_connection,129,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 2535 (1976)",IRN
1975,telegraph_stations_morse_code_equipped,14,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 2535 (1976)",IRN
1989,telegraph_offices_total,723,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 1368 (1989) p.332",IRN
1989,private_telex_stations,2851,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 1368 (1989) p.332",IRN
1989,public_telex_stations,4695,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 1368 (1989) p.332",IRN
