year,metric,value,unit,source,country_iso3
1914,telephone_subscribers_societe_anonyme,1000,subscribers,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Jamalzada / Issawi -- Societe Anonyme des Telephones Persans, ~1,000 subscribers in 12 towns",IRN
1953,public_telephone_offices,63,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook of Ministry of Post-Telegraph-Telephone 1332 (1953) p.11",IRN
1975,telephone_offices_total,590,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 2535 (1976) pp.425-26 -- includes both automatic and magnetic systems",IRN
1975,private_telephones,594000,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 2535 (1976)",IRN
1975,public_telephones,3215,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 2535 (1976)",IRN
1979,public_telephones_towns_cities,10753,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 1367 (1988) pp.327-29 -- figure as of 'immediately after the Revolution' 1357 Sh/1979",IRN
1979,public_telephones_long_distance_capable,2305,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 1367 (1988)",IRN
1979,public_telephones_villages,3220,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 1367 (1988)",IRN
1979,telephone_centers_microwave_equipped,131,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 1367 (1988)",IRN
1979,urban_telephone_centers_other,449,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 1367 (1988)",IRN
1979,wireless_stations,24,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 1367 (1988)",IRN
1988,telephone_waiting_list,377000,persons,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing UNESCO World Communication Report 1989 pp.453-54 -- 'late 1980s' figure, placed at 1988",IRN
1988,telephone_sets_total,2000000,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing UNESCO World Communication Report 1989 pp.453-54 -- stated as 'fewer than 2 million', upper bound recorded",IRN
1988,telephone_sets_residential_share,65,percent,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing UNESCO World Communication Report 1989",IRN
1988,telephone_sets_intl_direct_dial_share,88,percent,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing UNESCO World Communication Report 1989",IRN
