country_iso3,metric,year,value,unit,source,notes
IRN,Population,2024,91.568,Millions,"UNCTADstat Maritime Country Profile: Iran (Islamic Republic of), generated 2025-12-02",
IRN,GDP,2024,451795,Millions current US$,"UNCTADstat Maritime Country Profile: Iran (Islamic Republic of), generated 2025-12-02",
IRN,Merchandise trade (exports+imports),2024,112556,Millions current US$ (estimated),"UNCTADstat Maritime Country Profile: Iran (Islamic Republic of), generated 2025-12-02",
IRN,Land area,2024,1622500,"Km2 (estimated, data refers to 2020)","UNCTADstat Maritime Country Profile: Iran (Islamic Republic of), generated 2025-12-02",
IRN,GDP growth,2024,3.77,%,"UNCTADstat Maritime Country Profile: Iran (Islamic Republic of), generated 2025-12-02",
IRN,Transport services trade (exports+imports),2024,34644,Millions current US$ (estimated),"UNCTADstat Maritime Country Profile: Iran (Islamic Republic of), generated 2025-12-02",
IRN,Coast/area ratio,2024,3.6,m/km2,"UNCTADstat Maritime Country Profile: Iran (Islamic Republic of), generated 2025-12-02",
IRN,Ship building,2024,1881,GT,"UNCTADstat Maritime Country Profile: Iran (Islamic Republic of), generated 2025-12-02",
IRN,Ship recycling,2024,,GT (no value reported),"UNCTADstat Maritime Country Profile: Iran (Islamic Republic of), generated 2025-12-02",
IRN,"Fleet - National flag, tonnage",2024,21120,Thousands DWT,"UNCTADstat Maritime Country Profile: Iran (Islamic Republic of), generated 2025-12-02",
IRN,"Fleet - National flag, ship count",2024,1002,ships,"UNCTADstat Maritime Country Profile: Iran (Islamic Republic of), generated 2025-12-02",
IRN,Fleet - Ownership,2024,19200,Thousands DWT,"UNCTADstat Maritime Country Profile: Iran (Islamic Republic of), generated 2025-12-02",
IRN,Container port throughput,2024,,Not publishable,"UNCTADstat Maritime Country Profile: Iran (Islamic Republic of), generated 2025-12-02",
IRN,Number of seafarers,2024,17654,"persons (estimated same as 2015, refers to 2021)","UNCTADstat Maritime Country Profile: Iran (Islamic Republic of), generated 2025-12-02",
IRN,Number of port calls,2024,,Not publishable,"UNCTADstat Maritime Country Profile: Iran (Islamic Republic of), generated 2025-12-02",
