country_iso3,ship_type,year,carrying_capacity_thousand_dwt,source,notes
IRN,Total fleet,2005,9114.0,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)",
IRN,Total fleet,2010,1333.3,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)",
IRN,Total fleet,2015,4613.0,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)",
IRN,Total fleet,2024,21120.4,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)",
IRN,Oil tankers,2005,6134.0,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)",
IRN,Oil tankers,2010,120.3,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)",
IRN,Oil tankers,2015,403.6,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)",
IRN,Oil tankers,2024,16221.6,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)",
IRN,Bulk carriers,2005,1703.0,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)",
IRN,Bulk carriers,2010,453.4,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)",
IRN,Bulk carriers,2015,2174.0,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)",
IRN,Bulk carriers,2024,2009.7,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)",
IRN,General cargo,2005,731.0,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)",
IRN,General cargo,2010,297.7,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)",
IRN,General cargo,2015,744.3,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)",
IRN,General cargo,2024,815.5,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)",
IRN,Container ships,2005,420.0,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)",
IRN,Container ships,2010,252.4,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)",
IRN,Container ships,2015,1128.0,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)",
IRN,Container ships,2024,1619.6,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)",
IRN,Other types of ships,2005,126.0,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)",
IRN,Other types of ships,2010,209.5,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)",
IRN,Other types of ships,2015,163.1,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)",
IRN,Other types of ships,2024,454.0,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)",
