country_iso3,line_item,year,value,source,notes
IRN,Transport (% of total services exports),2005,46.5,"UNCTADstat Maritime Country Profile: Iran, International Trade in Transport Services tables",
IRN,Transport (% of total services exports),2010,43.7,"UNCTADstat Maritime Country Profile: Iran, International Trade in Transport Services tables",
IRN,Transport (% of total services exports),2015,35.5,"UNCTADstat Maritime Country Profile: Iran, International Trade in Transport Services tables",
IRN,Transport (% of total services exports),2024,,"UNCTADstat Maritime Country Profile: Iran, International Trade in Transport Services tables",2024 figure not published/available in this profile edition ('-' in source).
IRN,Travel (% of total services exports),2005,15.8,"UNCTADstat Maritime Country Profile: Iran, International Trade in Transport Services tables",
IRN,Travel (% of total services exports),2010,27.5,"UNCTADstat Maritime Country Profile: Iran, International Trade in Transport Services tables",
IRN,Travel (% of total services exports),2015,39.6,"UNCTADstat Maritime Country Profile: Iran, International Trade in Transport Services tables",
IRN,Travel (% of total services exports),2024,,"UNCTADstat Maritime Country Profile: Iran, International Trade in Transport Services tables",2024 figure not published/available in this profile edition ('-' in source).
IRN,Other services (% of total services exports),2005,37.6,"UNCTADstat Maritime Country Profile: Iran, International Trade in Transport Services tables",2005 value is UNCTAD-estimated (marked 'e' in source).
IRN,Other services (% of total services exports),2010,28.8,"UNCTADstat Maritime Country Profile: Iran, International Trade in Transport Services tables",
IRN,Other services (% of total services exports),2015,25.0,"UNCTADstat Maritime Country Profile: Iran, International Trade in Transport Services tables",
IRN,Other services (% of total services exports),2024,,"UNCTADstat Maritime Country Profile: Iran, International Trade in Transport Services tables",2024 figure not published/available in this profile edition ('-' in source).
IRN,Transport services exports (millions US$),2005,2327,"UNCTADstat Maritime Country Profile: Iran, International Trade in Transport Services tables",
IRN,Transport services exports (millions US$),2010,3867,"UNCTADstat Maritime Country Profile: Iran, International Trade in Transport Services tables",
IRN,Transport services exports (millions US$),2015,3930,"UNCTADstat Maritime Country Profile: Iran, International Trade in Transport Services tables",
IRN,Transport services exports (millions US$),2024,,"UNCTADstat Maritime Country Profile: Iran, International Trade in Transport Services tables",2024 figure not published/available in this profile edition ('-' in source).
IRN,Transport services imports (millions US$),2005,2324,"UNCTADstat Maritime Country Profile: Iran, International Trade in Transport Services tables",
IRN,Transport services imports (millions US$),2010,3689,"UNCTADstat Maritime Country Profile: Iran, International Trade in Transport Services tables",
IRN,Transport services imports (millions US$),2015,3781,"UNCTADstat Maritime Country Profile: Iran, International Trade in Transport Services tables",
IRN,Transport services imports (millions US$),2024,,"UNCTADstat Maritime Country Profile: Iran, International Trade in Transport Services tables",2024 figure not published/available in this profile edition ('-' in source).
IRN,Transport services trade balance (millions US$),2005,3,"UNCTADstat Maritime Country Profile: Iran, International Trade in Transport Services tables",
IRN,Transport services trade balance (millions US$),2010,178,"UNCTADstat Maritime Country Profile: Iran, International Trade in Transport Services tables",
IRN,Transport services trade balance (millions US$),2015,149,"UNCTADstat Maritime Country Profile: Iran, International Trade in Transport Services tables",
IRN,Transport services trade balance (millions US$),2024,,"UNCTADstat Maritime Country Profile: Iran, International Trade in Transport Services tables",2024 figure not published/available in this profile edition ('-' in source).
